,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,150,7050,0,0,17,783,0,0
1,0.001,150,7050,0,0,17,783,0,0
2,0.002,150,7050,0,0,17,783,0,0
3,0.003,150,7050,0,0,17,783,0,0
4,0.004,150,7050,0,0,17,783,0,0
5,0.005,150,7049,0,1,17,782,0,1
6,0.006,150,6847,0,203,17,767,0,16
7,0.007,150,5920,0,1130,17,673,0,110
8,0.008,150,4628,0,2422,17,509,0,274
9,0.009,150,3292,0,3758,17,364,0,419
10,0.01,150,2264,0,4786,17,246,0,537
11,0.011,150,1670,0,5380,17,192,0,591
12,0.012,150,1329,0,5721,17,152,0,631
13,0.013,150,1107,0,5943,17,127,0,656
14,0.014,150,950,0,6100,17,107,0,676
15,0.015,150,831,0,6219,17,88,0,695
16,0.016,150,693,0,6357,17,75,0,708
17,0.017,150,605,0,6445,17,64,0,719
18,0.018,150,512,0,6538,17,55,0,728
19,0.019,150,447,0,6603,17,47,0,736
20,0.02,150,398,0,6652,17,42,0,741
21,0.021,150,358,0,6692,17,37,0,746
22,0.022,150,335,0,6715,17,35,0,748
23,0.023,150,317,0,6733,17,32,0,751
24,0.024,150,298,0,6752,17,32,0,751
25,0.025,150,282,0,6768,17,31,0,752
26,0.026,150,277,0,6773,16,30,1,753
27,0.027,149,264,1,6786,16,30,1,753
28,0.028,149,251,1,6799,16,28,1,755
29,0.029,149,243,1,6807,16,27,1,756
30,0.03,149,233,1,6817,16,27,1,756
31,0.031,148,224,2,6826,16,25,1,758
32,0.032,148,215,2,6835,16,25,1,758
33,0.033,148,210,2,6840,16,25,1,758
34,0.034,148,205,2,6845,16,23,1,760
35,0.035,148,201,2,6849,16,22,1,761
36,0.036,148,193,2,6857,16,20,1,763
37,0.037,148,191,2,6859,16,20,1,763
38,0.038,148,186,2,6864,16,20,1,763
39,0.039,147,183,3,6867,16,20,1,763
40,0.04,147,180,3,6870,16,19,1,764
41,0.041,147,178,3,6872,16,19,1,764
42,0.042,147,172,3,6878,16,19,1,764
43,0.043,146,167,4,6883,16,19,1,764
44,0.044,144,162,6,6888,16,19,1,764
45,0.045,141,158,9,6892,16,19,1,764
46,0.046,140,153,10,6897,16,18,1,765
47,0.047,139,147,11,6903,16,17,1,766
48,0.048,138,145,12,6905,16,16,1,767
49,0.049,137,140,13,6910,15,16,2,767
50,0.05,134,139,16,6911,15,16,2,767
51,0.051,132,132,18,6918,15,16,2,767
52,0.052,131,127,19,6923,15,15,2,768
53,0.053,130,121,20,6929,15,14,2,769
54,0.054,127,114,23,6936,15,14,2,769
55,0.055,124,105,26,6945,15,13,2,770
56,0.056,123,100,27,6950,15,13,2,770
57,0.057,121,97,29,6953,15,12,2,771
58,0.058,120,94,30,6956,15,12,2,771
59,0.059,120,88,30,6962,15,12,2,771
60,0.06,120,86,30,6964,15,12,2,771
61,0.061,118,85,32,6965,15,12,2,771
62,0.062,118,82,32,6968,15,11,2,772
63,0.063,117,79,33,6971,15,11,2,772
64,0.064,117,75,33,6975,15,10,2,773
65,0.065,114,74,36,6976,15,9,2,774
66,0.066,114,73,36,6977,15,9,2,774
67,0.067,113,71,37,6979,15,9,2,774
68,0.068,113,69,37,6981,15,9,2,774
69,0.069,113,67,37,6983,15,8,2,775
70,0.07,113,64,37,6986,15,8,2,775
71,0.071,113,63,37,6987,15,8,2,775
72,0.072,110,63,40,6987,15,8,2,775
73,0.073,109,63,41,6987,15,7,2,776
74,0.074,108,62,42,6988,14,7,3,776
75,0.075,107,62,43,6988,14,7,3,776
76,0.076,106,62,44,6988,13,7,4,776
77,0.077,104,61,46,6989,13,7,4,776
78,0.078,103,61,47,6989,13,7,4,776
79,0.079,102,61,48,6989,13,7,4,776
80,0.08,102,61,48,6989,13,7,4,776
81,0.081,100,61,50,6989,13,7,4,776
82,0.082,99,61,51,6989,13,7,4,776
83,0.083,99,61,51,6989,12,7,5,776
84,0.084,99,61,51,6989,12,7,5,776
85,0.085,98,59,52,6991,11,7,6,776
86,0.086,96,58,54,6992,11,7,6,776
87,0.087,96,57,54,6993,11,7,6,776
88,0.088,94,56,56,6994,11,7,6,776
89,0.089,94,56,56,6994,11,7,6,776
90,0.09,93,54,57,6996,11,6,6,777
91,0.091,93,54,57,6996,11,6,6,777
92,0.092,93,54,57,6996,11,6,6,777
93,0.093,93,53,57,6997,11,6,6,777
94,0.094,92,53,58,6997,11,6,6,777
95,0.095,91,53,59,6997,11,6,6,777
96,0.096,90,52,60,6998,11,6,6,777
97,0.097,89,52,61,6998,11,6,6,777
98,0.098,89,51,61,6999,10,6,7,777
99,0.099,89,51,61,6999,10,6,7,777
100,0.1,89,51,61,6999,10,6,7,777
101,0.2,59,44,91,7006,8,5,9,778
102,0.3,48,41,102,7009,6,3,11,780
103,0.4,37,28,113,7022,5,0,12,783
104,0.5,31,27,119,7023,4,0,13,783
