,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,75,591,1,2933,8,71,0,321
2,0.002,75,426,1,3098,8,55,0,337
3,0.003,75,337,1,3187,8,49,0,343
4,0.004,75,290,1,3234,8,41,0,351
5,0.005,75,269,1,3255,8,40,0,352
6,0.006,75,248,1,3276,8,35,0,357
7,0.007,75,234,1,3290,8,32,0,360
8,0.008,75,225,1,3299,8,28,0,364
9,0.009,75,210,1,3314,8,27,0,365
10,0.01,75,200,1,3324,8,27,0,365
11,0.011,75,188,1,3336,7,26,1,366
12,0.012,75,184,1,3340,7,26,1,366
13,0.013,75,171,1,3353,7,26,1,366
14,0.014,75,164,1,3360,7,26,1,366
15,0.015,75,153,1,3371,7,26,1,366
16,0.016,75,148,1,3376,7,26,1,366
17,0.017,75,145,1,3379,7,26,1,366
18,0.018,75,144,1,3380,7,26,1,366
19,0.019,75,141,1,3383,7,26,1,366
20,0.02,75,137,1,3387,7,26,1,366
21,0.021,75,131,1,3393,7,26,1,366
22,0.022,75,128,1,3396,7,26,1,366
23,0.023,75,128,1,3396,7,26,1,366
24,0.024,75,127,1,3397,7,25,1,367
25,0.025,75,125,1,3399,7,25,1,367
26,0.026,75,123,1,3401,7,25,1,367
27,0.027,75,122,1,3402,7,25,1,367
28,0.028,75,119,1,3405,7,23,1,369
29,0.029,75,116,1,3408,7,23,1,369
30,0.03,75,116,1,3408,7,23,1,369
31,0.031,75,113,1,3411,7,23,1,369
32,0.032,75,113,1,3411,7,23,1,369
33,0.033,74,113,2,3411,7,23,1,369
34,0.034,74,113,2,3411,7,23,1,369
35,0.035,74,112,2,3412,7,23,1,369
36,0.036,74,112,2,3412,7,23,1,369
37,0.037,74,111,2,3413,7,22,1,370
38,0.038,74,110,2,3414,7,22,1,370
39,0.039,74,110,2,3414,7,22,1,370
40,0.04,74,110,2,3414,7,22,1,370
41,0.041,74,110,2,3414,7,21,1,371
42,0.042,74,110,2,3414,7,21,1,371
43,0.043,74,109,2,3415,7,21,1,371
44,0.044,74,109,2,3415,7,19,1,373
45,0.045,74,109,2,3415,7,19,1,373
46,0.046,74,108,2,3416,7,19,1,373
47,0.047,74,107,2,3417,7,18,1,374
48,0.048,74,107,2,3417,7,18,1,374
49,0.049,74,106,2,3418,7,18,1,374
50,0.05,74,106,2,3418,7,18,1,374
51,0.051,74,102,2,3422,7,18,1,374
52,0.052,74,102,2,3422,7,18,1,374
53,0.053,74,99,2,3425,7,18,1,374
54,0.054,74,99,2,3425,7,18,1,374
55,0.055,74,98,2,3426,7,18,1,374
56,0.056,74,98,2,3426,7,18,1,374
57,0.057,74,96,2,3428,7,18,1,374
58,0.058,74,96,2,3428,7,17,1,375
59,0.059,74,93,2,3431,7,17,1,375
60,0.06,74,92,2,3432,7,17,1,375
61,0.061,74,92,2,3432,7,17,1,375
62,0.062,74,90,2,3434,7,17,1,375
63,0.063,74,90,2,3434,7,17,1,375
64,0.064,74,90,2,3434,7,17,1,375
65,0.065,74,90,2,3434,7,17,1,375
66,0.066,74,89,2,3435,7,16,1,376
67,0.067,74,89,2,3435,7,16,1,376
68,0.068,74,89,2,3435,7,16,1,376
69,0.069,74,88,2,3436,7,16,1,376
70,0.07,74,88,2,3436,7,16,1,376
71,0.071,74,88,2,3436,7,16,1,376
72,0.072,74,88,2,3436,7,16,1,376
73,0.073,73,88,3,3436,7,16,1,376
74,0.074,73,88,3,3436,7,16,1,376
75,0.075,72,88,4,3436,7,14,1,378
76,0.076,72,88,4,3436,7,13,1,379
77,0.077,72,88,4,3436,7,13,1,379
78,0.078,72,88,4,3436,7,13,1,379
79,0.079,72,88,4,3436,7,13,1,379
80,0.08,72,86,4,3438,7,13,1,379
81,0.081,71,85,5,3439,7,13,1,379
82,0.082,71,85,5,3439,7,13,1,379
83,0.083,71,85,5,3439,7,13,1,379
84,0.084,71,84,5,3440,7,13,1,379
85,0.085,71,83,5,3441,7,12,1,380
86,0.086,71,82,5,3442,7,11,1,381
87,0.087,71,80,5,3444,7,11,1,381
88,0.088,71,80,5,3444,7,11,1,381
89,0.089,71,80,5,3444,7,11,1,381
90,0.09,71,79,5,3445,7,11,1,381
91,0.091,71,78,5,3446,7,11,1,381
92,0.092,71,78,5,3446,7,11,1,381
93,0.093,71,78,5,3446,7,11,1,381
94,0.094,71,78,5,3446,7,11,1,381
95,0.095,71,78,5,3446,7,11,1,381
96,0.096,71,78,5,3446,7,11,1,381
97,0.097,71,78,5,3446,7,11,1,381
98,0.098,71,78,5,3446,7,11,1,381
99,0.099,71,78,5,3446,7,11,1,381
100,0.1,71,78,5,3446,7,11,1,381
101,0.2,59,63,17,3461,6,11,2,381
102,0.3,52,48,24,3476,5,9,3,383
103,0.4,44,28,32,3496,3,8,5,384
104,0.5,35,14,41,3510,3,4,5,388
