,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,1561,0,16063,35,245,7,1713
2,0.002,376,1561,0,16063,35,245,7,1713
3,0.003,376,1561,0,16063,35,245,7,1713
4,0.004,376,1561,0,16063,35,245,7,1713
5,0.005,376,1561,0,16063,35,245,7,1713
6,0.006,376,1561,0,16063,35,245,7,1713
7,0.007,376,1561,0,16063,35,245,7,1713
8,0.008,376,1561,0,16063,35,245,7,1713
9,0.009,376,1561,0,16063,35,245,7,1713
10,0.01,376,1561,0,16063,35,245,7,1713
11,0.011,376,956,0,16668,32,175,10,1783
12,0.012,376,956,0,16668,32,175,10,1783
13,0.013,376,956,0,16668,32,175,10,1783
14,0.014,376,956,0,16668,32,175,10,1783
15,0.015,376,956,0,16668,32,175,10,1783
16,0.016,376,956,0,16668,32,175,10,1783
17,0.017,376,956,0,16668,32,175,10,1783
18,0.018,376,956,0,16668,32,175,10,1783
19,0.019,376,956,0,16668,32,175,10,1783
20,0.02,376,956,0,16668,32,175,10,1783
21,0.021,376,693,0,16931,32,141,10,1817
22,0.022,376,693,0,16931,32,141,10,1817
23,0.023,376,693,0,16931,32,141,10,1817
24,0.024,376,693,0,16931,32,141,10,1817
25,0.025,376,693,0,16931,32,141,10,1817
26,0.026,376,693,0,16931,32,141,10,1817
27,0.027,376,693,0,16931,32,141,10,1817
28,0.028,376,693,0,16931,32,141,10,1817
29,0.029,376,693,0,16931,32,141,10,1817
30,0.03,376,693,0,16931,32,141,10,1817
31,0.031,376,524,0,17100,31,118,11,1840
32,0.032,376,524,0,17100,31,118,11,1840
33,0.033,376,524,0,17100,31,118,11,1840
34,0.034,376,524,0,17100,31,118,11,1840
35,0.035,376,524,0,17100,31,118,11,1840
36,0.036,376,524,0,17100,31,118,11,1840
37,0.037,376,524,0,17100,31,118,11,1840
38,0.038,376,524,0,17100,31,118,11,1840
39,0.039,376,524,0,17100,31,118,11,1840
40,0.04,376,524,0,17100,31,118,11,1840
41,0.041,376,408,0,17216,31,103,11,1855
42,0.042,376,408,0,17216,31,103,11,1855
43,0.043,376,408,0,17216,31,103,11,1855
44,0.044,376,408,0,17216,31,103,11,1855
45,0.045,376,408,0,17216,31,103,11,1855
46,0.046,376,408,0,17216,31,103,11,1855
47,0.047,376,408,0,17216,31,103,11,1855
48,0.048,376,408,0,17216,31,103,11,1855
49,0.049,376,408,0,17216,31,103,11,1855
50,0.05,376,408,0,17216,31,103,11,1855
51,0.051,376,327,0,17297,30,87,12,1871
52,0.052,376,327,0,17297,30,87,12,1871
53,0.053,376,327,0,17297,30,87,12,1871
54,0.054,376,327,0,17297,30,87,12,1871
55,0.055,376,327,0,17297,30,87,12,1871
56,0.056,376,327,0,17297,30,87,12,1871
57,0.057,376,327,0,17297,30,87,12,1871
58,0.058,376,327,0,17297,30,87,12,1871
59,0.059,376,327,0,17297,30,87,12,1871
60,0.06,376,327,0,17297,30,87,12,1871
61,0.061,376,270,0,17354,29,78,13,1880
62,0.062,376,270,0,17354,29,78,13,1880
63,0.063,376,270,0,17354,29,78,13,1880
64,0.064,376,270,0,17354,29,78,13,1880
65,0.065,376,270,0,17354,29,78,13,1880
66,0.066,376,270,0,17354,29,78,13,1880
67,0.067,376,270,0,17354,29,78,13,1880
68,0.068,376,270,0,17354,29,78,13,1880
69,0.069,376,270,0,17354,29,78,13,1880
70,0.07,376,270,0,17354,29,78,13,1880
71,0.071,376,215,0,17409,29,66,13,1892
72,0.072,376,215,0,17409,29,66,13,1892
73,0.073,376,215,0,17409,29,66,13,1892
74,0.074,376,215,0,17409,29,66,13,1892
75,0.075,376,215,0,17409,29,66,13,1892
76,0.076,376,215,0,17409,29,66,13,1892
77,0.077,376,215,0,17409,29,66,13,1892
78,0.078,376,215,0,17409,29,66,13,1892
79,0.079,376,215,0,17409,29,66,13,1892
80,0.08,376,215,0,17409,29,66,13,1892
81,0.081,376,188,0,17436,28,58,14,1900
82,0.082,376,188,0,17436,28,58,14,1900
83,0.083,376,188,0,17436,28,58,14,1900
84,0.084,376,188,0,17436,28,58,14,1900
85,0.085,376,188,0,17436,28,58,14,1900
86,0.086,376,188,0,17436,28,58,14,1900
87,0.087,376,188,0,17436,28,58,14,1900
88,0.088,376,188,0,17436,28,58,14,1900
89,0.089,376,188,0,17436,28,58,14,1900
90,0.09,376,188,0,17436,28,58,14,1900
91,0.091,376,159,0,17465,28,52,14,1906
92,0.092,376,159,0,17465,28,52,14,1906
93,0.093,376,159,0,17465,28,52,14,1906
94,0.094,376,159,0,17465,28,52,14,1906
95,0.095,376,159,0,17465,28,52,14,1906
96,0.096,376,159,0,17465,28,52,14,1906
97,0.097,376,159,0,17465,28,52,14,1906
98,0.098,376,159,0,17465,28,52,14,1906
99,0.099,376,159,0,17465,28,52,14,1906
100,0.1,376,159,0,17465,28,52,14,1906
101,0.2,376,26,0,17598,21,20,21,1938
102,0.3,376,4,0,17620,17,11,25,1947
103,0.4,376,0,0,17624,16,3,26,1955
104,0.5,376,0,0,17624,12,1,30,1957
