,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8787,0,25,21,976,0,3
3,0.003,188,6898,0,1914,21,758,0,221
4,0.004,188,3697,0,5115,21,387,0,592
5,0.005,188,2230,0,6582,21,235,0,744
6,0.006,188,1710,0,7102,21,174,0,805
7,0.007,188,1592,0,7220,21,159,0,820
8,0.008,188,1427,0,7385,21,141,0,838
9,0.009,188,1243,0,7569,21,124,0,855
10,0.01,188,954,0,7858,21,87,0,892
11,0.011,188,684,0,8128,21,61,0,918
12,0.012,188,587,0,8225,21,52,0,927
13,0.013,188,551,0,8261,21,46,0,933
14,0.014,188,537,0,8275,21,42,0,937
15,0.015,188,521,0,8291,21,41,0,938
16,0.016,188,505,0,8307,21,41,0,938
17,0.017,188,493,0,8319,21,40,0,939
18,0.018,188,460,0,8352,21,39,0,940
19,0.019,188,423,0,8389,21,33,0,946
20,0.02,188,391,0,8421,21,32,0,947
21,0.021,188,375,0,8437,21,32,0,947
22,0.022,187,369,1,8443,21,32,0,947
23,0.023,187,363,1,8449,21,32,0,947
24,0.024,187,359,1,8453,21,32,0,947
25,0.025,187,356,1,8456,21,32,0,947
26,0.026,187,351,1,8461,21,31,0,948
27,0.027,187,343,1,8469,21,31,0,948
28,0.028,187,334,1,8478,21,27,0,952
29,0.029,187,326,1,8486,21,26,0,953
30,0.03,187,318,1,8494,21,26,0,953
31,0.031,186,309,2,8503,21,26,0,953
32,0.032,186,306,2,8506,21,25,0,954
33,0.033,186,295,2,8517,21,24,0,955
34,0.034,186,281,2,8531,21,22,0,957
35,0.035,186,271,2,8541,21,21,0,958
36,0.036,185,262,3,8550,21,18,0,961
37,0.037,185,255,3,8557,21,17,0,962
38,0.038,184,250,4,8562,21,17,0,962
39,0.039,184,246,4,8566,21,17,0,962
40,0.04,183,241,5,8571,21,17,0,962
41,0.041,183,236,5,8576,21,17,0,962
42,0.042,183,231,5,8581,21,17,0,962
43,0.043,183,228,5,8584,21,17,0,962
44,0.044,183,227,5,8585,21,15,0,964
45,0.045,183,224,5,8588,21,15,0,964
46,0.046,183,223,5,8589,21,15,0,964
47,0.047,182,223,6,8589,21,15,0,964
48,0.048,182,222,6,8590,21,15,0,964
49,0.049,182,222,6,8590,21,15,0,964
50,0.05,182,221,6,8591,20,15,1,964
51,0.051,181,218,7,8594,20,14,1,965
52,0.052,181,215,7,8597,20,14,1,965
53,0.053,181,213,7,8599,20,14,1,965
54,0.054,181,213,7,8599,20,13,1,966
55,0.055,181,212,7,8600,20,13,1,966
56,0.056,181,211,7,8601,20,13,1,966
57,0.057,181,210,7,8602,20,13,1,966
58,0.058,181,209,7,8603,20,13,1,966
59,0.059,181,208,7,8604,20,13,1,966
60,0.06,181,207,7,8605,20,13,1,966
61,0.061,181,203,7,8609,20,13,1,966
62,0.062,181,200,7,8612,20,13,1,966
63,0.063,181,198,7,8614,20,13,1,966
64,0.064,181,197,7,8615,20,13,1,966
65,0.065,181,192,7,8620,20,13,1,966
66,0.066,181,188,7,8624,20,13,1,966
67,0.067,181,181,7,8631,20,13,1,966
68,0.068,181,174,7,8638,20,11,1,968
69,0.069,181,172,7,8640,20,11,1,968
70,0.07,181,169,7,8643,20,11,1,968
71,0.071,181,162,7,8650,20,10,1,969
72,0.072,181,147,7,8665,20,10,1,969
73,0.073,180,145,8,8667,20,10,1,969
74,0.074,180,137,8,8675,20,9,1,970
75,0.075,180,128,8,8684,20,8,1,971
76,0.076,180,125,8,8687,20,7,1,972
77,0.077,180,118,8,8694,20,6,1,973
78,0.078,180,115,8,8697,20,6,1,973
79,0.079,180,112,8,8700,20,6,1,973
80,0.08,179,107,9,8705,20,6,1,973
81,0.081,176,100,12,8712,20,6,1,973
82,0.082,176,97,12,8715,20,6,1,973
83,0.083,176,92,12,8720,20,6,1,973
84,0.084,175,90,13,8722,20,6,1,973
85,0.085,175,89,13,8723,20,6,1,973
86,0.086,175,86,13,8726,20,5,1,974
87,0.087,175,83,13,8729,20,5,1,974
88,0.088,174,82,14,8730,20,5,1,974
89,0.089,174,80,14,8732,20,5,1,974
90,0.09,174,78,14,8734,20,5,1,974
91,0.091,173,77,15,8735,19,5,2,974
92,0.092,173,76,15,8736,19,5,2,974
93,0.093,172,75,16,8737,19,5,2,974
94,0.094,171,71,17,8741,19,5,2,974
95,0.095,170,69,18,8743,19,5,2,974
96,0.096,170,67,18,8745,19,5,2,974
97,0.097,169,67,19,8745,19,5,2,974
98,0.098,169,66,19,8746,19,5,2,974
99,0.099,169,66,19,8746,19,5,2,974
100,0.1,168,66,20,8746,18,5,3,974
101,0.2,122,40,66,8772,16,5,5,974
102,0.3,101,35,87,8777,14,4,7,975
103,0.4,84,34,104,8778,14,3,7,976
104,0.5,80,33,108,8779,11,3,10,976
