,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,713,0,168,2,85,0,13
2,0.002,19,352,0,529,2,48,0,50
3,0.003,19,183,0,698,2,18,0,80
4,0.004,19,115,0,766,2,12,0,86
5,0.005,19,103,0,778,2,10,0,88
6,0.006,19,77,0,804,2,9,0,89
7,0.007,19,65,0,816,2,8,0,90
8,0.008,19,54,0,827,2,7,0,91
9,0.009,19,47,0,834,2,6,0,92
10,0.01,19,40,0,841,2,5,0,93
11,0.011,19,34,0,847,2,5,0,93
12,0.012,19,6,0,875,2,5,0,93
13,0.013,19,5,0,876,2,5,0,93
14,0.014,19,4,0,877,2,4,0,94
15,0.015,19,4,0,877,2,4,0,94
16,0.016,19,3,0,878,2,4,0,94
17,0.017,19,3,0,878,2,4,0,94
18,0.018,19,3,0,878,2,4,0,94
19,0.019,19,3,0,878,2,3,0,95
20,0.02,19,3,0,878,2,3,0,95
21,0.021,19,3,0,878,2,2,0,96
22,0.022,19,3,0,878,2,2,0,96
23,0.023,19,3,0,878,2,2,0,96
24,0.024,19,3,0,878,2,2,0,96
25,0.025,19,3,0,878,2,2,0,96
26,0.026,19,3,0,878,2,2,0,96
27,0.027,19,3,0,878,2,2,0,96
28,0.028,19,3,0,878,2,2,0,96
29,0.029,19,3,0,878,2,2,0,96
30,0.03,19,3,0,878,2,2,0,96
31,0.031,19,3,0,878,2,2,0,96
32,0.032,19,3,0,878,2,2,0,96
33,0.033,19,3,0,878,2,2,0,96
34,0.034,19,3,0,878,2,2,0,96
35,0.035,19,3,0,878,2,2,0,96
36,0.036,19,2,0,879,2,2,0,96
37,0.037,19,2,0,879,2,2,0,96
38,0.038,19,2,0,879,2,2,0,96
39,0.039,19,2,0,879,2,2,0,96
40,0.04,19,2,0,879,2,2,0,96
41,0.041,19,2,0,879,2,2,0,96
42,0.042,19,2,0,879,2,2,0,96
43,0.043,19,2,0,879,2,2,0,96
44,0.044,19,2,0,879,2,2,0,96
45,0.045,19,2,0,879,2,2,0,96
46,0.046,19,2,0,879,2,2,0,96
47,0.047,19,2,0,879,2,2,0,96
48,0.048,19,2,0,879,2,2,0,96
49,0.049,19,2,0,879,2,1,0,97
50,0.05,19,2,0,879,2,1,0,97
51,0.051,19,2,0,879,2,1,0,97
52,0.052,19,2,0,879,2,1,0,97
53,0.053,19,2,0,879,2,1,0,97
54,0.054,19,2,0,879,2,1,0,97
55,0.055,19,2,0,879,2,1,0,97
56,0.056,19,2,0,879,2,1,0,97
57,0.057,19,2,0,879,2,1,0,97
58,0.058,19,2,0,879,2,1,0,97
59,0.059,19,2,0,879,2,1,0,97
60,0.06,19,2,0,879,2,1,0,97
61,0.061,19,1,0,880,2,1,0,97
62,0.062,19,1,0,880,2,1,0,97
63,0.063,19,1,0,880,2,1,0,97
64,0.064,19,1,0,880,2,1,0,97
65,0.065,19,1,0,880,2,1,0,97
66,0.066,19,1,0,880,2,1,0,97
67,0.067,19,1,0,880,2,1,0,97
68,0.068,19,1,0,880,2,1,0,97
69,0.069,19,1,0,880,2,1,0,97
70,0.07,19,1,0,880,2,1,0,97
71,0.071,19,1,0,880,2,1,0,97
72,0.072,19,1,0,880,2,1,0,97
73,0.073,19,1,0,880,2,1,0,97
74,0.074,19,1,0,880,2,1,0,97
75,0.075,19,1,0,880,2,0,0,98
76,0.076,19,1,0,880,2,0,0,98
77,0.077,19,1,0,880,2,0,0,98
78,0.078,19,1,0,880,2,0,0,98
79,0.079,19,1,0,880,2,0,0,98
80,0.08,19,1,0,880,2,0,0,98
81,0.081,19,1,0,880,2,0,0,98
82,0.082,19,1,0,880,2,0,0,98
83,0.083,19,1,0,880,2,0,0,98
84,0.084,19,1,0,880,2,0,0,98
85,0.085,19,1,0,880,2,0,0,98
86,0.086,19,1,0,880,2,0,0,98
87,0.087,19,1,0,880,2,0,0,98
88,0.088,19,1,0,880,2,0,0,98
89,0.089,19,1,0,880,2,0,0,98
90,0.09,19,1,0,880,2,0,0,98
91,0.091,19,1,0,880,2,0,0,98
92,0.092,19,1,0,880,2,0,0,98
93,0.093,19,1,0,880,2,0,0,98
94,0.094,19,1,0,880,2,0,0,98
95,0.095,19,1,0,880,2,0,0,98
96,0.096,19,1,0,880,2,0,0,98
97,0.097,19,1,0,880,2,0,0,98
98,0.098,19,1,0,880,2,0,0,98
99,0.099,19,1,0,880,2,0,0,98
100,0.1,19,1,0,880,2,0,0,98
101,0.2,19,1,0,880,2,0,0,98
102,0.3,18,1,1,880,2,0,0,98
103,0.4,18,1,1,880,2,0,0,98
104,0.5,18,1,1,880,2,0,0,98
