,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,150,7050,0,0,17,783,0,0
1,0.001,150,7050,0,0,17,782,0,1
2,0.002,150,6986,0,64,17,770,0,13
3,0.003,150,2127,0,4923,16,229,1,554
4,0.004,150,1364,0,5686,15,140,2,643
5,0.005,150,878,0,6172,14,86,3,697
6,0.006,150,644,0,6406,14,61,3,722
7,0.007,149,521,1,6529,14,50,3,733
8,0.008,149,422,1,6628,14,41,3,742
9,0.009,149,375,1,6675,14,36,3,747
10,0.01,148,365,2,6685,14,34,3,749
11,0.011,147,347,3,6703,14,33,3,750
12,0.012,145,345,5,6705,14,32,3,751
13,0.013,145,341,5,6709,14,31,3,752
14,0.014,145,322,5,6728,14,30,3,753
15,0.015,144,318,6,6732,14,30,3,753
16,0.016,144,317,6,6733,14,30,3,753
17,0.017,144,315,6,6735,14,30,3,753
18,0.018,144,310,6,6740,14,30,3,753
19,0.019,144,304,6,6746,14,30,3,753
20,0.02,144,301,6,6749,14,29,3,754
21,0.021,144,299,6,6751,14,29,3,754
22,0.022,144,291,6,6759,14,29,3,754
23,0.023,144,282,6,6768,14,29,3,754
24,0.024,144,238,6,6812,14,25,3,758
25,0.025,144,234,6,6816,14,24,3,759
26,0.026,144,200,6,6850,14,17,3,766
27,0.027,144,200,6,6850,14,17,3,766
28,0.028,144,189,6,6861,14,17,3,766
29,0.029,144,175,6,6875,14,13,3,770
30,0.03,144,173,6,6877,14,12,3,771
31,0.031,144,171,6,6879,14,12,3,771
32,0.032,144,166,6,6884,14,12,3,771
33,0.033,144,165,6,6885,14,12,3,771
34,0.034,144,163,6,6887,14,12,3,771
35,0.035,144,161,6,6889,14,11,3,772
36,0.036,144,160,6,6890,14,11,3,772
37,0.037,144,160,6,6890,14,11,3,772
38,0.038,144,156,6,6894,14,11,3,772
39,0.039,143,151,7,6899,13,11,4,772
40,0.04,143,151,7,6899,13,11,4,772
41,0.041,143,147,7,6903,13,11,4,772
42,0.042,143,146,7,6904,13,11,4,772
43,0.043,143,139,7,6911,12,11,5,772
44,0.044,143,139,7,6911,12,11,5,772
45,0.045,143,139,7,6911,12,11,5,772
46,0.046,143,139,7,6911,12,11,5,772
47,0.047,143,135,7,6915,12,11,5,772
48,0.048,143,134,7,6916,12,11,5,772
49,0.049,143,134,7,6916,12,10,5,773
50,0.05,143,133,7,6917,12,10,5,773
51,0.051,143,132,7,6918,12,10,5,773
52,0.052,143,132,7,6918,12,10,5,773
53,0.053,143,130,7,6920,12,10,5,773
54,0.054,143,130,7,6920,12,10,5,773
55,0.055,143,130,7,6920,12,10,5,773
56,0.056,143,130,7,6920,12,10,5,773
57,0.057,143,129,7,6921,12,10,5,773
58,0.058,143,125,7,6925,12,10,5,773
59,0.059,143,124,7,6926,12,10,5,773
60,0.06,143,124,7,6926,12,10,5,773
61,0.061,143,124,7,6926,12,10,5,773
62,0.062,143,124,7,6926,12,10,5,773
63,0.063,143,123,7,6927,12,10,5,773
64,0.064,143,123,7,6927,12,10,5,773
65,0.065,143,123,7,6927,12,10,5,773
66,0.066,143,123,7,6927,12,10,5,773
67,0.067,143,123,7,6927,12,10,5,773
68,0.068,143,123,7,6927,12,10,5,773
69,0.069,143,123,7,6927,12,10,5,773
70,0.07,143,122,7,6928,12,10,5,773
71,0.071,143,122,7,6928,12,10,5,773
72,0.072,143,122,7,6928,12,10,5,773
73,0.073,143,122,7,6928,12,10,5,773
74,0.074,143,122,7,6928,12,10,5,773
75,0.075,143,121,7,6929,12,10,5,773
76,0.076,143,118,7,6932,12,10,5,773
77,0.077,143,118,7,6932,12,10,5,773
78,0.078,143,118,7,6932,12,10,5,773
79,0.079,143,117,7,6933,12,10,5,773
80,0.08,141,102,9,6948,11,7,6,776
81,0.081,141,102,9,6948,11,7,6,776
82,0.082,141,101,9,6949,11,7,6,776
83,0.083,141,101,9,6949,11,7,6,776
84,0.084,141,101,9,6949,11,7,6,776
85,0.085,141,99,9,6951,11,7,6,776
86,0.086,141,99,9,6951,11,7,6,776
87,0.087,140,97,10,6953,11,7,6,776
88,0.088,140,97,10,6953,11,7,6,776
89,0.089,140,96,10,6954,11,7,6,776
90,0.09,140,96,10,6954,11,7,6,776
91,0.091,140,95,10,6955,11,7,6,776
92,0.092,139,93,11,6957,11,7,6,776
93,0.093,138,93,12,6957,11,7,6,776
94,0.094,138,92,12,6958,11,7,6,776
95,0.095,138,92,12,6958,11,7,6,776
96,0.096,138,92,12,6958,11,7,6,776
97,0.097,138,92,12,6958,11,7,6,776
98,0.098,138,92,12,6958,11,7,6,776
99,0.099,138,91,12,6959,11,7,6,776
100,0.1,138,91,12,6959,11,7,6,776
101,0.2,133,48,17,7002,10,6,7,777
102,0.3,130,30,20,7020,8,5,9,778
103,0.4,119,15,31,7035,7,5,10,778
104,0.5,110,6,40,7044,6,3,11,780
