,roc_score_training,roc_score_test,roc_pr_score_training,roc_pr__score_test
ResPrecisionRecall_SVM_10000_2_linear,0.501996793540723,0.45663699596283863,0.02133153083481194,0.015273728458717521
ResPrecisionRecall_SVM_10000_2_rbf,0.49625450304710206,0.48360815214747804,0.019316651039408262,0.018272651642248228
ResPrecisionRecall_SVM_10000_4_linear,0.5273581238350026,0.6755678778150689,0.026342280936948365,0.05947019030875139
ResPrecisionRecall_SVM_10000_4_rbf,0.8762495050269942,0.8672600807432267,0.37091302172613516,0.3967988896100623
ResPrecisionRecall_SVM_10000_6_linear,0.9941261191218935,0.9958655576633104,0.4052937774617369,0.3666489402778655
ResPrecisionRecall_SVM_10000_6_rbf,0.994602983359249,0.9938226567440049,0.3616852302859877,0.3347417213235092
ResPrecisionRecall_SVM_10000_8_linear,0.9994150867772187,0.9979570990806947,0.030326374404827043,0.0433841520798043
ResPrecisionRecall_SVM_10000_8_rbf,0.999181181850668,0.9967897271268059,0.05020785194253352,0.118769946409698
ResPrecisionRecall_SVM_1000_2_linear,0.3677639046538025,0.7423469387755102,0.014977659284604376,0.03478163992869875
ResPrecisionRecall_SVM_1000_2_rbf,0.358683314415437,0.6020408163265306,0.010555555555555556,0.022857142857142857
ResPrecisionRecall_SVM_1000_4_linear,0.4105382639345242,0.596938775510204,0.025867174805990358,0.05141025641025641
ResPrecisionRecall_SVM_1000_4_rbf,0.9476969950415197,0.8826530612244897,0.7764335829704542,0.5104166666666667
ResPrecisionRecall_SVM_1000_6_linear,0.9977298524404087,1.0,0.04749373433583965,0.0
ResPrecisionRecall_SVM_1000_6_rbf,0.9977298524404087,1.0,0.04749373433583965,0.5
ResPrecisionRecall_SVM_1000_8_linear,0.998835055857578,1.0,0.04874027173196153,0.5
ResPrecisionRecall_SVM_1000_8_rbf,0.9988649262202043,1.0,0.09971529701446599,0.0
ResPrecisionRecall_SVM_20000_2_linear,0.43558778949884586,0.4695328080159541,0.016390310585195963,0.017896438436821895
ResPrecisionRecall_SVM_20000_2_rbf,0.4607026896350238,0.5766209445984727,0.018960624011808147,0.023545969488570156
ResPrecisionRecall_SVM_20000_4_linear,0.4877176523068157,0.4736854905394231,0.010930645828694683,0.010934277898313832
ResPrecisionRecall_SVM_20000_4_rbf,0.820185814073652,0.7693406780485432,0.31067947014278424,0.3454641529073271
ResPrecisionRecall_SVM_20000_6_linear,0.9919890580784424,0.9882533197139939,0.41046161739939035,0.4333378073346814
ResPrecisionRecall_SVM_20000_6_rbf,0.9922831746602795,0.9888552458777179,0.31453483571742524,0.38147601039668616
ResPrecisionRecall_SVM_20000_8_linear,0.9991961970378884,0.9994771146456539,0.030343309062142276,0.04595040546341095
ResPrecisionRecall_SVM_20000_8_rbf,0.9990303508996436,0.9998662386302836,0.025215984110407305,0.06579979213907781
ResPrecisionRecall_SVM_2000_2_linear,0.5406236931716351,0.3928571428571429,0.021648102753352733,0.014360633951547587
ResPrecisionRecall_SVM_2000_2_rbf,0.3366539219786128,0.6479591836734694,0.012837728097831281,0.017543859649122806
ResPrecisionRecall_SVM_2000_4_linear,0.6474475775135909,0.4566326530612245,0.031035754968046596,0.01637642299298346
ResPrecisionRecall_SVM_2000_4_rbf,0.834622737320031,0.5529336734693877,0.40495883077383465,0.014287612971823498
ResPrecisionRecall_SVM_2000_6_linear,0.996378218531573,0.9866071428571429,0.3206510452747908,0.2375
ResPrecisionRecall_SVM_2000_6_rbf,0.9966321166138956,0.9872448979591838,0.3399474444066889,0.2113095238095238
ResPrecisionRecall_SVM_2000_8_linear,0.9988425234482347,1.0,0.024075814536340827,0.0
ResPrecisionRecall_SVM_2000_8_rbf,1.0,1.0000000000000002,0.0,0.25
ResPrecisionRecall_SVM_4000_2_linear,0.49751889300436103,0.6211734693877551,0.020273995073566274,0.02397996072865973
ResPrecisionRecall_SVM_4000_2_rbf,0.5149837206523686,0.5475127551020408,0.022387568177542408,0.020061611301393705
ResPrecisionRecall_SVM_4000_4_linear,0.9952860833980525,0.9944196428571428,0.1463785701352582,0.08541666666666667
ResPrecisionRecall_SVM_4000_4_rbf,0.9966638538741861,0.9936224489795918,0.15890204269567684,0.15967365967365965
ResPrecisionRecall_SVM_4000_6_linear,0.9829458898381027,0.9794323979591837,0.3937211712118952,0.29225292370672806
ResPrecisionRecall_SVM_4000_6_rbf,0.9797292251627935,0.9808673469387754,0.3677973645048085,0.3165671675582161
ResPrecisionRecall_SVM_4000_8_linear,0.9991076229165422,1.0,0.036312854769896895,0.125
ResPrecisionRecall_SVM_4000_8_rbf,0.9991262918931836,0.9974489795918366,0.04963709046343949,0.0
ResPrecisionRecall_SVM_6000_2_linear,0.47748359224747283,0.4160289115646258,0.01833487075713666,0.02183842113360146
ResPrecisionRecall_SVM_6000_2_rbf,0.5296695350592788,0.5464143990929705,0.021967446158334375,0.020622578525997217
ResPrecisionRecall_SVM_6000_4_linear,0.7029372429619487,0.8032879818594104,0.10854158009441456,0.0674419279145683
ResPrecisionRecall_SVM_6000_4_rbf,0.9486526477534644,0.8935657596371882,0.4413230854467279,0.38271778077061364
ResPrecisionRecall_SVM_6000_6_linear,0.9852437121785174,0.9925959900406238,0.37660949632866486,0.4019597645590377
ResPrecisionRecall_SVM_6000_6_rbf,0.9919747541603632,0.9923339011925043,0.34754656272463086,0.3104635560517913
ResPrecisionRecall_SVM_6000_8_linear,0.9988500764104977,1.0,0.04134274375017513,0.0
ResPrecisionRecall_SVM_6000_8_rbf,0.9988492394937658,1.0,0.03292582503667978,0.0
ResPrecisionRecall_SVM_8000_2_linear,0.5398789598108746,0.5391781233566223,0.020550787560523975,0.020999322184447285
ResPrecisionRecall_SVM_8000_2_rbf,0.5788860520094563,0.544286680189317,0.022331366283128266,0.021001017547425033
ResPrecisionRecall_SVM_8000_4_linear,0.48156028368794335,0.482495680264443,0.014118222816929328,0.014415160642570281
ResPrecisionRecall_SVM_8000_4_rbf,0.9342633569739953,0.901585155134851,0.5648527349114403,0.5390514659931784
ResPrecisionRecall_SVM_8000_6_linear,0.9906747044917257,0.99008338967771,0.4252483485943632,0.42252034802499866
ResPrecisionRecall_SVM_8000_6_rbf,0.9908449172576832,0.993088423108707,0.36589684739832173,0.36646635119908
ResPrecisionRecall_SVM_8000_8_linear,0.9986917257683215,1.0,0.061466073634708504,0.17647058823529416
ResPrecisionRecall_SVM_8000_8_rbf,0.998952718676123,0.9999248741642252,0.06765141373730228,0.11437908496732029
