,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,964,0,7848,21,114,0,865
2,0.002,188,440,0,8372,21,55,0,924
3,0.003,188,300,0,8512,21,39,0,940
4,0.004,188,210,0,8602,21,30,0,949
5,0.005,188,152,0,8660,21,22,0,957
6,0.006,188,75,0,8737,21,18,0,961
7,0.007,188,67,0,8745,21,15,0,964
8,0.008,188,62,0,8750,21,15,0,964
9,0.009,188,59,0,8753,21,15,0,964
10,0.01,188,59,0,8753,21,15,0,964
11,0.011,188,56,0,8756,21,14,0,965
12,0.012,188,56,0,8756,21,13,0,966
13,0.013,188,53,0,8759,21,13,0,966
14,0.014,188,52,0,8760,21,12,0,967
15,0.015,188,51,0,8761,21,12,0,967
16,0.016,188,48,0,8764,21,12,0,967
17,0.017,188,45,0,8767,21,11,0,968
18,0.018,188,43,0,8769,21,11,0,968
19,0.019,188,41,0,8771,21,10,0,969
20,0.02,188,40,0,8772,21,10,0,969
21,0.021,188,40,0,8772,21,10,0,969
22,0.022,188,38,0,8774,21,10,0,969
23,0.023,188,38,0,8774,21,9,0,970
24,0.024,188,36,0,8776,21,9,0,970
25,0.025,188,36,0,8776,21,8,0,971
26,0.026,188,34,0,8778,21,8,0,971
27,0.027,188,34,0,8778,21,8,0,971
28,0.028,188,34,0,8778,21,7,0,972
29,0.029,188,34,0,8778,21,7,0,972
30,0.03,188,32,0,8780,21,7,0,972
31,0.031,188,29,0,8783,21,7,0,972
32,0.032,188,29,0,8783,21,7,0,972
33,0.033,188,29,0,8783,21,7,0,972
34,0.034,188,28,0,8784,21,7,0,972
35,0.035,188,27,0,8785,21,7,0,972
36,0.036,188,27,0,8785,21,7,0,972
37,0.037,188,27,0,8785,21,7,0,972
38,0.038,188,27,0,8785,21,7,0,972
39,0.039,188,27,0,8785,21,7,0,972
40,0.04,188,27,0,8785,21,7,0,972
41,0.041,188,26,0,8786,21,7,0,972
42,0.042,188,26,0,8786,21,7,0,972
43,0.043,188,26,0,8786,21,7,0,972
44,0.044,188,26,0,8786,21,7,0,972
45,0.045,188,26,0,8786,21,7,0,972
46,0.046,188,25,0,8787,21,7,0,972
47,0.047,188,25,0,8787,21,7,0,972
48,0.048,188,25,0,8787,21,7,0,972
49,0.049,188,25,0,8787,21,7,0,972
50,0.05,188,25,0,8787,21,7,0,972
51,0.051,188,25,0,8787,21,7,0,972
52,0.052,188,24,0,8788,21,7,0,972
53,0.053,188,22,0,8790,21,7,0,972
54,0.054,188,22,0,8790,21,7,0,972
55,0.055,187,22,1,8790,21,7,0,972
56,0.056,187,21,1,8791,21,7,0,972
57,0.057,187,21,1,8791,21,7,0,972
58,0.058,187,20,1,8792,21,7,0,972
59,0.059,187,19,1,8793,21,7,0,972
60,0.06,187,18,1,8794,21,7,0,972
61,0.061,187,18,1,8794,21,7,0,972
62,0.062,187,18,1,8794,21,7,0,972
63,0.063,187,18,1,8794,21,7,0,972
64,0.064,187,18,1,8794,21,7,0,972
65,0.065,187,18,1,8794,21,7,0,972
66,0.066,187,18,1,8794,21,7,0,972
67,0.067,187,18,1,8794,21,7,0,972
68,0.068,187,18,1,8794,21,7,0,972
69,0.069,186,18,2,8794,21,7,0,972
70,0.07,186,17,2,8795,21,7,0,972
71,0.071,186,17,2,8795,21,7,0,972
72,0.072,186,17,2,8795,21,7,0,972
73,0.073,186,17,2,8795,21,7,0,972
74,0.074,186,17,2,8795,21,7,0,972
75,0.075,186,17,2,8795,21,7,0,972
76,0.076,186,17,2,8795,21,6,0,973
77,0.077,186,17,2,8795,21,6,0,973
78,0.078,186,16,2,8796,21,6,0,973
79,0.079,186,16,2,8796,21,6,0,973
80,0.08,186,16,2,8796,21,6,0,973
81,0.081,186,16,2,8796,21,6,0,973
82,0.082,186,16,2,8796,21,6,0,973
83,0.083,186,16,2,8796,21,6,0,973
84,0.084,186,16,2,8796,21,6,0,973
85,0.085,186,15,2,8797,21,6,0,973
86,0.086,186,15,2,8797,21,6,0,973
87,0.087,186,15,2,8797,21,6,0,973
88,0.088,186,15,2,8797,21,6,0,973
89,0.089,186,15,2,8797,21,5,0,974
90,0.09,186,15,2,8797,21,5,0,974
91,0.091,186,15,2,8797,21,5,0,974
92,0.092,186,15,2,8797,21,5,0,974
93,0.093,186,15,2,8797,21,5,0,974
94,0.094,186,15,2,8797,21,5,0,974
95,0.095,186,15,2,8797,21,5,0,974
96,0.096,186,15,2,8797,21,5,0,974
97,0.097,186,15,2,8797,21,5,0,974
98,0.098,186,15,2,8797,21,5,0,974
99,0.099,186,15,2,8797,21,5,0,974
100,0.1,186,15,2,8797,21,5,0,974
101,0.2,185,12,3,8800,19,4,2,975
102,0.3,184,8,4,8804,19,3,2,976
103,0.4,180,8,8,8804,18,3,3,976
104,0.5,178,7,10,8805,18,3,3,976
