,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1700,0,62,4,189,0,7
2,0.002,38,1273,0,489,4,155,0,41
3,0.003,38,1003,0,759,4,129,0,67
4,0.004,38,767,0,995,4,106,0,90
5,0.005,38,569,0,1193,4,85,0,111
6,0.006,38,394,0,1368,4,61,0,135
7,0.007,38,301,0,1461,4,44,0,152
8,0.008,38,229,0,1533,4,33,0,163
9,0.009,38,185,0,1577,4,31,0,165
10,0.01,38,154,0,1608,4,25,0,171
11,0.011,38,130,0,1632,4,21,0,175
12,0.012,38,112,0,1650,4,17,0,179
13,0.013,38,95,0,1667,4,14,0,182
14,0.014,38,82,0,1680,4,14,0,182
15,0.015,38,76,0,1686,4,13,0,183
16,0.016,38,73,0,1689,4,11,0,185
17,0.017,38,60,0,1702,4,9,0,187
18,0.018,38,56,0,1706,4,9,0,187
19,0.019,38,53,0,1709,4,9,0,187
20,0.02,38,52,0,1710,4,9,0,187
21,0.021,38,51,0,1711,4,9,0,187
22,0.022,38,49,0,1713,4,8,0,188
23,0.023,38,46,0,1716,4,8,0,188
24,0.024,38,43,0,1719,4,7,0,189
25,0.025,38,42,0,1720,4,7,0,189
26,0.026,38,40,0,1722,4,7,0,189
27,0.027,38,40,0,1722,4,7,0,189
28,0.028,38,39,0,1723,4,7,0,189
29,0.029,38,37,0,1725,4,7,0,189
30,0.03,38,35,0,1727,4,7,0,189
31,0.031,38,35,0,1727,4,7,0,189
32,0.032,38,26,0,1736,4,7,0,189
33,0.033,38,25,0,1737,4,7,0,189
34,0.034,38,25,0,1737,4,7,0,189
35,0.035,38,24,0,1738,4,7,0,189
36,0.036,38,24,0,1738,4,7,0,189
37,0.037,38,22,0,1740,4,6,0,190
38,0.038,38,22,0,1740,4,6,0,190
39,0.039,38,22,0,1740,4,6,0,190
40,0.04,38,21,0,1741,4,6,0,190
41,0.041,38,20,0,1742,4,6,0,190
42,0.042,38,19,0,1743,4,6,0,190
43,0.043,38,18,0,1744,4,6,0,190
44,0.044,38,18,0,1744,4,5,0,191
45,0.045,38,16,0,1746,4,5,0,191
46,0.046,38,16,0,1746,4,5,0,191
47,0.047,38,16,0,1746,4,5,0,191
48,0.048,38,16,0,1746,4,5,0,191
49,0.049,38,15,0,1747,4,5,0,191
50,0.05,38,15,0,1747,4,5,0,191
51,0.051,38,14,0,1748,4,5,0,191
52,0.052,38,13,0,1749,4,5,0,191
53,0.053,38,13,0,1749,4,5,0,191
54,0.054,38,13,0,1749,4,4,0,192
55,0.055,38,13,0,1749,4,4,0,192
56,0.056,38,13,0,1749,4,4,0,192
57,0.057,38,13,0,1749,4,4,0,192
58,0.058,38,13,0,1749,4,4,0,192
59,0.059,38,13,0,1749,4,4,0,192
60,0.06,38,13,0,1749,3,3,1,193
61,0.061,38,13,0,1749,3,3,1,193
62,0.062,38,13,0,1749,3,3,1,193
63,0.063,38,12,0,1750,3,3,1,193
64,0.064,38,12,0,1750,3,3,1,193
65,0.065,38,11,0,1751,3,3,1,193
66,0.066,38,11,0,1751,3,3,1,193
67,0.067,38,11,0,1751,3,3,1,193
68,0.068,38,10,0,1752,3,3,1,193
69,0.069,38,10,0,1752,3,3,1,193
70,0.07,38,10,0,1752,3,3,1,193
71,0.071,38,9,0,1753,3,3,1,193
72,0.072,37,9,1,1753,3,3,1,193
73,0.073,37,8,1,1754,3,3,1,193
74,0.074,37,8,1,1754,3,3,1,193
75,0.075,37,8,1,1754,3,3,1,193
76,0.076,37,8,1,1754,3,3,1,193
77,0.077,37,8,1,1754,3,3,1,193
78,0.078,37,8,1,1754,3,3,1,193
79,0.079,37,8,1,1754,3,3,1,193
80,0.08,37,8,1,1754,3,3,1,193
81,0.081,37,8,1,1754,3,3,1,193
82,0.082,37,8,1,1754,3,3,1,193
83,0.083,37,8,1,1754,3,3,1,193
84,0.084,37,8,1,1754,3,3,1,193
85,0.085,37,8,1,1754,3,3,1,193
86,0.086,37,8,1,1754,3,3,1,193
87,0.087,37,8,1,1754,3,3,1,193
88,0.088,37,8,1,1754,3,3,1,193
89,0.089,37,8,1,1754,3,3,1,193
90,0.09,37,7,1,1755,3,3,1,193
91,0.091,37,7,1,1755,3,3,1,193
92,0.092,37,7,1,1755,3,3,1,193
93,0.093,37,7,1,1755,3,3,1,193
94,0.094,37,7,1,1755,3,3,1,193
95,0.095,35,7,3,1755,3,3,1,193
96,0.096,35,7,3,1755,3,3,1,193
97,0.097,35,7,3,1755,3,3,1,193
98,0.098,35,7,3,1755,3,3,1,193
99,0.099,35,7,3,1755,3,3,1,193
100,0.1,35,7,3,1755,2,3,2,193
101,0.2,29,7,9,1755,2,3,2,193
102,0.3,27,7,11,1755,2,2,2,194
103,0.4,24,6,14,1756,2,2,2,194
104,0.5,23,6,15,1756,2,2,2,194
