,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1756,0,6,4,194,0,2
5,0.005,38,1633,0,129,4,184,0,12
6,0.006,38,1471,0,291,4,168,0,28
7,0.007,38,1335,0,427,4,156,0,40
8,0.008,38,1229,0,533,4,145,0,51
9,0.009,38,1089,0,673,4,135,0,61
10,0.01,38,962,0,800,4,121,0,75
11,0.011,38,854,0,908,4,109,0,87
12,0.012,38,732,0,1030,4,101,0,95
13,0.013,38,633,0,1129,4,90,0,106
14,0.014,38,548,0,1214,4,79,0,117
15,0.015,38,458,0,1304,4,68,0,128
16,0.016,38,371,0,1391,4,55,0,141
17,0.017,38,309,0,1453,4,50,0,146
18,0.018,38,236,0,1526,4,35,0,161
19,0.019,38,189,0,1573,4,30,0,166
20,0.02,38,147,0,1615,4,22,0,174
21,0.021,38,129,0,1633,4,16,0,180
22,0.022,38,108,0,1654,4,14,0,182
23,0.023,38,94,0,1668,4,13,0,183
24,0.024,38,88,0,1674,4,13,0,183
25,0.025,38,80,0,1682,4,13,0,183
26,0.026,38,72,0,1690,4,11,0,185
27,0.027,38,67,0,1695,4,10,0,186
28,0.028,38,60,0,1702,4,8,0,188
29,0.029,38,55,0,1707,4,8,0,188
30,0.03,38,49,0,1713,4,8,0,188
31,0.031,38,44,0,1718,4,8,0,188
32,0.032,38,43,0,1719,4,8,0,188
33,0.033,38,42,0,1720,3,6,1,190
34,0.034,38,35,0,1727,3,6,1,190
35,0.035,38,31,0,1731,3,6,1,190
36,0.036,38,25,0,1737,3,6,1,190
37,0.037,38,25,0,1737,3,6,1,190
38,0.038,38,24,0,1738,3,5,1,191
39,0.039,38,24,0,1738,3,5,1,191
40,0.04,38,24,0,1738,3,5,1,191
41,0.041,38,23,0,1739,3,4,1,192
42,0.042,37,23,1,1739,3,4,1,192
43,0.043,37,22,1,1740,3,4,1,192
44,0.044,37,19,1,1743,3,4,1,192
45,0.045,37,18,1,1744,3,4,1,192
46,0.046,37,18,1,1744,3,4,1,192
47,0.047,37,17,1,1745,3,4,1,192
48,0.048,37,17,1,1745,3,4,1,192
49,0.049,36,17,2,1745,3,4,1,192
50,0.05,36,17,2,1745,3,4,1,192
51,0.051,36,17,2,1745,3,4,1,192
52,0.052,36,16,2,1746,3,4,1,192
53,0.053,36,15,2,1747,3,4,1,192
54,0.054,36,15,2,1747,3,4,1,192
55,0.055,36,15,2,1747,2,4,2,192
56,0.056,36,14,2,1748,2,4,2,192
57,0.057,36,14,2,1748,2,4,2,192
58,0.058,36,13,2,1749,2,3,2,193
59,0.059,35,13,3,1749,2,3,2,193
60,0.06,35,12,3,1750,2,3,2,193
61,0.061,35,10,3,1752,2,3,2,193
62,0.062,35,10,3,1752,2,3,2,193
63,0.063,35,9,3,1753,2,3,2,193
64,0.064,35,9,3,1753,2,3,2,193
65,0.065,35,9,3,1753,2,3,2,193
66,0.066,34,9,4,1753,2,3,2,193
67,0.067,33,9,5,1753,2,3,2,193
68,0.068,32,9,6,1753,2,3,2,193
69,0.069,31,9,7,1753,2,3,2,193
70,0.07,31,9,7,1753,2,3,2,193
71,0.071,31,9,7,1753,2,3,2,193
72,0.072,31,9,7,1753,2,3,2,193
73,0.073,31,9,7,1753,2,3,2,193
74,0.074,31,9,7,1753,2,3,2,193
75,0.075,31,9,7,1753,2,3,2,193
76,0.076,30,9,8,1753,2,3,2,193
77,0.077,30,9,8,1753,2,3,2,193
78,0.078,30,9,8,1753,2,3,2,193
79,0.079,30,9,8,1753,2,3,2,193
80,0.08,30,9,8,1753,2,3,2,193
81,0.081,30,9,8,1753,2,3,2,193
82,0.082,30,9,8,1753,2,3,2,193
83,0.083,30,9,8,1753,2,3,2,193
84,0.084,30,8,8,1754,2,3,2,193
85,0.085,30,7,8,1755,2,3,2,193
86,0.086,30,7,8,1755,2,3,2,193
87,0.087,30,7,8,1755,2,3,2,193
88,0.088,30,7,8,1755,2,2,2,194
89,0.089,30,7,8,1755,2,2,2,194
90,0.09,30,7,8,1755,2,2,2,194
91,0.091,30,7,8,1755,2,2,2,194
92,0.092,30,7,8,1755,2,2,2,194
93,0.093,30,7,8,1755,2,2,2,194
94,0.094,30,7,8,1755,2,2,2,194
95,0.095,29,7,9,1755,2,2,2,194
96,0.096,29,7,9,1755,2,2,2,194
97,0.097,29,7,9,1755,2,2,2,194
98,0.098,29,7,9,1755,2,2,2,194
99,0.099,29,7,9,1755,2,2,2,194
100,0.1,29,7,9,1755,2,2,2,194
101,0.2,20,5,18,1757,2,1,2,195
102,0.3,17,4,21,1758,2,0,2,196
103,0.4,13,3,25,1759,2,0,2,196
104,0.5,11,2,27,1760,2,0,2,196
