,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,344,0,8468,21,42,0,937
2,0.002,188,193,0,8619,21,29,0,950
3,0.003,188,129,0,8683,21,17,0,962
4,0.004,188,111,0,8701,21,15,0,964
5,0.005,188,93,0,8719,21,14,0,965
6,0.006,188,79,0,8733,21,11,0,968
7,0.007,188,68,0,8744,21,11,0,968
8,0.008,188,61,0,8751,21,11,0,968
9,0.009,188,55,0,8757,21,10,0,969
10,0.01,188,52,0,8760,21,10,0,969
11,0.011,188,48,0,8764,21,9,0,970
12,0.012,188,46,0,8766,21,9,0,970
13,0.013,188,44,0,8768,21,9,0,970
14,0.014,188,42,0,8770,21,9,0,970
15,0.015,188,39,0,8773,21,9,0,970
16,0.016,188,39,0,8773,21,9,0,970
17,0.017,188,37,0,8775,21,9,0,970
18,0.018,188,36,0,8776,21,9,0,970
19,0.019,188,34,0,8778,21,9,0,970
20,0.02,188,34,0,8778,21,8,0,971
21,0.021,188,34,0,8778,21,8,0,971
22,0.022,188,33,0,8779,21,8,0,971
23,0.023,188,32,0,8780,21,8,0,971
24,0.024,188,32,0,8780,21,8,0,971
25,0.025,188,32,0,8780,21,8,0,971
26,0.026,188,32,0,8780,21,8,0,971
27,0.027,188,32,0,8780,21,7,0,972
28,0.028,188,32,0,8780,21,7,0,972
29,0.029,188,32,0,8780,21,7,0,972
30,0.03,188,29,0,8783,21,7,0,972
31,0.031,188,29,0,8783,21,7,0,972
32,0.032,188,29,0,8783,21,7,0,972
33,0.033,188,29,0,8783,21,7,0,972
34,0.034,188,29,0,8783,21,7,0,972
35,0.035,188,29,0,8783,21,7,0,972
36,0.036,188,29,0,8783,21,7,0,972
37,0.037,188,29,0,8783,21,7,0,972
38,0.038,188,29,0,8783,21,7,0,972
39,0.039,188,29,0,8783,21,7,0,972
40,0.04,188,29,0,8783,21,7,0,972
41,0.041,188,29,0,8783,21,7,0,972
42,0.042,188,29,0,8783,21,7,0,972
43,0.043,188,29,0,8783,21,7,0,972
44,0.044,188,29,0,8783,21,7,0,972
45,0.045,188,29,0,8783,21,7,0,972
46,0.046,188,28,0,8784,21,7,0,972
47,0.047,188,28,0,8784,21,7,0,972
48,0.048,188,28,0,8784,21,7,0,972
49,0.049,188,28,0,8784,21,7,0,972
50,0.05,188,28,0,8784,21,7,0,972
51,0.051,188,27,0,8785,21,7,0,972
52,0.052,188,27,0,8785,21,7,0,972
53,0.053,188,27,0,8785,21,7,0,972
54,0.054,188,27,0,8785,21,7,0,972
55,0.055,188,26,0,8786,21,7,0,972
56,0.056,188,26,0,8786,21,6,0,973
57,0.057,188,26,0,8786,21,6,0,973
58,0.058,188,26,0,8786,21,6,0,973
59,0.059,188,26,0,8786,21,6,0,973
60,0.06,188,26,0,8786,21,6,0,973
61,0.061,188,26,0,8786,21,6,0,973
62,0.062,188,26,0,8786,21,6,0,973
63,0.063,188,26,0,8786,21,6,0,973
64,0.064,188,26,0,8786,21,6,0,973
65,0.065,188,25,0,8787,21,6,0,973
66,0.066,188,25,0,8787,21,6,0,973
67,0.067,188,24,0,8788,21,6,0,973
68,0.068,188,24,0,8788,21,6,0,973
69,0.069,188,24,0,8788,21,6,0,973
70,0.07,188,24,0,8788,21,6,0,973
71,0.071,188,24,0,8788,21,6,0,973
72,0.072,188,23,0,8789,21,6,0,973
73,0.073,188,23,0,8789,21,6,0,973
74,0.074,188,23,0,8789,21,6,0,973
75,0.075,188,23,0,8789,21,6,0,973
76,0.076,188,23,0,8789,21,6,0,973
77,0.077,188,23,0,8789,21,6,0,973
78,0.078,188,23,0,8789,21,6,0,973
79,0.079,188,23,0,8789,21,6,0,973
80,0.08,188,23,0,8789,21,6,0,973
81,0.081,188,23,0,8789,21,6,0,973
82,0.082,188,23,0,8789,21,6,0,973
83,0.083,188,23,0,8789,21,6,0,973
84,0.084,188,23,0,8789,21,6,0,973
85,0.085,188,23,0,8789,21,6,0,973
86,0.086,188,23,0,8789,21,6,0,973
87,0.087,188,23,0,8789,21,6,0,973
88,0.088,188,23,0,8789,21,6,0,973
89,0.089,188,23,0,8789,21,6,0,973
90,0.09,188,22,0,8790,21,6,0,973
91,0.091,188,22,0,8790,21,6,0,973
92,0.092,188,22,0,8790,21,6,0,973
93,0.093,188,22,0,8790,21,6,0,973
94,0.094,188,22,0,8790,21,6,0,973
95,0.095,188,22,0,8790,21,6,0,973
96,0.096,188,22,0,8790,21,6,0,973
97,0.097,188,22,0,8790,21,6,0,973
98,0.098,188,21,0,8791,21,6,0,973
99,0.099,188,21,0,8791,21,6,0,973
100,0.1,188,21,0,8791,21,6,0,973
101,0.2,187,19,1,8793,21,5,0,974
102,0.3,187,16,1,8796,21,4,0,975
103,0.4,187,15,1,8797,21,2,0,977
104,0.5,187,14,1,8798,21,2,0,977
