,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,1592,0,16032,34,242,8,1716
2,0.002,376,1592,0,16032,34,242,8,1716
3,0.003,376,1592,0,16032,34,242,8,1716
4,0.004,376,1592,0,16032,34,242,8,1716
5,0.005,376,1592,0,16032,34,242,8,1716
6,0.006,376,1592,0,16032,34,242,8,1716
7,0.007,376,1592,0,16032,34,242,8,1716
8,0.008,376,1592,0,16032,34,242,8,1716
9,0.009,376,1592,0,16032,34,242,8,1716
10,0.01,376,1592,0,16032,34,242,8,1716
11,0.011,376,974,0,16650,33,172,9,1786
12,0.012,376,974,0,16650,33,172,9,1786
13,0.013,376,974,0,16650,33,172,9,1786
14,0.014,376,974,0,16650,33,172,9,1786
15,0.015,376,974,0,16650,33,172,9,1786
16,0.016,376,974,0,16650,33,172,9,1786
17,0.017,376,974,0,16650,33,172,9,1786
18,0.018,376,974,0,16650,33,172,9,1786
19,0.019,376,974,0,16650,33,172,9,1786
20,0.02,376,974,0,16650,33,172,9,1786
21,0.021,376,686,0,16938,32,150,10,1808
22,0.022,376,686,0,16938,32,150,10,1808
23,0.023,376,686,0,16938,32,150,10,1808
24,0.024,376,686,0,16938,32,150,10,1808
25,0.025,376,686,0,16938,32,150,10,1808
26,0.026,376,686,0,16938,32,150,10,1808
27,0.027,376,686,0,16938,32,150,10,1808
28,0.028,376,686,0,16938,32,150,10,1808
29,0.029,376,686,0,16938,32,150,10,1808
30,0.03,376,686,0,16938,32,150,10,1808
31,0.031,376,515,0,17109,32,134,10,1824
32,0.032,376,515,0,17109,32,134,10,1824
33,0.033,376,515,0,17109,32,134,10,1824
34,0.034,376,515,0,17109,32,134,10,1824
35,0.035,376,515,0,17109,32,134,10,1824
36,0.036,376,515,0,17109,32,134,10,1824
37,0.037,376,515,0,17109,32,134,10,1824
38,0.038,376,515,0,17109,32,134,10,1824
39,0.039,376,515,0,17109,32,134,10,1824
40,0.04,376,515,0,17109,32,134,10,1824
41,0.041,376,409,0,17215,31,110,11,1848
42,0.042,376,409,0,17215,31,110,11,1848
43,0.043,376,409,0,17215,31,110,11,1848
44,0.044,376,409,0,17215,31,110,11,1848
45,0.045,376,409,0,17215,31,110,11,1848
46,0.046,376,409,0,17215,31,110,11,1848
47,0.047,376,409,0,17215,31,110,11,1848
48,0.048,376,409,0,17215,31,110,11,1848
49,0.049,376,409,0,17215,31,110,11,1848
50,0.05,376,409,0,17215,31,110,11,1848
51,0.051,376,337,0,17287,28,91,14,1867
52,0.052,376,337,0,17287,28,91,14,1867
53,0.053,376,337,0,17287,28,91,14,1867
54,0.054,376,337,0,17287,28,91,14,1867
55,0.055,376,337,0,17287,28,91,14,1867
56,0.056,376,337,0,17287,28,91,14,1867
57,0.057,376,337,0,17287,28,91,14,1867
58,0.058,376,337,0,17287,28,91,14,1867
59,0.059,376,337,0,17287,28,91,14,1867
60,0.06,376,337,0,17287,28,91,14,1867
61,0.061,376,283,0,17341,28,82,14,1876
62,0.062,376,283,0,17341,28,82,14,1876
63,0.063,376,283,0,17341,28,82,14,1876
64,0.064,376,283,0,17341,28,82,14,1876
65,0.065,376,283,0,17341,28,82,14,1876
66,0.066,376,283,0,17341,28,82,14,1876
67,0.067,376,283,0,17341,28,82,14,1876
68,0.068,376,283,0,17341,28,82,14,1876
69,0.069,376,283,0,17341,28,82,14,1876
70,0.07,376,283,0,17341,28,82,14,1876
71,0.071,376,225,0,17399,27,73,15,1885
72,0.072,376,225,0,17399,27,73,15,1885
73,0.073,376,225,0,17399,27,73,15,1885
74,0.074,376,225,0,17399,27,73,15,1885
75,0.075,376,225,0,17399,27,73,15,1885
76,0.076,376,225,0,17399,27,73,15,1885
77,0.077,376,225,0,17399,27,73,15,1885
78,0.078,376,225,0,17399,27,73,15,1885
79,0.079,376,225,0,17399,27,73,15,1885
80,0.08,376,225,0,17399,27,73,15,1885
81,0.081,376,185,0,17439,27,63,15,1895
82,0.082,376,185,0,17439,27,63,15,1895
83,0.083,376,185,0,17439,27,63,15,1895
84,0.084,376,185,0,17439,27,63,15,1895
85,0.085,376,185,0,17439,27,63,15,1895
86,0.086,376,185,0,17439,27,63,15,1895
87,0.087,376,185,0,17439,27,63,15,1895
88,0.088,376,185,0,17439,27,63,15,1895
89,0.089,376,185,0,17439,27,63,15,1895
90,0.09,376,185,0,17439,27,63,15,1895
91,0.091,376,152,0,17472,24,52,18,1906
92,0.092,376,152,0,17472,24,52,18,1906
93,0.093,376,152,0,17472,24,52,18,1906
94,0.094,376,152,0,17472,24,52,18,1906
95,0.095,376,152,0,17472,24,52,18,1906
96,0.096,376,152,0,17472,24,52,18,1906
97,0.097,376,152,0,17472,24,52,18,1906
98,0.098,376,152,0,17472,24,52,18,1906
99,0.099,376,152,0,17472,24,52,18,1906
100,0.1,376,152,0,17472,24,52,18,1906
101,0.2,376,22,0,17602,21,22,21,1936
102,0.3,376,4,0,17620,17,9,25,1949
103,0.4,376,0,0,17624,16,4,26,1954
104,0.5,376,0,0,17624,11,1,31,1957
