,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17602,0,22,42,1955,0,3
4,0.004,376,16986,0,638,42,1884,0,74
5,0.005,376,10778,0,6846,42,1177,0,781
6,0.006,376,6931,0,10693,42,776,0,1182
7,0.007,376,4321,0,13303,42,487,0,1471
8,0.008,376,3385,0,14239,42,381,0,1577
9,0.009,376,3044,0,14580,42,344,0,1614
10,0.01,376,2798,0,14826,42,311,0,1647
11,0.011,376,2559,0,15065,42,277,0,1681
12,0.012,376,2255,0,15369,42,258,0,1700
13,0.013,376,1995,0,15629,42,225,0,1733
14,0.014,376,1753,0,15871,42,202,0,1756
15,0.015,376,1653,0,15971,42,188,0,1770
16,0.016,376,1608,0,16016,42,186,0,1772
17,0.017,376,1588,0,16036,42,182,0,1776
18,0.018,376,1545,0,16079,42,177,0,1781
19,0.019,376,1455,0,16169,42,162,0,1796
20,0.02,374,1203,2,16421,42,134,0,1824
21,0.021,373,1097,3,16527,41,126,1,1832
22,0.022,373,1043,3,16581,41,121,1,1837
23,0.023,373,998,3,16626,41,116,1,1842
24,0.024,373,969,3,16655,41,115,1,1843
25,0.025,373,919,3,16705,41,111,1,1847
26,0.026,373,820,3,16804,41,95,1,1863
27,0.027,371,725,5,16899,41,87,1,1871
28,0.028,371,700,5,16924,41,86,1,1872
29,0.029,371,692,5,16932,41,85,1,1873
30,0.03,370,688,6,16936,41,85,1,1873
31,0.031,370,685,6,16939,41,85,1,1873
32,0.032,369,680,7,16944,41,85,1,1873
33,0.033,369,678,7,16946,41,85,1,1873
34,0.034,369,669,7,16955,41,85,1,1873
35,0.035,367,649,9,16975,41,84,1,1874
36,0.036,367,627,9,16997,41,82,1,1876
37,0.037,366,612,10,17012,41,79,1,1879
38,0.038,366,598,10,17026,41,79,1,1879
39,0.039,365,589,11,17035,41,78,1,1880
40,0.04,364,584,12,17040,41,76,1,1882
41,0.041,363,578,13,17046,41,74,1,1884
42,0.042,362,570,14,17054,41,74,1,1884
43,0.043,362,567,14,17057,41,74,1,1884
44,0.044,361,564,15,17060,40,72,2,1886
45,0.045,361,554,15,17070,39,71,3,1887
46,0.046,360,545,16,17079,39,69,3,1889
47,0.047,360,530,16,17094,39,68,3,1890
48,0.048,359,506,17,17118,38,66,4,1892
49,0.049,357,487,19,17137,38,65,4,1893
50,0.05,357,475,19,17149,37,60,5,1898
51,0.051,357,463,19,17161,36,58,6,1900
52,0.052,357,455,19,17169,36,56,6,1902
53,0.053,356,443,20,17181,36,55,6,1903
54,0.054,355,434,21,17190,36,52,6,1906
55,0.055,353,418,23,17206,36,52,6,1906
56,0.056,352,409,24,17215,36,51,6,1907
57,0.057,351,403,25,17221,36,50,6,1908
58,0.058,349,389,27,17235,35,49,7,1909
59,0.059,347,377,29,17247,35,48,7,1910
60,0.06,344,342,32,17282,35,45,7,1913
61,0.061,343,305,33,17319,35,38,7,1920
62,0.062,340,264,36,17360,35,33,7,1925
63,0.063,339,246,37,17378,35,28,7,1930
64,0.064,338,232,38,17392,34,25,8,1933
65,0.065,337,219,39,17405,34,25,8,1933
66,0.066,336,206,40,17418,34,23,8,1935
67,0.067,334,196,42,17428,33,21,9,1937
68,0.068,334,184,42,17440,32,21,10,1937
69,0.069,332,178,44,17446,32,21,10,1937
70,0.07,330,174,46,17450,32,21,10,1937
71,0.071,327,167,49,17457,32,21,10,1937
72,0.072,326,165,50,17459,32,21,10,1937
73,0.073,324,161,52,17463,32,21,10,1937
74,0.074,322,154,54,17470,32,20,10,1938
75,0.075,320,154,56,17470,32,19,10,1939
76,0.076,319,152,57,17472,32,19,10,1939
77,0.077,319,150,57,17474,32,19,10,1939
78,0.078,317,145,59,17479,32,19,10,1939
79,0.079,316,145,60,17479,32,19,10,1939
80,0.08,314,143,62,17481,32,19,10,1939
81,0.081,314,143,62,17481,32,19,10,1939
82,0.082,314,143,62,17481,32,19,10,1939
83,0.083,313,143,63,17481,32,19,10,1939
84,0.084,312,143,64,17481,32,19,10,1939
85,0.085,309,143,67,17481,32,19,10,1939
86,0.086,308,143,68,17481,32,19,10,1939
87,0.087,308,138,68,17486,32,19,10,1939
88,0.088,307,137,69,17487,32,19,10,1939
89,0.089,306,137,70,17487,32,18,10,1940
90,0.09,306,137,70,17487,32,18,10,1940
91,0.091,306,135,70,17489,32,18,10,1940
92,0.092,306,134,70,17490,32,18,10,1940
93,0.093,302,133,74,17491,32,18,10,1940
94,0.094,301,132,75,17492,32,18,10,1940
95,0.095,300,129,76,17495,32,18,10,1940
96,0.096,299,129,77,17495,32,18,10,1940
97,0.097,297,129,79,17495,31,18,11,1940
98,0.098,294,126,82,17498,31,18,11,1940
99,0.099,294,126,82,17498,31,18,11,1940
100,0.1,293,125,83,17499,31,18,11,1940
101,0.2,216,90,160,17534,20,11,22,1947
102,0.3,178,89,198,17535,16,11,26,1947
103,0.4,159,80,217,17544,11,10,31,1948
104,0.5,136,78,240,17546,9,10,33,1948
