,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,371,0,3153,8,60,0,332
2,0.002,76,275,0,3249,8,46,0,346
3,0.003,76,196,0,3328,8,37,0,355
4,0.004,76,154,0,3370,8,31,0,361
5,0.005,76,127,0,3397,7,26,1,366
6,0.006,76,116,0,3408,7,22,1,370
7,0.007,76,106,0,3418,7,20,1,372
8,0.008,76,96,0,3428,7,19,1,373
9,0.009,76,94,0,3430,7,18,1,374
10,0.01,76,94,0,3430,7,18,1,374
11,0.011,76,86,0,3438,7,16,1,376
12,0.012,76,86,0,3438,7,16,1,376
13,0.013,76,86,0,3438,7,16,1,376
14,0.014,76,84,0,3440,7,16,1,376
15,0.015,76,83,0,3441,7,16,1,376
16,0.016,76,83,0,3441,7,16,1,376
17,0.017,76,82,0,3442,7,16,1,376
18,0.018,76,81,0,3443,7,16,1,376
19,0.019,76,80,0,3444,7,16,1,376
20,0.02,76,80,0,3444,7,16,1,376
21,0.021,76,77,0,3447,7,14,1,378
22,0.022,76,76,0,3448,7,14,1,378
23,0.023,76,73,0,3451,7,14,1,378
24,0.024,76,73,0,3451,7,14,1,378
25,0.025,76,72,0,3452,7,13,1,379
26,0.026,76,68,0,3456,7,13,1,379
27,0.027,76,65,0,3459,7,13,1,379
28,0.028,76,62,0,3462,7,13,1,379
29,0.029,76,61,0,3463,7,13,1,379
30,0.03,76,60,0,3464,7,13,1,379
31,0.031,76,59,0,3465,7,13,1,379
32,0.032,76,59,0,3465,7,12,1,380
33,0.033,76,58,0,3466,7,12,1,380
34,0.034,76,58,0,3466,7,12,1,380
35,0.035,76,58,0,3466,7,12,1,380
36,0.036,76,57,0,3467,7,12,1,380
37,0.037,76,56,0,3468,7,11,1,381
38,0.038,76,56,0,3468,7,11,1,381
39,0.039,76,54,0,3470,7,11,1,381
40,0.04,76,54,0,3470,7,11,1,381
41,0.041,76,51,0,3473,7,11,1,381
42,0.042,76,51,0,3473,7,11,1,381
43,0.043,76,49,0,3475,7,11,1,381
44,0.044,76,49,0,3475,7,11,1,381
45,0.045,76,48,0,3476,7,11,1,381
46,0.046,76,48,0,3476,7,11,1,381
47,0.047,76,48,0,3476,7,11,1,381
48,0.048,76,48,0,3476,7,11,1,381
49,0.049,76,47,0,3477,7,11,1,381
50,0.05,76,45,0,3479,7,11,1,381
51,0.051,76,43,0,3481,7,9,1,383
52,0.052,76,41,0,3483,7,9,1,383
53,0.053,76,39,0,3485,7,9,1,383
54,0.054,76,39,0,3485,7,9,1,383
55,0.055,76,38,0,3486,7,9,1,383
56,0.056,76,38,0,3486,7,9,1,383
57,0.057,76,36,0,3488,7,9,1,383
58,0.058,76,34,0,3490,7,9,1,383
59,0.059,76,34,0,3490,7,9,1,383
60,0.06,76,33,0,3491,7,9,1,383
61,0.061,76,32,0,3492,7,9,1,383
62,0.062,76,32,0,3492,7,9,1,383
63,0.063,76,32,0,3492,7,9,1,383
64,0.064,76,32,0,3492,7,9,1,383
65,0.065,76,32,0,3492,7,9,1,383
66,0.066,76,32,0,3492,7,9,1,383
67,0.067,76,31,0,3493,7,9,1,383
68,0.068,76,31,0,3493,7,9,1,383
69,0.069,76,31,0,3493,7,9,1,383
70,0.07,76,31,0,3493,7,9,1,383
71,0.071,76,31,0,3493,7,9,1,383
72,0.072,76,31,0,3493,7,9,1,383
73,0.073,76,31,0,3493,7,9,1,383
74,0.074,76,30,0,3494,7,9,1,383
75,0.075,76,28,0,3496,7,9,1,383
76,0.076,76,25,0,3499,7,9,1,383
77,0.077,76,25,0,3499,7,9,1,383
78,0.078,76,25,0,3499,7,9,1,383
79,0.079,76,25,0,3499,6,9,2,383
80,0.08,76,25,0,3499,6,9,2,383
81,0.081,76,25,0,3499,6,9,2,383
82,0.082,76,25,0,3499,6,9,2,383
83,0.083,76,25,0,3499,6,9,2,383
84,0.084,76,25,0,3499,6,9,2,383
85,0.085,76,24,0,3500,6,9,2,383
86,0.086,76,24,0,3500,6,9,2,383
87,0.087,76,23,0,3501,6,9,2,383
88,0.088,76,23,0,3501,6,9,2,383
89,0.089,76,23,0,3501,6,9,2,383
90,0.09,76,23,0,3501,6,9,2,383
91,0.091,76,23,0,3501,6,9,2,383
92,0.092,76,23,0,3501,6,9,2,383
93,0.093,76,22,0,3502,6,8,2,384
94,0.094,76,22,0,3502,6,8,2,384
95,0.095,76,21,0,3503,6,8,2,384
96,0.096,76,20,0,3504,6,8,2,384
97,0.097,76,18,0,3506,6,8,2,384
98,0.098,76,18,0,3506,6,8,2,384
99,0.099,76,18,0,3506,6,8,2,384
100,0.1,76,18,0,3506,6,8,2,384
101,0.2,76,2,0,3522,6,4,2,388
102,0.3,76,0,0,3524,6,4,2,388
103,0.4,76,0,0,3524,5,4,3,388
104,0.5,75,0,1,3524,5,4,3,388
