,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,877,0,4,2,98,0,0
24,0.024,19,829,0,52,2,91,0,7
25,0.025,18,795,1,86,2,88,0,10
26,0.026,16,713,3,168,2,82,0,16
27,0.027,16,650,3,231,2,77,0,21
28,0.028,11,585,8,296,2,68,0,30
29,0.029,9,509,10,372,2,65,0,33
30,0.03,8,451,11,430,2,58,0,40
31,0.031,7,393,12,488,2,52,0,46
32,0.032,6,364,13,517,2,46,0,52
33,0.033,6,303,13,578,2,42,0,56
34,0.034,5,250,14,631,2,40,0,58
35,0.035,5,220,14,661,2,31,0,67
36,0.036,3,193,16,688,1,28,1,70
37,0.037,3,177,16,704,1,27,1,71
38,0.038,2,151,17,730,1,20,1,78
39,0.039,1,139,18,742,1,15,1,83
40,0.04,1,125,18,756,0,15,2,83
41,0.041,1,105,18,776,0,11,2,87
42,0.042,1,93,18,788,0,9,2,89
43,0.043,1,82,18,799,0,8,2,90
44,0.044,1,68,18,813,0,8,2,90
45,0.045,1,50,18,831,0,7,2,91
46,0.046,1,44,18,837,0,7,2,91
47,0.047,1,40,18,841,0,7,2,91
48,0.048,0,35,19,846,0,6,2,92
49,0.049,0,33,19,848,0,5,2,93
50,0.05,0,33,19,848,0,5,2,93
51,0.051,0,32,19,849,0,5,2,93
52,0.052,0,31,19,850,0,5,2,93
53,0.053,0,31,19,850,0,5,2,93
54,0.054,0,29,19,852,0,5,2,93
55,0.055,0,29,19,852,0,5,2,93
56,0.056,0,28,19,853,0,5,2,93
57,0.057,0,27,19,854,0,5,2,93
58,0.058,0,26,19,855,0,5,2,93
59,0.059,0,25,19,856,0,5,2,93
60,0.06,0,25,19,856,0,5,2,93
61,0.061,0,25,19,856,0,5,2,93
62,0.062,0,25,19,856,0,4,2,94
63,0.063,0,25,19,856,0,4,2,94
64,0.064,0,25,19,856,0,3,2,95
65,0.065,0,25,19,856,0,3,2,95
66,0.066,0,24,19,857,0,3,2,95
67,0.067,0,22,19,859,0,3,2,95
68,0.068,0,20,19,861,0,3,2,95
69,0.069,0,19,19,862,0,3,2,95
70,0.07,0,17,19,864,0,2,2,96
71,0.071,0,17,19,864,0,2,2,96
72,0.072,0,17,19,864,0,2,2,96
73,0.073,0,17,19,864,0,2,2,96
74,0.074,0,15,19,866,0,2,2,96
75,0.075,0,14,19,867,0,2,2,96
76,0.076,0,13,19,868,0,2,2,96
77,0.077,0,12,19,869,0,2,2,96
78,0.078,0,11,19,870,0,1,2,97
79,0.079,0,11,19,870,0,1,2,97
80,0.08,0,11,19,870,0,1,2,97
81,0.081,0,11,19,870,0,1,2,97
82,0.082,0,11,19,870,0,1,2,97
83,0.083,0,11,19,870,0,1,2,97
84,0.084,0,11,19,870,0,1,2,97
85,0.085,0,11,19,870,0,1,2,97
86,0.086,0,11,19,870,0,1,2,97
87,0.087,0,11,19,870,0,1,2,97
88,0.088,0,11,19,870,0,1,2,97
89,0.089,0,10,19,871,0,1,2,97
90,0.09,0,8,19,873,0,1,2,97
91,0.091,0,8,19,873,0,1,2,97
92,0.092,0,7,19,874,0,1,2,97
93,0.093,0,7,19,874,0,1,2,97
94,0.094,0,7,19,874,0,1,2,97
95,0.095,0,7,19,874,0,1,2,97
96,0.096,0,7,19,874,0,1,2,97
97,0.097,0,7,19,874,0,1,2,97
98,0.098,0,7,19,874,0,1,2,97
99,0.099,0,6,19,875,0,1,2,97
100,0.1,0,6,19,875,0,1,2,97
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
