,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,17,833,2,48,2,93,0,5
20,0.02,12,728,7,153,2,77,0,21
21,0.021,10,645,9,236,1,73,1,25
22,0.022,10,586,9,295,1,67,1,31
23,0.023,10,528,9,353,1,63,1,35
24,0.024,9,489,10,392,1,60,1,38
25,0.025,9,458,10,423,1,57,1,41
26,0.026,9,427,10,454,1,51,1,47
27,0.027,8,403,11,478,1,47,1,51
28,0.028,8,373,11,508,1,45,1,53
29,0.029,8,360,11,521,1,41,1,57
30,0.03,8,334,11,547,1,38,1,60
31,0.031,7,302,12,579,1,35,1,63
32,0.032,7,280,12,601,1,33,1,65
33,0.033,7,261,12,620,1,31,1,67
34,0.034,7,240,12,641,1,28,1,70
35,0.035,7,216,12,665,1,25,1,73
36,0.036,7,203,12,678,1,23,1,75
37,0.037,6,192,13,689,1,21,1,77
38,0.038,5,173,14,708,1,19,1,79
39,0.039,5,165,14,716,1,17,1,81
40,0.04,5,157,14,724,0,17,2,81
41,0.041,3,131,16,750,0,16,2,82
42,0.042,3,122,16,759,0,16,2,82
43,0.043,3,114,16,767,0,15,2,83
44,0.044,3,104,16,777,0,13,2,85
45,0.045,3,100,16,781,0,12,2,86
46,0.046,3,95,16,786,0,12,2,86
47,0.047,3,85,16,796,0,10,2,88
48,0.048,3,78,16,803,0,10,2,88
49,0.049,3,67,16,814,0,7,2,91
50,0.05,2,62,17,819,0,6,2,92
51,0.051,0,58,19,823,0,4,2,94
52,0.052,0,54,19,827,0,3,2,95
53,0.053,0,48,19,833,0,2,2,96
54,0.054,0,41,19,840,0,2,2,96
55,0.055,0,34,19,847,0,1,2,97
56,0.056,0,26,19,855,0,1,2,97
57,0.057,0,10,19,871,0,0,2,98
58,0.058,0,4,19,877,0,0,2,98
59,0.059,0,3,19,878,0,0,2,98
60,0.06,0,2,19,879,0,0,2,98
61,0.061,0,1,19,880,0,0,2,98
62,0.062,0,0,19,881,0,0,2,98
63,0.063,0,0,19,881,0,0,2,98
64,0.064,0,0,19,881,0,0,2,98
65,0.065,0,0,19,881,0,0,2,98
66,0.066,0,0,19,881,0,0,2,98
67,0.067,0,0,19,881,0,0,2,98
68,0.068,0,0,19,881,0,0,2,98
69,0.069,0,0,19,881,0,0,2,98
70,0.07,0,0,19,881,0,0,2,98
71,0.071,0,0,19,881,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
