,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,18,858,1,23,2,97,0,1
25,0.025,12,712,7,169,2,81,0,17
26,0.026,9,593,10,288,2,67,0,31
27,0.027,8,521,11,360,2,59,0,39
28,0.028,8,471,11,410,1,55,1,43
29,0.029,7,432,12,449,1,52,1,46
30,0.03,7,398,12,483,1,46,1,52
31,0.031,5,362,14,519,1,39,1,59
32,0.032,4,343,15,538,1,36,1,62
33,0.033,4,311,15,570,1,31,1,67
34,0.034,4,291,15,590,1,27,1,71
35,0.035,4,266,15,615,1,25,1,73
36,0.036,3,247,16,634,1,24,1,74
37,0.037,2,227,17,654,1,22,1,76
38,0.038,2,213,17,668,1,20,1,78
39,0.039,2,204,17,677,1,19,1,79
40,0.04,2,191,17,690,1,15,1,83
41,0.041,2,176,17,705,1,14,1,84
42,0.042,1,156,18,725,1,14,1,84
43,0.043,1,134,18,747,1,12,1,86
44,0.044,1,124,18,757,1,11,1,87
45,0.045,0,111,19,770,1,10,1,88
46,0.046,0,96,19,785,1,10,1,88
47,0.047,0,81,19,800,1,10,1,88
48,0.048,0,75,19,806,1,10,1,88
49,0.049,0,69,19,812,1,9,1,89
50,0.05,0,51,19,830,1,7,1,91
51,0.051,0,44,19,837,1,3,1,95
52,0.052,0,39,19,842,1,3,1,95
53,0.053,0,37,19,844,1,3,1,95
54,0.054,0,36,19,845,1,3,1,95
55,0.055,0,36,19,845,0,2,2,96
56,0.056,0,33,19,848,0,2,2,96
57,0.057,0,28,19,853,0,2,2,96
58,0.058,0,24,19,857,0,2,2,96
59,0.059,0,19,19,862,0,1,2,97
60,0.06,0,16,19,865,0,1,2,97
61,0.061,0,9,19,872,0,1,2,97
62,0.062,0,7,19,874,0,1,2,97
63,0.063,0,6,19,875,0,1,2,97
64,0.064,0,6,19,875,0,1,2,97
65,0.065,0,6,19,875,0,1,2,97
66,0.066,0,6,19,875,0,1,2,97
67,0.067,0,6,19,875,0,1,2,97
68,0.068,0,6,19,875,0,1,2,97
69,0.069,0,6,19,875,0,1,2,97
70,0.07,0,6,19,875,0,1,2,97
71,0.071,0,6,19,875,0,1,2,97
72,0.072,0,3,19,878,0,1,2,97
73,0.073,0,3,19,878,0,1,2,97
74,0.074,0,3,19,878,0,1,2,97
75,0.075,0,1,19,880,0,1,2,97
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
