,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,852,0,29,2,96,0,2
25,0.025,17,748,2,133,2,87,0,11
26,0.026,12,637,7,244,2,71,0,27
27,0.027,11,530,8,351,2,61,0,37
28,0.028,7,430,12,451,2,49,0,49
29,0.029,4,305,15,576,2,39,0,59
30,0.03,3,273,16,608,2,36,0,62
31,0.031,3,245,16,636,1,34,1,64
32,0.032,3,211,16,670,0,28,2,70
33,0.033,3,189,16,692,0,27,2,71
34,0.034,3,183,16,698,0,26,2,72
35,0.035,2,169,17,712,0,25,2,73
36,0.036,2,161,17,720,0,23,2,75
37,0.037,1,144,18,737,0,19,2,79
38,0.038,1,135,18,746,0,18,2,80
39,0.039,1,123,18,758,0,18,2,80
40,0.04,0,114,19,767,0,16,2,82
41,0.041,0,106,19,775,0,15,2,83
42,0.042,0,100,19,781,0,15,2,83
43,0.043,0,96,19,785,0,15,2,83
44,0.044,0,93,19,788,0,15,2,83
45,0.045,0,88,19,793,0,12,2,86
46,0.046,0,84,19,797,0,12,2,86
47,0.047,0,82,19,799,0,9,2,89
48,0.048,0,78,19,803,0,9,2,89
49,0.049,0,69,19,812,0,8,2,90
50,0.05,0,66,19,815,0,6,2,92
51,0.051,0,65,19,816,0,6,2,92
52,0.052,0,62,19,819,0,6,2,92
53,0.053,0,58,19,823,0,5,2,93
54,0.054,0,51,19,830,0,5,2,93
55,0.055,0,46,19,835,0,5,2,93
56,0.056,0,43,19,838,0,5,2,93
57,0.057,0,41,19,840,0,5,2,93
58,0.058,0,38,19,843,0,2,2,96
59,0.059,0,34,19,847,0,2,2,96
60,0.06,0,34,19,847,0,2,2,96
61,0.061,0,32,19,849,0,2,2,96
62,0.062,0,32,19,849,0,2,2,96
63,0.063,0,31,19,850,0,2,2,96
64,0.064,0,31,19,850,0,2,2,96
65,0.065,0,28,19,853,0,2,2,96
66,0.066,0,24,19,857,0,2,2,96
67,0.067,0,23,19,858,0,2,2,96
68,0.068,0,22,19,859,0,1,2,97
69,0.069,0,21,19,860,0,1,2,97
70,0.07,0,21,19,860,0,1,2,97
71,0.071,0,19,19,862,0,1,2,97
72,0.072,0,18,19,863,0,1,2,97
73,0.073,0,17,19,864,0,1,2,97
74,0.074,0,17,19,864,0,1,2,97
75,0.075,0,17,19,864,0,1,2,97
76,0.076,0,14,19,867,0,1,2,97
77,0.077,0,14,19,867,0,1,2,97
78,0.078,0,14,19,867,0,1,2,97
79,0.079,0,14,19,867,0,1,2,97
80,0.08,0,14,19,867,0,1,2,97
81,0.081,0,13,19,868,0,1,2,97
82,0.082,0,13,19,868,0,1,2,97
83,0.083,0,13,19,868,0,1,2,97
84,0.084,0,11,19,870,0,1,2,97
85,0.085,0,9,19,872,0,1,2,97
86,0.086,0,9,19,872,0,1,2,97
87,0.087,0,7,19,874,0,1,2,97
88,0.088,0,7,19,874,0,1,2,97
89,0.089,0,7,19,874,0,1,2,97
90,0.09,0,7,19,874,0,1,2,97
91,0.091,0,6,19,875,0,1,2,97
92,0.092,0,6,19,875,0,1,2,97
93,0.093,0,6,19,875,0,1,2,97
94,0.094,0,6,19,875,0,1,2,97
95,0.095,0,6,19,875,0,1,2,97
96,0.096,0,6,19,875,0,1,2,97
97,0.097,0,6,19,875,0,1,2,97
98,0.098,0,6,19,875,0,1,2,97
99,0.099,0,5,19,876,0,1,2,97
100,0.1,0,4,19,877,0,1,2,97
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
