,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,818,0,63,2,91,0,7
22,0.022,19,744,0,137,2,76,0,22
23,0.023,17,687,2,194,2,68,0,30
24,0.024,15,646,4,235,2,63,0,35
25,0.025,14,615,5,266,1,59,1,39
26,0.026,13,578,6,303,1,53,1,45
27,0.027,12,524,7,357,1,48,1,50
28,0.028,8,468,11,413,1,40,1,58
29,0.029,6,408,13,473,1,38,1,60
30,0.03,5,345,14,536,1,33,1,65
31,0.031,4,287,15,594,1,29,1,69
32,0.032,4,231,15,650,0,22,2,76
33,0.033,4,173,15,708,0,16,2,82
34,0.034,4,143,15,738,0,15,2,83
35,0.035,3,105,16,776,0,13,2,85
36,0.036,2,80,17,801,0,11,2,87
37,0.037,2,52,17,829,0,8,2,90
38,0.038,1,44,18,837,0,6,2,92
39,0.039,1,34,18,847,0,5,2,93
40,0.04,1,30,18,851,0,5,2,93
41,0.041,0,25,19,856,0,4,2,94
42,0.042,0,23,19,858,0,4,2,94
43,0.043,0,21,19,860,0,4,2,94
44,0.044,0,20,19,861,0,4,2,94
45,0.045,0,20,19,861,0,4,2,94
46,0.046,0,19,19,862,0,4,2,94
47,0.047,0,19,19,862,0,4,2,94
48,0.048,0,18,19,863,0,4,2,94
49,0.049,0,17,19,864,0,4,2,94
50,0.05,0,17,19,864,0,4,2,94
51,0.051,0,17,19,864,0,4,2,94
52,0.052,0,16,19,865,0,4,2,94
53,0.053,0,15,19,866,0,4,2,94
54,0.054,0,15,19,866,0,4,2,94
55,0.055,0,14,19,867,0,4,2,94
56,0.056,0,14,19,867,0,4,2,94
57,0.057,0,13,19,868,0,4,2,94
58,0.058,0,13,19,868,0,4,2,94
59,0.059,0,12,19,869,0,4,2,94
60,0.06,0,12,19,869,0,4,2,94
61,0.061,0,12,19,869,0,4,2,94
62,0.062,0,9,19,872,0,2,2,96
63,0.063,0,9,19,872,0,2,2,96
64,0.064,0,8,19,873,0,2,2,96
65,0.065,0,8,19,873,0,2,2,96
66,0.066,0,8,19,873,0,2,2,96
67,0.067,0,8,19,873,0,2,2,96
68,0.068,0,6,19,875,0,2,2,96
69,0.069,0,6,19,875,0,2,2,96
70,0.07,0,6,19,875,0,2,2,96
71,0.071,0,6,19,875,0,2,2,96
72,0.072,0,6,19,875,0,2,2,96
73,0.073,0,6,19,875,0,2,2,96
74,0.074,0,6,19,875,0,2,2,96
75,0.075,0,5,19,876,0,2,2,96
76,0.076,0,5,19,876,0,2,2,96
77,0.077,0,5,19,876,0,1,2,97
78,0.078,0,5,19,876,0,1,2,97
79,0.079,0,5,19,876,0,1,2,97
80,0.08,0,5,19,876,0,1,2,97
81,0.081,0,5,19,876,0,1,2,97
82,0.082,0,4,19,877,0,1,2,97
83,0.083,0,4,19,877,0,1,2,97
84,0.084,0,3,19,878,0,1,2,97
85,0.085,0,3,19,878,0,0,2,98
86,0.086,0,2,19,879,0,0,2,98
87,0.087,0,2,19,879,0,0,2,98
88,0.088,0,2,19,879,0,0,2,98
89,0.089,0,1,19,880,0,0,2,98
90,0.09,0,1,19,880,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
