,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,850,0,31,2,94,0,4
24,0.024,15,731,4,150,2,79,0,19
25,0.025,12,606,7,275,2,68,0,30
26,0.026,8,500,11,381,1,59,1,39
27,0.027,8,418,11,463,0,49,2,49
28,0.028,7,372,12,509,0,44,2,54
29,0.029,6,328,13,553,0,43,2,55
30,0.03,5,294,14,587,0,42,2,56
31,0.031,5,282,14,599,0,39,2,59
32,0.032,5,266,14,615,0,39,2,59
33,0.033,5,248,14,633,0,37,2,61
34,0.034,5,234,14,647,0,37,2,61
35,0.035,5,216,14,665,0,35,2,63
36,0.036,5,200,14,681,0,31,2,67
37,0.037,3,191,16,690,0,30,2,68
38,0.038,3,188,16,693,0,28,2,70
39,0.039,3,177,16,704,0,23,2,75
40,0.04,3,165,16,716,0,21,2,77
41,0.041,2,164,17,717,0,19,2,79
42,0.042,2,157,17,724,0,18,2,80
43,0.043,2,149,17,732,0,17,2,81
44,0.044,2,144,17,737,0,17,2,81
45,0.045,2,132,17,749,0,17,2,81
46,0.046,2,122,17,759,0,17,2,81
47,0.047,2,114,17,767,0,17,2,81
48,0.048,2,110,17,771,0,15,2,83
49,0.049,2,105,17,776,0,14,2,84
50,0.05,2,97,17,784,0,14,2,84
51,0.051,2,86,17,795,0,11,2,87
52,0.052,2,77,17,804,0,10,2,88
53,0.053,2,70,17,811,0,9,2,89
54,0.054,2,63,17,818,0,9,2,89
55,0.055,1,53,18,828,0,8,2,90
56,0.056,1,45,18,836,0,8,2,90
57,0.057,1,42,18,839,0,8,2,90
58,0.058,1,41,18,840,0,7,2,91
59,0.059,1,41,18,840,0,7,2,91
60,0.06,1,41,18,840,0,7,2,91
61,0.061,1,37,18,844,0,6,2,92
62,0.062,1,33,18,848,0,6,2,92
63,0.063,1,28,18,853,0,6,2,92
64,0.064,1,27,18,854,0,5,2,93
65,0.065,1,26,18,855,0,5,2,93
66,0.066,1,26,18,855,0,5,2,93
67,0.067,0,23,19,858,0,5,2,93
68,0.068,0,20,19,861,0,4,2,94
69,0.069,0,16,19,865,0,4,2,94
70,0.07,0,15,19,866,0,3,2,95
71,0.071,0,15,19,866,0,2,2,96
72,0.072,0,13,19,868,0,2,2,96
73,0.073,0,12,19,869,0,1,2,97
74,0.074,0,10,19,871,0,1,2,97
75,0.075,0,10,19,871,0,1,2,97
76,0.076,0,10,19,871,0,1,2,97
77,0.077,0,10,19,871,0,1,2,97
78,0.078,0,10,19,871,0,1,2,97
79,0.079,0,10,19,871,0,1,2,97
80,0.08,0,8,19,873,0,1,2,97
81,0.081,0,8,19,873,0,1,2,97
82,0.082,0,8,19,873,0,1,2,97
83,0.083,0,8,19,873,0,1,2,97
84,0.084,0,8,19,873,0,1,2,97
85,0.085,0,8,19,873,0,1,2,97
86,0.086,0,8,19,873,0,1,2,97
87,0.087,0,8,19,873,0,1,2,97
88,0.088,0,7,19,874,0,1,2,97
89,0.089,0,6,19,875,0,1,2,97
90,0.09,0,6,19,875,0,1,2,97
91,0.091,0,6,19,875,0,1,2,97
92,0.092,0,5,19,876,0,1,2,97
93,0.093,0,5,19,876,0,1,2,97
94,0.094,0,5,19,876,0,1,2,97
95,0.095,0,5,19,876,0,1,2,97
96,0.096,0,5,19,876,0,1,2,97
97,0.097,0,5,19,876,0,1,2,97
98,0.098,0,5,19,876,0,1,2,97
99,0.099,0,5,19,876,0,1,2,97
100,0.1,0,5,19,876,0,1,2,97
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
