,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,847,0,34,2,93,0,5
23,0.023,19,792,0,89,1,90,1,8
24,0.024,17,731,2,150,0,86,2,12
25,0.025,16,667,3,214,0,80,2,18
26,0.026,14,568,5,313,0,70,2,28
27,0.027,12,496,7,385,0,66,2,32
28,0.028,10,446,9,435,0,55,2,43
29,0.029,9,408,10,473,0,49,2,49
30,0.03,9,387,10,494,0,45,2,53
31,0.031,8,355,11,526,0,43,2,55
32,0.032,7,331,12,550,0,39,2,59
33,0.033,5,305,14,576,0,36,2,62
34,0.034,4,281,15,600,0,35,2,63
35,0.035,3,256,16,625,0,34,2,64
36,0.036,3,228,16,653,0,33,2,65
37,0.037,3,209,16,672,0,32,2,66
38,0.038,3,195,16,686,0,29,2,69
39,0.039,3,188,16,693,0,26,2,72
40,0.04,3,183,16,698,0,25,2,73
41,0.041,3,170,16,711,0,23,2,75
42,0.042,2,158,17,723,0,22,2,76
43,0.043,1,143,18,738,0,20,2,78
44,0.044,1,128,18,753,0,16,2,82
45,0.045,1,124,18,757,0,16,2,82
46,0.046,1,117,18,764,0,15,2,83
47,0.047,1,112,18,769,0,15,2,83
48,0.048,1,106,18,775,0,14,2,84
49,0.049,1,104,18,777,0,13,2,85
50,0.05,1,100,18,781,0,12,2,86
51,0.051,1,95,18,786,0,12,2,86
52,0.052,1,90,18,791,0,12,2,86
53,0.053,1,72,18,809,0,10,2,88
54,0.054,1,67,18,814,0,9,2,89
55,0.055,1,64,18,817,0,9,2,89
56,0.056,1,62,18,819,0,9,2,89
57,0.057,1,60,18,821,0,9,2,89
58,0.058,1,54,18,827,0,9,2,89
59,0.059,1,46,18,835,0,8,2,90
60,0.06,0,45,19,836,0,7,2,91
61,0.061,0,44,19,837,0,6,2,92
62,0.062,0,42,19,839,0,6,2,92
63,0.063,0,40,19,841,0,5,2,93
64,0.064,0,38,19,843,0,5,2,93
65,0.065,0,36,19,845,0,5,2,93
66,0.066,0,33,19,848,0,5,2,93
67,0.067,0,32,19,849,0,5,2,93
68,0.068,0,26,19,855,0,3,2,95
69,0.069,0,25,19,856,0,1,2,97
70,0.07,0,25,19,856,0,1,2,97
71,0.071,0,23,19,858,0,1,2,97
72,0.072,0,22,19,859,0,1,2,97
73,0.073,0,19,19,862,0,1,2,97
74,0.074,0,18,19,863,0,1,2,97
75,0.075,0,17,19,864,0,1,2,97
76,0.076,0,17,19,864,0,1,2,97
77,0.077,0,15,19,866,0,1,2,97
78,0.078,0,14,19,867,0,1,2,97
79,0.079,0,11,19,870,0,0,2,98
80,0.08,0,10,19,871,0,0,2,98
81,0.081,0,8,19,873,0,0,2,98
82,0.082,0,7,19,874,0,0,2,98
83,0.083,0,5,19,876,0,0,2,98
84,0.084,0,3,19,878,0,0,2,98
85,0.085,0,2,19,879,0,0,2,98
86,0.086,0,2,19,879,0,0,2,98
87,0.087,0,2,19,879,0,0,2,98
88,0.088,0,1,19,880,0,0,2,98
89,0.089,0,1,19,880,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
