,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,880,0,1,2,98,0,0
24,0.024,17,771,2,110,2,82,0,16
25,0.025,14,624,5,257,1,69,1,29
26,0.026,11,519,8,362,1,61,1,37
27,0.027,11,447,8,434,1,53,1,45
28,0.028,9,381,10,500,1,44,1,54
29,0.029,8,347,11,534,0,40,2,58
30,0.03,7,298,12,583,0,37,2,61
31,0.031,7,272,12,609,0,34,2,64
32,0.032,7,253,12,628,0,33,2,65
33,0.033,7,239,12,642,0,32,2,66
34,0.034,7,225,12,656,0,28,2,70
35,0.035,6,202,13,679,0,25,2,73
36,0.036,6,189,13,692,0,23,2,75
37,0.037,5,165,14,716,0,21,2,77
38,0.038,5,149,14,732,0,18,2,80
39,0.039,5,138,14,743,0,16,2,82
40,0.04,3,130,16,751,0,16,2,82
41,0.041,3,123,16,758,0,16,2,82
42,0.042,2,112,17,769,0,15,2,83
43,0.043,2,98,17,783,0,12,2,86
44,0.044,2,92,17,789,0,9,2,89
45,0.045,1,78,18,803,0,8,2,90
46,0.046,1,65,18,816,0,8,2,90
47,0.047,1,59,18,822,0,8,2,90
48,0.048,1,44,18,837,0,6,2,92
49,0.049,1,40,18,841,0,6,2,92
50,0.05,1,37,18,844,0,6,2,92
51,0.051,1,37,18,844,0,3,2,95
52,0.052,1,36,18,845,0,3,2,95
53,0.053,1,30,18,851,0,3,2,95
54,0.054,1,24,18,857,0,3,2,95
55,0.055,1,21,18,860,0,3,2,95
56,0.056,1,21,18,860,0,3,2,95
57,0.057,1,20,18,861,0,3,2,95
58,0.058,1,19,18,862,0,3,2,95
59,0.059,1,19,18,862,0,3,2,95
60,0.06,1,17,18,864,0,3,2,95
61,0.061,1,17,18,864,0,3,2,95
62,0.062,1,17,18,864,0,3,2,95
63,0.063,1,17,18,864,0,3,2,95
64,0.064,1,17,18,864,0,3,2,95
65,0.065,1,16,18,865,0,3,2,95
66,0.066,1,16,18,865,0,3,2,95
67,0.067,1,15,18,866,0,3,2,95
68,0.068,1,14,18,867,0,3,2,95
69,0.069,1,14,18,867,0,2,2,96
70,0.07,1,14,18,867,0,2,2,96
71,0.071,1,12,18,869,0,2,2,96
72,0.072,1,12,18,869,0,1,2,97
73,0.073,1,12,18,869,0,1,2,97
74,0.074,1,12,18,869,0,1,2,97
75,0.075,1,12,18,869,0,1,2,97
76,0.076,1,12,18,869,0,1,2,97
77,0.077,1,12,18,869,0,1,2,97
78,0.078,1,12,18,869,0,1,2,97
79,0.079,1,12,18,869,0,1,2,97
80,0.08,1,10,18,871,0,1,2,97
81,0.081,1,10,18,871,0,1,2,97
82,0.082,1,10,18,871,0,1,2,97
83,0.083,1,10,18,871,0,1,2,97
84,0.084,1,10,18,871,0,1,2,97
85,0.085,1,10,18,871,0,1,2,97
86,0.086,1,10,18,871,0,1,2,97
87,0.087,1,9,18,872,0,1,2,97
88,0.088,1,8,18,873,0,1,2,97
89,0.089,1,8,18,873,0,1,2,97
90,0.09,1,8,18,873,0,1,2,97
91,0.091,1,8,18,873,0,1,2,97
92,0.092,1,8,18,873,0,1,2,97
93,0.093,1,8,18,873,0,1,2,97
94,0.094,1,7,18,874,0,1,2,97
95,0.095,1,7,18,874,0,1,2,97
96,0.096,1,7,18,874,0,1,2,97
97,0.097,1,7,18,874,0,1,2,97
98,0.098,1,7,18,874,0,1,2,97
99,0.099,1,6,18,875,0,1,2,97
100,0.1,1,6,18,875,0,1,2,97
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
