,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,873,0,8,2,98,0,0
22,0.022,17,733,2,148,1,83,1,15
23,0.023,14,613,5,268,1,74,1,24
24,0.024,11,509,8,372,1,61,1,37
25,0.025,10,438,9,443,1,55,1,43
26,0.026,9,401,10,480,1,51,1,47
27,0.027,9,375,10,506,1,47,1,51
28,0.028,8,348,11,533,1,43,1,55
29,0.029,8,324,11,557,1,38,1,60
30,0.03,8,306,11,575,1,35,1,63
31,0.031,8,279,11,602,1,32,1,66
32,0.032,7,254,12,627,1,28,1,70
33,0.033,6,229,13,652,1,22,1,76
34,0.034,6,190,13,691,0,18,2,80
35,0.035,6,166,13,715,0,17,2,81
36,0.036,6,154,13,727,0,17,2,81
37,0.037,4,145,15,736,0,16,2,82
38,0.038,3,131,16,750,0,15,2,83
39,0.039,3,119,16,762,0,12,2,86
40,0.04,3,95,16,786,0,11,2,87
41,0.041,3,87,16,794,0,10,2,88
42,0.042,2,76,17,805,0,9,2,89
43,0.043,2,63,17,818,0,9,2,89
44,0.044,2,53,17,828,0,8,2,90
45,0.045,1,48,18,833,0,8,2,90
46,0.046,1,40,18,841,0,7,2,91
47,0.047,1,34,18,847,0,7,2,91
48,0.048,0,24,19,857,0,7,2,91
49,0.049,0,24,19,857,0,7,2,91
50,0.05,0,24,19,857,0,7,2,91
51,0.051,0,24,19,857,0,7,2,91
52,0.052,0,24,19,857,0,6,2,92
53,0.053,0,23,19,858,0,6,2,92
54,0.054,0,23,19,858,0,5,2,93
55,0.055,0,23,19,858,0,5,2,93
56,0.056,0,23,19,858,0,5,2,93
57,0.057,0,22,19,859,0,5,2,93
58,0.058,0,22,19,859,0,5,2,93
59,0.059,0,20,19,861,0,5,2,93
60,0.06,0,20,19,861,0,5,2,93
61,0.061,0,19,19,862,0,5,2,93
62,0.062,0,18,19,863,0,5,2,93
63,0.063,0,18,19,863,0,5,2,93
64,0.064,0,18,19,863,0,4,2,94
65,0.065,0,18,19,863,0,4,2,94
66,0.066,0,18,19,863,0,4,2,94
67,0.067,0,18,19,863,0,4,2,94
68,0.068,0,17,19,864,0,4,2,94
69,0.069,0,16,19,865,0,4,2,94
70,0.07,0,16,19,865,0,4,2,94
71,0.071,0,16,19,865,0,4,2,94
72,0.072,0,13,19,868,0,4,2,94
73,0.073,0,12,19,869,0,4,2,94
74,0.074,0,12,19,869,0,4,2,94
75,0.075,0,12,19,869,0,4,2,94
76,0.076,0,12,19,869,0,4,2,94
77,0.077,0,11,19,870,0,4,2,94
78,0.078,0,11,19,870,0,4,2,94
79,0.079,0,10,19,871,0,2,2,96
80,0.08,0,10,19,871,0,2,2,96
81,0.081,0,10,19,871,0,2,2,96
82,0.082,0,10,19,871,0,2,2,96
83,0.083,0,9,19,872,0,2,2,96
84,0.084,0,9,19,872,0,2,2,96
85,0.085,0,8,19,873,0,2,2,96
86,0.086,0,7,19,874,0,2,2,96
87,0.087,0,7,19,874,0,2,2,96
88,0.088,0,7,19,874,0,2,2,96
89,0.089,0,7,19,874,0,2,2,96
90,0.09,0,7,19,874,0,2,2,96
91,0.091,0,6,19,875,0,2,2,96
92,0.092,0,6,19,875,0,2,2,96
93,0.093,0,4,19,877,0,2,2,96
94,0.094,0,4,19,877,0,2,2,96
95,0.095,0,3,19,878,0,2,2,96
96,0.096,0,3,19,878,0,2,2,96
97,0.097,0,3,19,878,0,2,2,96
98,0.098,0,3,19,878,0,2,2,96
99,0.099,0,3,19,878,0,2,2,96
100,0.1,0,3,19,878,0,2,2,96
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
