,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,18,880,1,1,2,98,0,0
22,0.022,17,812,2,69,2,90,0,8
23,0.023,16,724,3,157,2,79,0,19
24,0.024,13,631,6,250,2,73,0,25
25,0.025,12,548,7,333,2,68,0,30
26,0.026,12,474,7,407,1,56,1,42
27,0.027,12,423,7,458,1,48,1,50
28,0.028,12,361,7,520,1,39,1,59
29,0.029,12,300,7,581,1,31,1,67
30,0.03,11,266,8,615,1,30,1,68
31,0.031,9,245,10,636,0,29,2,69
32,0.032,8,211,11,670,0,26,2,72
33,0.033,8,190,11,691,0,23,2,75
34,0.034,8,179,11,702,0,23,2,75
35,0.035,7,168,12,713,0,23,2,75
36,0.036,5,152,14,729,0,19,2,79
37,0.037,3,134,16,747,0,14,2,84
38,0.038,3,121,16,760,0,13,2,85
39,0.039,3,106,16,775,0,13,2,85
40,0.04,3,99,16,782,0,13,2,85
41,0.041,3,93,16,788,0,10,2,88
42,0.042,2,77,17,804,0,9,2,89
43,0.043,2,66,17,815,0,8,2,90
44,0.044,2,62,17,819,0,8,2,90
45,0.045,2,57,17,824,0,8,2,90
46,0.046,1,53,18,828,0,8,2,90
47,0.047,1,44,18,837,0,8,2,90
48,0.048,1,43,18,838,0,8,2,90
49,0.049,1,40,18,841,0,8,2,90
50,0.05,0,39,19,842,0,8,2,90
51,0.051,0,37,19,844,0,8,2,90
52,0.052,0,36,19,845,0,8,2,90
53,0.053,0,35,19,846,0,8,2,90
54,0.054,0,31,19,850,0,8,2,90
55,0.055,0,29,19,852,0,8,2,90
56,0.056,0,29,19,852,0,8,2,90
57,0.057,0,27,19,854,0,8,2,90
58,0.058,0,26,19,855,0,7,2,91
59,0.059,0,26,19,855,0,7,2,91
60,0.06,0,23,19,858,0,7,2,91
61,0.061,0,21,19,860,0,7,2,91
62,0.062,0,20,19,861,0,7,2,91
63,0.063,0,20,19,861,0,7,2,91
64,0.064,0,20,19,861,0,6,2,92
65,0.065,0,19,19,862,0,6,2,92
66,0.066,0,19,19,862,0,6,2,92
67,0.067,0,19,19,862,0,6,2,92
68,0.068,0,17,19,864,0,6,2,92
69,0.069,0,17,19,864,0,6,2,92
70,0.07,0,16,19,865,0,4,2,94
71,0.071,0,15,19,866,0,4,2,94
72,0.072,0,15,19,866,0,4,2,94
73,0.073,0,15,19,866,0,4,2,94
74,0.074,0,15,19,866,0,4,2,94
75,0.075,0,15,19,866,0,4,2,94
76,0.076,0,15,19,866,0,4,2,94
77,0.077,0,15,19,866,0,4,2,94
78,0.078,0,14,19,867,0,4,2,94
79,0.079,0,14,19,867,0,4,2,94
80,0.08,0,13,19,868,0,4,2,94
81,0.081,0,12,19,869,0,4,2,94
82,0.082,0,12,19,869,0,4,2,94
83,0.083,0,12,19,869,0,4,2,94
84,0.084,0,12,19,869,0,4,2,94
85,0.085,0,12,19,869,0,4,2,94
86,0.086,0,12,19,869,0,3,2,95
87,0.087,0,11,19,870,0,3,2,95
88,0.088,0,10,19,871,0,2,2,96
89,0.089,0,9,19,872,0,2,2,96
90,0.09,0,7,19,874,0,2,2,96
91,0.091,0,6,19,875,0,2,2,96
92,0.092,0,6,19,875,0,2,2,96
93,0.093,0,5,19,876,0,2,2,96
94,0.094,0,5,19,876,0,2,2,96
95,0.095,0,5,19,876,0,2,2,96
96,0.096,0,5,19,876,0,1,2,97
97,0.097,0,5,19,876,0,1,2,97
98,0.098,0,5,19,876,0,1,2,97
99,0.099,0,5,19,876,0,1,2,97
100,0.1,0,5,19,876,0,1,2,97
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
