,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,18,875,1,6,2,98,0,0
24,0.024,13,789,6,92,2,90,0,8
25,0.025,11,686,8,195,2,81,0,17
26,0.026,11,613,8,268,2,71,0,27
27,0.027,11,545,8,336,1,62,1,36
28,0.028,11,467,8,414,1,52,1,46
29,0.029,9,385,10,496,1,42,1,56
30,0.03,8,324,11,557,0,34,2,64
31,0.031,7,280,12,601,0,28,2,70
32,0.032,7,247,12,634,0,27,2,71
33,0.033,4,229,15,652,0,24,2,74
34,0.034,4,206,15,675,0,21,2,77
35,0.035,4,191,15,690,0,20,2,78
36,0.036,3,176,16,705,0,19,2,79
37,0.037,2,162,17,719,0,18,2,80
38,0.038,1,143,18,738,0,17,2,81
39,0.039,1,130,18,751,0,13,2,85
40,0.04,1,125,18,756,0,12,2,86
41,0.041,1,109,18,772,0,11,2,87
42,0.042,1,105,18,776,0,10,2,88
43,0.043,1,103,18,778,0,10,2,88
44,0.044,1,95,18,786,0,10,2,88
45,0.045,1,88,18,793,0,10,2,88
46,0.046,1,81,18,800,0,9,2,89
47,0.047,1,75,18,806,0,8,2,90
48,0.048,0,63,19,818,0,7,2,91
49,0.049,0,51,19,830,0,6,2,92
50,0.05,0,48,19,833,0,6,2,92
51,0.051,0,48,19,833,0,6,2,92
52,0.052,0,42,19,839,0,6,2,92
53,0.053,0,38,19,843,0,6,2,92
54,0.054,0,36,19,845,0,5,2,93
55,0.055,0,30,19,851,0,5,2,93
56,0.056,0,27,19,854,0,5,2,93
57,0.057,0,26,19,855,0,5,2,93
58,0.058,0,26,19,855,0,5,2,93
59,0.059,0,25,19,856,0,5,2,93
60,0.06,0,25,19,856,0,5,2,93
61,0.061,0,24,19,857,0,5,2,93
62,0.062,0,22,19,859,0,5,2,93
63,0.063,0,19,19,862,0,5,2,93
64,0.064,0,18,19,863,0,5,2,93
65,0.065,0,18,19,863,0,5,2,93
66,0.066,0,18,19,863,0,5,2,93
67,0.067,0,17,19,864,0,5,2,93
68,0.068,0,16,19,865,0,5,2,93
69,0.069,0,16,19,865,0,5,2,93
70,0.07,0,15,19,866,0,5,2,93
71,0.071,0,14,19,867,0,5,2,93
72,0.072,0,13,19,868,0,5,2,93
73,0.073,0,13,19,868,0,5,2,93
74,0.074,0,12,19,869,0,4,2,94
75,0.075,0,12,19,869,0,4,2,94
76,0.076,0,12,19,869,0,4,2,94
77,0.077,0,12,19,869,0,3,2,95
78,0.078,0,12,19,869,0,1,2,97
79,0.079,0,12,19,869,0,1,2,97
80,0.08,0,12,19,869,0,1,2,97
81,0.081,0,12,19,869,0,1,2,97
82,0.082,0,12,19,869,0,1,2,97
83,0.083,0,12,19,869,0,1,2,97
84,0.084,0,10,19,871,0,1,2,97
85,0.085,0,10,19,871,0,1,2,97
86,0.086,0,10,19,871,0,1,2,97
87,0.087,0,10,19,871,0,1,2,97
88,0.088,0,10,19,871,0,1,2,97
89,0.089,0,8,19,873,0,1,2,97
90,0.09,0,7,19,874,0,1,2,97
91,0.091,0,7,19,874,0,1,2,97
92,0.092,0,7,19,874,0,1,2,97
93,0.093,0,7,19,874,0,1,2,97
94,0.094,0,7,19,874,0,1,2,97
95,0.095,0,6,19,875,0,1,2,97
96,0.096,0,6,19,875,0,1,2,97
97,0.097,0,5,19,876,0,1,2,97
98,0.098,0,5,19,876,0,1,2,97
99,0.099,0,4,19,877,0,1,2,97
100,0.1,0,4,19,877,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
