,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,16,812,3,69,2,96,0,2
20,0.02,14,755,5,126,2,91,0,7
21,0.021,13,700,6,181,2,85,0,13
22,0.022,12,647,7,234,2,79,0,19
23,0.023,10,582,9,299,2,71,0,27
24,0.024,10,511,9,370,2,64,0,34
25,0.025,9,461,10,420,2,57,0,41
26,0.026,9,417,10,464,1,50,1,48
27,0.027,8,373,11,508,1,45,1,53
28,0.028,8,342,11,539,1,42,1,56
29,0.029,7,316,12,565,1,38,1,60
30,0.03,7,298,12,583,1,33,1,65
31,0.031,7,278,12,603,1,31,1,67
32,0.032,7,270,12,611,1,30,1,68
33,0.033,7,257,12,624,1,30,1,68
34,0.034,7,248,12,633,1,30,1,68
35,0.035,7,244,12,637,1,28,1,70
36,0.036,7,227,12,654,1,27,1,71
37,0.037,7,216,12,665,1,26,1,72
38,0.038,7,212,12,669,1,24,1,74
39,0.039,6,199,13,682,1,24,1,74
40,0.04,6,188,13,693,1,23,1,75
41,0.041,6,187,13,694,1,22,1,76
42,0.042,6,181,13,700,1,22,1,76
43,0.043,6,164,13,717,1,21,1,77
44,0.044,6,155,13,726,1,19,1,79
45,0.045,6,150,13,731,1,17,1,81
46,0.046,4,139,15,742,1,17,1,81
47,0.047,4,129,15,752,1,17,1,81
48,0.048,3,119,16,762,1,14,1,84
49,0.049,3,106,16,775,0,13,2,85
50,0.05,3,100,16,781,0,12,2,86
51,0.051,3,89,16,792,0,12,2,86
52,0.052,2,81,17,800,0,9,2,89
53,0.053,2,71,17,810,0,9,2,89
54,0.054,2,70,17,811,0,9,2,89
55,0.055,2,67,17,814,0,9,2,89
56,0.056,2,62,17,819,0,9,2,89
57,0.057,2,57,17,824,0,6,2,92
58,0.058,2,56,17,825,0,5,2,93
59,0.059,2,53,17,828,0,5,2,93
60,0.06,2,53,17,828,0,5,2,93
61,0.061,2,50,17,831,0,5,2,93
62,0.062,2,48,17,833,0,4,2,94
63,0.063,2,43,17,838,0,4,2,94
64,0.064,2,39,17,842,0,4,2,94
65,0.065,2,38,17,843,0,4,2,94
66,0.066,2,36,17,845,0,4,2,94
67,0.067,2,34,17,847,0,2,2,96
68,0.068,2,32,17,849,0,2,2,96
69,0.069,2,28,17,853,0,2,2,96
70,0.07,2,27,17,854,0,2,2,96
71,0.071,2,24,17,857,0,2,2,96
72,0.072,2,23,17,858,0,2,2,96
73,0.073,2,23,17,858,0,2,2,96
74,0.074,1,19,18,862,0,1,2,97
75,0.075,1,17,18,864,0,1,2,97
76,0.076,1,17,18,864,0,1,2,97
77,0.077,1,16,18,865,0,1,2,97
78,0.078,1,12,18,869,0,0,2,98
79,0.079,1,10,18,871,0,0,2,98
80,0.08,1,9,18,872,0,0,2,98
81,0.081,1,8,18,873,0,0,2,98
82,0.082,1,8,18,873,0,0,2,98
83,0.083,0,8,19,873,0,0,2,98
84,0.084,0,3,19,878,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
