,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,872,0,9,2,96,0,2
24,0.024,17,768,2,113,2,89,0,9
25,0.025,14,645,5,236,2,73,0,25
26,0.026,11,574,8,307,1,65,1,33
27,0.027,11,520,8,361,1,60,1,38
28,0.028,10,461,9,420,1,51,1,47
29,0.029,9,432,10,449,1,50,1,48
30,0.03,9,402,10,479,1,46,1,52
31,0.031,7,354,12,527,1,42,1,56
32,0.032,6,321,13,560,1,40,1,58
33,0.033,6,299,13,582,1,39,1,59
34,0.034,6,264,13,617,1,37,1,61
35,0.035,6,243,13,638,1,35,1,63
36,0.036,6,223,13,658,0,30,2,68
37,0.037,5,210,14,671,0,28,2,70
38,0.038,5,197,14,684,0,25,2,73
39,0.039,5,179,14,702,0,22,2,76
40,0.04,5,164,14,717,0,17,2,81
41,0.041,5,146,14,735,0,13,2,85
42,0.042,5,132,14,749,0,12,2,86
43,0.043,4,118,15,763,0,12,2,86
44,0.044,4,109,15,772,0,10,2,88
45,0.045,4,98,15,783,0,9,2,89
46,0.046,3,93,16,788,0,9,2,89
47,0.047,3,80,16,801,0,9,2,89
48,0.048,1,71,18,810,0,9,2,89
49,0.049,1,65,18,816,0,9,2,89
50,0.05,1,62,18,819,0,9,2,89
51,0.051,1,56,18,825,0,9,2,89
52,0.052,1,53,18,828,0,9,2,89
53,0.053,1,50,18,831,0,8,2,90
54,0.054,1,49,18,832,0,8,2,90
55,0.055,1,48,18,833,0,8,2,90
56,0.056,1,46,18,835,0,8,2,90
57,0.057,1,39,18,842,0,7,2,91
58,0.058,1,36,18,845,0,6,2,92
59,0.059,1,36,18,845,0,6,2,92
60,0.06,1,33,18,848,0,6,2,92
61,0.061,1,32,18,849,0,6,2,92
62,0.062,1,28,18,853,0,6,2,92
63,0.063,0,23,19,858,0,5,2,93
64,0.064,0,16,19,865,0,3,2,95
65,0.065,0,10,19,871,0,2,2,96
66,0.066,0,9,19,872,0,2,2,96
67,0.067,0,8,19,873,0,1,2,97
68,0.068,0,7,19,874,0,1,2,97
69,0.069,0,7,19,874,0,1,2,97
70,0.07,0,6,19,875,0,1,2,97
71,0.071,0,6,19,875,0,1,2,97
72,0.072,0,6,19,875,0,1,2,97
73,0.073,0,6,19,875,0,1,2,97
74,0.074,0,6,19,875,0,1,2,97
75,0.075,0,6,19,875,0,1,2,97
76,0.076,0,6,19,875,0,1,2,97
77,0.077,0,6,19,875,0,1,2,97
78,0.078,0,6,19,875,0,1,2,97
79,0.079,0,4,19,877,0,1,2,97
80,0.08,0,3,19,878,0,1,2,97
81,0.081,0,3,19,878,0,1,2,97
82,0.082,0,3,19,878,0,1,2,97
83,0.083,0,3,19,878,0,1,2,97
84,0.084,0,3,19,878,0,1,2,97
85,0.085,0,3,19,878,0,1,2,97
86,0.086,0,3,19,878,0,1,2,97
87,0.087,0,3,19,878,0,1,2,97
88,0.088,0,2,19,879,0,1,2,97
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
