,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,861,0,20,2,98,0,0
20,0.02,15,792,4,89,2,91,0,7
21,0.021,13,727,6,154,2,83,0,15
22,0.022,12,682,7,199,2,79,0,19
23,0.023,11,642,8,239,2,78,0,20
24,0.024,11,614,8,267,2,71,0,27
25,0.025,10,592,9,289,2,69,0,29
26,0.026,9,554,10,327,2,64,0,34
27,0.027,9,519,10,362,0,61,2,37
28,0.028,9,476,10,405,0,58,2,40
29,0.029,6,430,13,451,0,53,2,45
30,0.03,6,378,13,503,0,45,2,53
31,0.031,6,345,13,536,0,43,2,55
32,0.032,5,313,14,568,0,40,2,58
33,0.033,4,278,15,603,0,38,2,60
34,0.034,4,245,15,636,0,36,2,62
35,0.035,3,198,16,683,0,30,2,68
36,0.036,3,178,16,703,0,23,2,75
37,0.037,2,146,17,735,0,20,2,78
38,0.038,1,119,18,762,0,17,2,81
39,0.039,0,78,19,803,0,11,2,87
40,0.04,0,53,19,828,0,7,2,91
41,0.041,0,48,19,833,0,6,2,92
42,0.042,0,45,19,836,0,5,2,93
43,0.043,0,41,19,840,0,5,2,93
44,0.044,0,40,19,841,0,4,2,94
45,0.045,0,36,19,845,0,4,2,94
46,0.046,0,33,19,848,0,3,2,95
47,0.047,0,32,19,849,0,2,2,96
48,0.048,0,29,19,852,0,2,2,96
49,0.049,0,29,19,852,0,2,2,96
50,0.05,0,24,19,857,0,1,2,97
51,0.051,0,24,19,857,0,1,2,97
52,0.052,0,23,19,858,0,1,2,97
53,0.053,0,22,19,859,0,1,2,97
54,0.054,0,16,19,865,0,1,2,97
55,0.055,0,15,19,866,0,1,2,97
56,0.056,0,14,19,867,0,1,2,97
57,0.057,0,14,19,867,0,1,2,97
58,0.058,0,14,19,867,0,1,2,97
59,0.059,0,14,19,867,0,1,2,97
60,0.06,0,14,19,867,0,1,2,97
61,0.061,0,14,19,867,0,1,2,97
62,0.062,0,14,19,867,0,1,2,97
63,0.063,0,13,19,868,0,1,2,97
64,0.064,0,12,19,869,0,1,2,97
65,0.065,0,12,19,869,0,1,2,97
66,0.066,0,11,19,870,0,1,2,97
67,0.067,0,11,19,870,0,1,2,97
68,0.068,0,11,19,870,0,1,2,97
69,0.069,0,11,19,870,0,1,2,97
70,0.07,0,10,19,871,0,1,2,97
71,0.071,0,9,19,872,0,1,2,97
72,0.072,0,9,19,872,0,1,2,97
73,0.073,0,9,19,872,0,1,2,97
74,0.074,0,9,19,872,0,1,2,97
75,0.075,0,8,19,873,0,1,2,97
76,0.076,0,7,19,874,0,1,2,97
77,0.077,0,7,19,874,0,1,2,97
78,0.078,0,7,19,874,0,1,2,97
79,0.079,0,7,19,874,0,1,2,97
80,0.08,0,7,19,874,0,1,2,97
81,0.081,0,7,19,874,0,1,2,97
82,0.082,0,4,19,877,0,1,2,97
83,0.083,0,4,19,877,0,1,2,97
84,0.084,0,3,19,878,0,1,2,97
85,0.085,0,3,19,878,0,1,2,97
86,0.086,0,3,19,878,0,1,2,97
87,0.087,0,3,19,878,0,1,2,97
88,0.088,0,3,19,878,0,1,2,97
89,0.089,0,3,19,878,0,1,2,97
90,0.09,0,3,19,878,0,1,2,97
91,0.091,0,3,19,878,0,1,2,97
92,0.092,0,1,19,880,0,0,2,98
93,0.093,0,1,19,880,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
