,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,868,0,13,2,97,0,1
25,0.025,18,801,1,80,2,91,0,7
26,0.026,14,720,5,161,2,80,0,18
27,0.027,12,609,7,272,2,67,0,31
28,0.028,10,528,9,353,2,62,0,36
29,0.029,9,476,10,405,2,61,0,37
30,0.03,8,435,11,446,2,56,0,42
31,0.031,8,396,11,485,2,51,0,47
32,0.032,8,369,11,512,2,49,0,49
33,0.033,7,308,12,573,2,40,0,58
34,0.034,7,270,12,611,2,33,0,65
35,0.035,6,237,13,644,2,29,0,69
36,0.036,4,207,15,674,2,25,0,73
37,0.037,4,189,15,692,2,21,0,77
38,0.038,4,162,15,719,2,20,0,78
39,0.039,4,148,15,733,2,17,0,81
40,0.04,4,140,15,741,2,16,0,82
41,0.041,3,122,16,759,1,15,1,83
42,0.042,3,111,16,770,1,14,1,84
43,0.043,3,98,16,783,1,13,1,85
44,0.044,3,78,16,803,1,12,1,86
45,0.045,3,66,16,815,0,10,2,88
46,0.046,3,51,16,830,0,8,2,90
47,0.047,3,43,16,838,0,8,2,90
48,0.048,3,37,16,844,0,8,2,90
49,0.049,3,29,16,852,0,7,2,91
50,0.05,1,26,18,855,0,6,2,92
51,0.051,1,23,18,858,0,4,2,94
52,0.052,1,21,18,860,0,4,2,94
53,0.053,1,21,18,860,0,3,2,95
54,0.054,1,21,18,860,0,2,2,96
55,0.055,1,18,18,863,0,2,2,96
56,0.056,1,16,18,865,0,1,2,97
57,0.057,1,13,18,868,0,1,2,97
58,0.058,1,13,18,868,0,1,2,97
59,0.059,1,10,18,871,0,1,2,97
60,0.06,1,10,18,871,0,1,2,97
61,0.061,1,9,18,872,0,1,2,97
62,0.062,1,9,18,872,0,1,2,97
63,0.063,1,8,18,873,0,1,2,97
64,0.064,1,7,18,874,0,0,2,98
65,0.065,1,5,18,876,0,0,2,98
66,0.066,1,5,18,876,0,0,2,98
67,0.067,1,5,18,876,0,0,2,98
68,0.068,1,2,18,879,0,0,2,98
69,0.069,1,2,18,879,0,0,2,98
70,0.07,1,2,18,879,0,0,2,98
71,0.071,1,1,18,880,0,0,2,98
72,0.072,1,1,18,880,0,0,2,98
73,0.073,1,1,18,880,0,0,2,98
74,0.074,1,1,18,880,0,0,2,98
75,0.075,1,1,18,880,0,0,2,98
76,0.076,1,1,18,880,0,0,2,98
77,0.077,1,1,18,880,0,0,2,98
78,0.078,1,1,18,880,0,0,2,98
79,0.079,1,1,18,880,0,0,2,98
80,0.08,1,1,18,880,0,0,2,98
81,0.081,1,1,18,880,0,0,2,98
82,0.082,1,1,18,880,0,0,2,98
83,0.083,1,1,18,880,0,0,2,98
84,0.084,1,0,18,881,0,0,2,98
85,0.085,1,0,18,881,0,0,2,98
86,0.086,1,0,18,881,0,0,2,98
87,0.087,1,0,18,881,0,0,2,98
88,0.088,1,0,18,881,0,0,2,98
89,0.089,1,0,18,881,0,0,2,98
90,0.09,1,0,18,881,0,0,2,98
91,0.091,1,0,18,881,0,0,2,98
92,0.092,1,0,18,881,0,0,2,98
93,0.093,1,0,18,881,0,0,2,98
94,0.094,1,0,18,881,0,0,2,98
95,0.095,1,0,18,881,0,0,2,98
96,0.096,1,0,18,881,0,0,2,98
97,0.097,1,0,18,881,0,0,2,98
98,0.098,1,0,18,881,0,0,2,98
99,0.099,1,0,18,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
