,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,879,0,2,2,98,0,0
23,0.023,18,810,1,71,2,93,0,5
24,0.024,14,626,5,255,2,72,0,26
25,0.025,12,534,7,347,1,63,1,35
26,0.026,12,478,7,403,1,60,1,38
27,0.027,11,441,8,440,1,57,1,41
28,0.028,10,402,9,479,1,50,1,48
29,0.029,9,321,10,560,1,39,1,59
30,0.03,7,261,12,620,1,28,1,70
31,0.031,5,246,14,635,1,27,1,71
32,0.032,4,209,15,672,1,23,1,75
33,0.033,4,183,15,698,1,20,1,78
34,0.034,4,162,15,719,1,18,1,80
35,0.035,4,151,15,730,1,18,1,80
36,0.036,4,133,15,748,1,18,1,80
37,0.037,4,124,15,757,1,18,1,80
38,0.038,4,111,15,770,1,18,1,80
39,0.039,4,97,15,784,0,16,2,82
40,0.04,3,89,16,792,0,14,2,84
41,0.041,2,75,17,806,0,13,2,85
42,0.042,2,66,17,815,0,13,2,85
43,0.043,2,63,17,818,0,12,2,86
44,0.044,2,56,17,825,0,10,2,88
45,0.045,1,50,18,831,0,10,2,88
46,0.046,1,44,18,837,0,10,2,88
47,0.047,1,38,18,843,0,8,2,90
48,0.048,1,36,18,845,0,8,2,90
49,0.049,1,35,18,846,0,7,2,91
50,0.05,1,33,18,848,0,7,2,91
51,0.051,1,32,18,849,0,7,2,91
52,0.052,1,31,18,850,0,7,2,91
53,0.053,1,30,18,851,0,7,2,91
54,0.054,1,29,18,852,0,7,2,91
55,0.055,1,29,18,852,0,7,2,91
56,0.056,1,27,18,854,0,6,2,92
57,0.057,1,26,18,855,0,6,2,92
58,0.058,1,25,18,856,0,6,2,92
59,0.059,1,25,18,856,0,5,2,93
60,0.06,1,23,18,858,0,4,2,94
61,0.061,1,23,18,858,0,4,2,94
62,0.062,1,23,18,858,0,4,2,94
63,0.063,1,22,18,859,0,3,2,95
64,0.064,1,21,18,860,0,3,2,95
65,0.065,1,21,18,860,0,3,2,95
66,0.066,1,20,18,861,0,2,2,96
67,0.067,1,20,18,861,0,2,2,96
68,0.068,1,20,18,861,0,2,2,96
69,0.069,1,19,18,862,0,2,2,96
70,0.07,1,18,18,863,0,1,2,97
71,0.071,1,17,18,864,0,1,2,97
72,0.072,1,16,18,865,0,1,2,97
73,0.073,1,16,18,865,0,1,2,97
74,0.074,1,15,18,866,0,1,2,97
75,0.075,1,14,18,867,0,1,2,97
76,0.076,1,14,18,867,0,1,2,97
77,0.077,1,14,18,867,0,1,2,97
78,0.078,1,14,18,867,0,1,2,97
79,0.079,1,14,18,867,0,1,2,97
80,0.08,1,13,18,868,0,1,2,97
81,0.081,1,13,18,868,0,1,2,97
82,0.082,1,12,18,869,0,1,2,97
83,0.083,1,12,18,869,0,1,2,97
84,0.084,1,11,18,870,0,1,2,97
85,0.085,1,10,18,871,0,1,2,97
86,0.086,1,9,18,872,0,1,2,97
87,0.087,1,9,18,872,0,1,2,97
88,0.088,1,9,18,872,0,1,2,97
89,0.089,1,9,18,872,0,1,2,97
90,0.09,1,9,18,872,0,1,2,97
91,0.091,1,9,18,872,0,1,2,97
92,0.092,1,9,18,872,0,1,2,97
93,0.093,1,9,18,872,0,1,2,97
94,0.094,1,9,18,872,0,1,2,97
95,0.095,1,9,18,872,0,1,2,97
96,0.096,1,9,18,872,0,1,2,97
97,0.097,1,9,18,872,0,1,2,97
98,0.098,1,9,18,872,0,1,2,97
99,0.099,1,8,18,873,0,1,2,97
100,0.1,1,7,18,874,0,1,2,97
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
