,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,814,0,67,2,98,0,0
25,0.025,16,726,3,155,2,82,0,16
26,0.026,11,604,8,277,1,67,1,31
27,0.027,10,499,9,382,1,56,1,42
28,0.028,10,415,9,466,0,50,2,48
29,0.029,8,358,11,523,0,46,2,52
30,0.03,8,314,11,567,0,36,2,62
31,0.031,6,270,13,611,0,32,2,66
32,0.032,6,228,13,653,0,27,2,71
33,0.033,5,189,14,692,0,22,2,76
34,0.034,5,171,14,710,0,21,2,77
35,0.035,5,155,14,726,0,21,2,77
36,0.036,5,143,14,738,0,19,2,79
37,0.037,5,130,14,751,0,17,2,81
38,0.038,4,120,15,761,0,16,2,82
39,0.039,2,98,17,783,0,16,2,82
40,0.04,2,90,17,791,0,15,2,83
41,0.041,2,84,17,797,0,14,2,84
42,0.042,2,73,17,808,0,13,2,85
43,0.043,2,62,17,819,0,12,2,86
44,0.044,1,53,18,828,0,10,2,88
45,0.045,0,45,19,836,0,10,2,88
46,0.046,0,32,19,849,0,8,2,90
47,0.047,0,18,19,863,0,6,2,92
48,0.048,0,14,19,867,0,4,2,94
49,0.049,0,12,19,869,0,1,2,97
50,0.05,0,7,19,874,0,1,2,97
51,0.051,0,5,19,876,0,1,2,97
52,0.052,0,4,19,877,0,1,2,97
53,0.053,0,3,19,878,0,1,2,97
54,0.054,0,3,19,878,0,1,2,97
55,0.055,0,3,19,878,0,1,2,97
56,0.056,0,3,19,878,0,1,2,97
57,0.057,0,3,19,878,0,0,2,98
58,0.058,0,3,19,878,0,0,2,98
59,0.059,0,2,19,879,0,0,2,98
60,0.06,0,2,19,879,0,0,2,98
61,0.061,0,2,19,879,0,0,2,98
62,0.062,0,1,19,880,0,0,2,98
63,0.063,0,1,19,880,0,0,2,98
64,0.064,0,1,19,880,0,0,2,98
65,0.065,0,1,19,880,0,0,2,98
66,0.066,0,1,19,880,0,0,2,98
67,0.067,0,0,19,881,0,0,2,98
68,0.068,0,0,19,881,0,0,2,98
69,0.069,0,0,19,881,0,0,2,98
70,0.07,0,0,19,881,0,0,2,98
71,0.071,0,0,19,881,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
