,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,16,701,3,180,2,82,0,16
25,0.025,12,508,7,373,0,64,2,34
26,0.026,10,382,9,499,0,51,2,47
27,0.027,9,347,10,534,0,46,2,52
28,0.028,9,298,10,583,0,39,2,59
29,0.029,8,233,11,648,0,29,2,69
30,0.03,7,209,12,672,0,22,2,76
31,0.031,5,176,14,705,0,20,2,78
32,0.032,2,130,17,751,0,18,2,80
33,0.033,2,93,17,788,0,13,2,85
34,0.034,2,67,17,814,0,9,2,89
35,0.035,0,47,19,834,0,4,2,94
36,0.036,0,33,19,848,0,3,2,95
37,0.037,0,29,19,852,0,3,2,95
38,0.038,0,25,19,856,0,3,2,95
39,0.039,0,22,19,859,0,3,2,95
40,0.04,0,21,19,860,0,3,2,95
41,0.041,0,19,19,862,0,3,2,95
42,0.042,0,18,19,863,0,3,2,95
43,0.043,0,16,19,865,0,2,2,96
44,0.044,0,15,19,866,0,2,2,96
45,0.045,0,15,19,866,0,2,2,96
46,0.046,0,15,19,866,0,2,2,96
47,0.047,0,15,19,866,0,2,2,96
48,0.048,0,14,19,867,0,1,2,97
49,0.049,0,12,19,869,0,1,2,97
50,0.05,0,11,19,870,0,1,2,97
51,0.051,0,9,19,872,0,1,2,97
52,0.052,0,9,19,872,0,1,2,97
53,0.053,0,9,19,872,0,1,2,97
54,0.054,0,9,19,872,0,1,2,97
55,0.055,0,9,19,872,0,1,2,97
56,0.056,0,9,19,872,0,1,2,97
57,0.057,0,9,19,872,0,1,2,97
58,0.058,0,9,19,872,0,1,2,97
59,0.059,0,9,19,872,0,1,2,97
60,0.06,0,8,19,873,0,1,2,97
61,0.061,0,7,19,874,0,0,2,98
62,0.062,0,7,19,874,0,0,2,98
63,0.063,0,6,19,875,0,0,2,98
64,0.064,0,5,19,876,0,0,2,98
65,0.065,0,5,19,876,0,0,2,98
66,0.066,0,5,19,876,0,0,2,98
67,0.067,0,5,19,876,0,0,2,98
68,0.068,0,4,19,877,0,0,2,98
69,0.069,0,4,19,877,0,0,2,98
70,0.07,0,4,19,877,0,0,2,98
71,0.071,0,4,19,877,0,0,2,98
72,0.072,0,3,19,878,0,0,2,98
73,0.073,0,3,19,878,0,0,2,98
74,0.074,0,3,19,878,0,0,2,98
75,0.075,0,3,19,878,0,0,2,98
76,0.076,0,2,19,879,0,0,2,98
77,0.077,0,2,19,879,0,0,2,98
78,0.078,0,2,19,879,0,0,2,98
79,0.079,0,2,19,879,0,0,2,98
80,0.08,0,2,19,879,0,0,2,98
81,0.081,0,2,19,879,0,0,2,98
82,0.082,0,2,19,879,0,0,2,98
83,0.083,0,2,19,879,0,0,2,98
84,0.084,0,2,19,879,0,0,2,98
85,0.085,0,1,19,880,0,0,2,98
86,0.086,0,1,19,880,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
