,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,18,800,1,81,2,93,0,5
22,0.022,17,647,2,234,2,77,0,21
23,0.023,17,556,2,325,1,66,1,32
24,0.024,16,485,3,396,1,60,1,38
25,0.025,15,442,4,439,1,56,1,42
26,0.026,11,401,8,480,1,48,1,50
27,0.027,11,367,8,514,1,43,1,55
28,0.028,10,340,9,541,1,39,1,59
29,0.029,9,313,10,568,1,38,1,60
30,0.03,8,296,11,585,1,32,1,66
31,0.031,8,268,11,613,1,31,1,67
32,0.032,7,251,12,630,1,27,1,71
33,0.033,6,230,13,651,1,26,1,72
34,0.034,5,212,14,669,1,23,1,75
35,0.035,5,201,14,680,1,22,1,76
36,0.036,5,187,14,694,1,22,1,76
37,0.037,5,175,14,706,1,18,1,80
38,0.038,5,164,14,717,0,17,2,81
39,0.039,5,151,14,730,0,17,2,81
40,0.04,5,138,14,743,0,17,2,81
41,0.041,4,119,15,762,0,16,2,82
42,0.042,4,112,15,769,0,16,2,82
43,0.043,3,109,16,772,0,16,2,82
44,0.044,3,100,16,781,0,13,2,85
45,0.045,2,90,17,791,0,12,2,86
46,0.046,2,76,17,805,0,10,2,88
47,0.047,1,73,18,808,0,6,2,92
48,0.048,1,66,18,815,0,5,2,93
49,0.049,1,61,18,820,0,5,2,93
50,0.05,0,59,19,822,0,5,2,93
51,0.051,0,52,19,829,0,3,2,95
52,0.052,0,49,19,832,0,2,2,96
53,0.053,0,46,19,835,0,2,2,96
54,0.054,0,45,19,836,0,2,2,96
55,0.055,0,41,19,840,0,2,2,96
56,0.056,0,34,19,847,0,2,2,96
57,0.057,0,30,19,851,0,1,2,97
58,0.058,0,26,19,855,0,1,2,97
59,0.059,0,22,19,859,0,1,2,97
60,0.06,0,21,19,860,0,1,2,97
61,0.061,0,20,19,861,0,1,2,97
62,0.062,0,19,19,862,0,1,2,97
63,0.063,0,17,19,864,0,1,2,97
64,0.064,0,17,19,864,0,1,2,97
65,0.065,0,15,19,866,0,1,2,97
66,0.066,0,15,19,866,0,1,2,97
67,0.067,0,14,19,867,0,1,2,97
68,0.068,0,13,19,868,0,1,2,97
69,0.069,0,13,19,868,0,0,2,98
70,0.07,0,12,19,869,0,0,2,98
71,0.071,0,10,19,871,0,0,2,98
72,0.072,0,9,19,872,0,0,2,98
73,0.073,0,9,19,872,0,0,2,98
74,0.074,0,5,19,876,0,0,2,98
75,0.075,0,3,19,878,0,0,2,98
76,0.076,0,2,19,879,0,0,2,98
77,0.077,0,2,19,879,0,0,2,98
78,0.078,0,2,19,879,0,0,2,98
79,0.079,0,2,19,879,0,0,2,98
80,0.08,0,2,19,879,0,0,2,98
81,0.081,0,1,19,880,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
