,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,17,760,2,121,2,85,0,13
22,0.022,16,612,3,269,1,66,1,32
23,0.023,15,529,4,352,1,65,1,33
24,0.024,14,476,5,405,1,56,1,42
25,0.025,13,416,6,465,1,50,1,48
26,0.026,13,377,6,504,1,44,1,54
27,0.027,11,351,8,530,1,43,1,55
28,0.028,10,336,9,545,1,41,1,57
29,0.029,8,295,11,586,1,34,1,64
30,0.03,6,272,13,609,1,31,1,67
31,0.031,6,246,13,635,1,28,1,70
32,0.032,4,232,15,649,0,25,2,73
33,0.033,2,198,17,683,0,24,2,74
34,0.034,2,183,17,698,0,22,2,76
35,0.035,2,175,17,706,0,21,2,77
36,0.036,2,159,17,722,0,19,2,79
37,0.037,2,151,17,730,0,19,2,79
38,0.038,2,138,17,743,0,16,2,82
39,0.039,2,117,17,764,0,16,2,82
40,0.04,2,107,17,774,0,14,2,84
41,0.041,2,99,17,782,0,12,2,86
42,0.042,2,84,17,797,0,11,2,87
43,0.043,2,78,17,803,0,9,2,89
44,0.044,2,76,17,805,0,8,2,90
45,0.045,2,71,17,810,0,7,2,91
46,0.046,2,64,17,817,0,6,2,92
47,0.047,2,58,17,823,0,5,2,93
48,0.048,2,53,17,828,0,5,2,93
49,0.049,2,51,17,830,0,3,2,95
50,0.05,2,49,17,832,0,3,2,95
51,0.051,2,39,17,842,0,3,2,95
52,0.052,2,36,17,845,0,3,2,95
53,0.053,1,33,18,848,0,3,2,95
54,0.054,1,29,18,852,0,2,2,96
55,0.055,1,23,18,858,0,1,2,97
56,0.056,1,20,18,861,0,1,2,97
57,0.057,1,19,18,862,0,1,2,97
58,0.058,1,19,18,862,0,1,2,97
59,0.059,1,18,18,863,0,1,2,97
60,0.06,1,14,18,867,0,1,2,97
61,0.061,1,14,18,867,0,1,2,97
62,0.062,1,14,18,867,0,1,2,97
63,0.063,1,14,18,867,0,1,2,97
64,0.064,1,14,18,867,0,1,2,97
65,0.065,1,11,18,870,0,0,2,98
66,0.066,1,10,18,871,0,0,2,98
67,0.067,1,8,18,873,0,0,2,98
68,0.068,1,8,18,873,0,0,2,98
69,0.069,1,7,18,874,0,0,2,98
70,0.07,0,5,19,876,0,0,2,98
71,0.071,0,4,19,877,0,0,2,98
72,0.072,0,3,19,878,0,0,2,98
73,0.073,0,2,19,879,0,0,2,98
74,0.074,0,2,19,879,0,0,2,98
75,0.075,0,2,19,879,0,0,2,98
76,0.076,0,2,19,879,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
