,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,881,0,0,2,98,0,0
25,0.025,16,797,3,84,2,92,0,6
26,0.026,12,595,7,286,2,72,0,26
27,0.027,12,464,7,417,2,56,0,42
28,0.028,8,385,11,496,2,44,0,54
29,0.029,7,286,12,595,1,35,1,63
30,0.03,6,214,13,667,1,24,1,74
31,0.031,6,181,13,700,0,21,2,77
32,0.032,6,155,13,726,0,19,2,79
33,0.033,5,113,14,768,0,14,2,84
34,0.034,5,87,14,794,0,12,2,86
35,0.035,5,72,14,809,0,11,2,87
36,0.036,5,59,14,822,0,8,2,90
37,0.037,5,56,14,825,0,6,2,92
38,0.038,5,42,14,839,0,4,2,94
39,0.039,5,37,14,844,0,1,2,97
40,0.04,5,36,14,845,0,1,2,97
41,0.041,5,35,14,846,0,1,2,97
42,0.042,4,31,15,850,0,1,2,97
43,0.043,4,30,15,851,0,1,2,97
44,0.044,4,26,15,855,0,1,2,97
45,0.045,4,25,15,856,0,1,2,97
46,0.046,4,23,15,858,0,1,2,97
47,0.047,3,22,16,859,0,1,2,97
48,0.048,3,22,16,859,0,1,2,97
49,0.049,3,21,16,860,0,1,2,97
50,0.05,3,18,16,863,0,1,2,97
51,0.051,3,18,16,863,0,1,2,97
52,0.052,3,16,16,865,0,1,2,97
53,0.053,2,15,17,866,0,1,2,97
54,0.054,1,15,18,866,0,1,2,97
55,0.055,0,15,19,866,0,1,2,97
56,0.056,0,15,19,866,0,1,2,97
57,0.057,0,15,19,866,0,1,2,97
58,0.058,0,15,19,866,0,1,2,97
59,0.059,0,14,19,867,0,1,2,97
60,0.06,0,13,19,868,0,1,2,97
61,0.061,0,11,19,870,0,1,2,97
62,0.062,0,8,19,873,0,1,2,97
63,0.063,0,6,19,875,0,1,2,97
64,0.064,0,6,19,875,0,1,2,97
65,0.065,0,6,19,875,0,1,2,97
66,0.066,0,6,19,875,0,1,2,97
67,0.067,0,6,19,875,0,1,2,97
68,0.068,0,5,19,876,0,1,2,97
69,0.069,0,5,19,876,0,1,2,97
70,0.07,0,5,19,876,0,1,2,97
71,0.071,0,5,19,876,0,1,2,97
72,0.072,0,5,19,876,0,1,2,97
73,0.073,0,4,19,877,0,0,2,98
74,0.074,0,3,19,878,0,0,2,98
75,0.075,0,2,19,879,0,0,2,98
76,0.076,0,2,19,879,0,0,2,98
77,0.077,0,2,19,879,0,0,2,98
78,0.078,0,2,19,879,0,0,2,98
79,0.079,0,2,19,879,0,0,2,98
80,0.08,0,2,19,879,0,0,2,98
81,0.081,0,1,19,880,0,0,2,98
82,0.082,0,1,19,880,0,0,2,98
83,0.083,0,1,19,880,0,0,2,98
84,0.084,0,1,19,880,0,0,2,98
85,0.085,0,1,19,880,0,0,2,98
86,0.086,0,1,19,880,0,0,2,98
87,0.087,0,1,19,880,0,0,2,98
88,0.088,0,1,19,880,0,0,2,98
89,0.089,0,1,19,880,0,0,2,98
90,0.09,0,1,19,880,0,0,2,98
91,0.091,0,1,19,880,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
