,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,855,0,26,2,97,0,1
22,0.022,19,829,0,52,2,96,0,2
23,0.023,18,802,1,79,2,93,0,5
24,0.024,18,774,1,107,2,93,0,5
25,0.025,17,739,2,142,2,90,0,8
26,0.026,17,693,2,188,2,83,0,15
27,0.027,17,655,2,226,2,76,0,22
28,0.028,16,619,3,262,2,72,0,26
29,0.029,14,596,5,285,2,68,0,30
30,0.03,14,563,5,318,2,65,0,33
31,0.031,14,532,5,349,2,62,0,36
32,0.032,12,496,7,385,2,58,0,40
33,0.033,10,457,9,424,2,55,0,43
34,0.034,10,408,9,473,0,50,2,48
35,0.035,9,363,10,518,0,45,2,53
36,0.036,9,313,10,568,0,41,2,57
37,0.037,7,247,12,634,0,33,2,65
38,0.038,5,195,14,686,0,26,2,72
39,0.039,3,164,16,717,0,20,2,78
40,0.04,3,137,16,744,0,16,2,82
41,0.041,1,114,18,767,0,14,2,84
42,0.042,1,89,18,792,0,11,2,87
43,0.043,1,65,18,816,0,7,2,91
44,0.044,0,46,19,835,0,5,2,93
45,0.045,0,43,19,838,0,5,2,93
46,0.046,0,39,19,842,0,4,2,94
47,0.047,0,33,19,848,0,2,2,96
48,0.048,0,31,19,850,0,2,2,96
49,0.049,0,30,19,851,0,2,2,96
50,0.05,0,29,19,852,0,2,2,96
51,0.051,0,27,19,854,0,2,2,96
52,0.052,0,27,19,854,0,2,2,96
53,0.053,0,26,19,855,0,2,2,96
54,0.054,0,22,19,859,0,2,2,96
55,0.055,0,19,19,862,0,1,2,97
56,0.056,0,14,19,867,0,1,2,97
57,0.057,0,14,19,867,0,1,2,97
58,0.058,0,14,19,867,0,1,2,97
59,0.059,0,14,19,867,0,1,2,97
60,0.06,0,14,19,867,0,1,2,97
61,0.061,0,14,19,867,0,1,2,97
62,0.062,0,14,19,867,0,1,2,97
63,0.063,0,14,19,867,0,1,2,97
64,0.064,0,14,19,867,0,1,2,97
65,0.065,0,13,19,868,0,1,2,97
66,0.066,0,11,19,870,0,1,2,97
67,0.067,0,11,19,870,0,1,2,97
68,0.068,0,11,19,870,0,1,2,97
69,0.069,0,11,19,870,0,1,2,97
70,0.07,0,11,19,870,0,1,2,97
71,0.071,0,11,19,870,0,1,2,97
72,0.072,0,11,19,870,0,1,2,97
73,0.073,0,11,19,870,0,1,2,97
74,0.074,0,11,19,870,0,1,2,97
75,0.075,0,9,19,872,0,1,2,97
76,0.076,0,8,19,873,0,1,2,97
77,0.077,0,7,19,874,0,1,2,97
78,0.078,0,7,19,874,0,1,2,97
79,0.079,0,7,19,874,0,1,2,97
80,0.08,0,7,19,874,0,1,2,97
81,0.081,0,7,19,874,0,1,2,97
82,0.082,0,7,19,874,0,1,2,97
83,0.083,0,7,19,874,0,1,2,97
84,0.084,0,7,19,874,0,1,2,97
85,0.085,0,7,19,874,0,1,2,97
86,0.086,0,6,19,875,0,1,2,97
87,0.087,0,5,19,876,0,1,2,97
88,0.088,0,4,19,877,0,1,2,97
89,0.089,0,3,19,878,0,1,2,97
90,0.09,0,3,19,878,0,1,2,97
91,0.091,0,3,19,878,0,1,2,97
92,0.092,0,3,19,878,0,1,2,97
93,0.093,0,3,19,878,0,1,2,97
94,0.094,0,3,19,878,0,1,2,97
95,0.095,0,3,19,878,0,1,2,97
96,0.096,0,3,19,878,0,1,2,97
97,0.097,0,3,19,878,0,1,2,97
98,0.098,0,3,19,878,0,0,2,98
99,0.099,0,2,19,879,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
