,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,18,850,1,31,2,95,0,3
24,0.024,18,800,1,81,2,89,0,9
25,0.025,16,703,3,178,2,78,0,20
26,0.026,13,633,6,248,2,67,0,31
27,0.027,11,551,8,330,2,57,0,41
28,0.028,9,466,10,415,2,49,0,49
29,0.029,9,417,10,464,2,47,0,51
30,0.03,9,399,10,482,2,44,0,54
31,0.031,8,366,11,515,2,37,0,61
32,0.032,7,339,12,542,2,32,0,66
33,0.033,7,315,12,566,2,32,0,66
34,0.034,7,282,12,599,2,28,0,70
35,0.035,6,250,13,631,2,24,0,74
36,0.036,6,227,13,654,2,20,0,78
37,0.037,6,212,13,669,2,19,0,79
38,0.038,6,196,13,685,2,18,0,80
39,0.039,6,182,13,699,1,17,1,81
40,0.04,6,160,13,721,1,14,1,84
41,0.041,5,140,14,741,0,12,2,86
42,0.042,5,126,14,755,0,8,2,90
43,0.043,5,113,14,768,0,7,2,91
44,0.044,4,104,15,777,0,5,2,93
45,0.045,3,91,16,790,0,5,2,93
46,0.046,3,89,16,792,0,4,2,94
47,0.047,3,75,16,806,0,4,2,94
48,0.048,3,68,16,813,0,4,2,94
49,0.049,3,58,16,823,0,3,2,95
50,0.05,2,46,17,835,0,3,2,95
51,0.051,2,36,17,845,0,2,2,96
52,0.052,1,28,18,853,0,2,2,96
53,0.053,1,27,18,854,0,2,2,96
54,0.054,1,25,18,856,0,2,2,96
55,0.055,0,22,19,859,0,2,2,96
56,0.056,0,19,19,862,0,1,2,97
57,0.057,0,16,19,865,0,1,2,97
58,0.058,0,13,19,868,0,0,2,98
59,0.059,0,13,19,868,0,0,2,98
60,0.06,0,12,19,869,0,0,2,98
61,0.061,0,11,19,870,0,0,2,98
62,0.062,0,9,19,872,0,0,2,98
63,0.063,0,8,19,873,0,0,2,98
64,0.064,0,5,19,876,0,0,2,98
65,0.065,0,5,19,876,0,0,2,98
66,0.066,0,5,19,876,0,0,2,98
67,0.067,0,5,19,876,0,0,2,98
68,0.068,0,5,19,876,0,0,2,98
69,0.069,0,5,19,876,0,0,2,98
70,0.07,0,5,19,876,0,0,2,98
71,0.071,0,5,19,876,0,0,2,98
72,0.072,0,4,19,877,0,0,2,98
73,0.073,0,4,19,877,0,0,2,98
74,0.074,0,4,19,877,0,0,2,98
75,0.075,0,3,19,878,0,0,2,98
76,0.076,0,3,19,878,0,0,2,98
77,0.077,0,3,19,878,0,0,2,98
78,0.078,0,3,19,878,0,0,2,98
79,0.079,0,3,19,878,0,0,2,98
80,0.08,0,3,19,878,0,0,2,98
81,0.081,0,3,19,878,0,0,2,98
82,0.082,0,1,19,880,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
