,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,18,822,1,59,2,93,0,5
23,0.023,14,685,5,196,2,79,0,19
24,0.024,10,561,9,320,2,69,0,29
25,0.025,5,435,14,446,2,55,0,43
26,0.026,4,392,15,489,2,51,0,47
27,0.027,4,347,15,534,2,48,0,50
28,0.028,2,305,17,576,2,39,0,59
29,0.029,2,275,17,606,2,36,0,62
30,0.03,2,246,17,635,2,32,0,66
31,0.031,2,220,17,661,2,25,0,73
32,0.032,2,188,17,693,2,24,0,74
33,0.033,2,178,17,703,2,24,0,74
34,0.034,2,164,17,717,2,23,0,75
35,0.035,2,136,17,745,2,20,0,78
36,0.036,0,119,19,762,2,17,0,81
37,0.037,0,110,19,771,2,16,0,82
38,0.038,0,103,19,778,2,16,0,82
39,0.039,0,96,19,785,2,12,0,86
40,0.04,0,77,19,804,0,12,2,86
41,0.041,0,66,19,815,0,11,2,87
42,0.042,0,61,19,820,0,9,2,89
43,0.043,0,60,19,821,0,9,2,89
44,0.044,0,59,19,822,0,9,2,89
45,0.045,0,53,19,828,0,9,2,89
46,0.046,0,51,19,830,0,9,2,89
47,0.047,0,49,19,832,0,9,2,89
48,0.048,0,47,19,834,0,9,2,89
49,0.049,0,39,19,842,0,8,2,90
50,0.05,0,31,19,850,0,8,2,90
51,0.051,0,31,19,850,0,5,2,93
52,0.052,0,27,19,854,0,4,2,94
53,0.053,0,26,19,855,0,4,2,94
54,0.054,0,25,19,856,0,3,2,95
55,0.055,0,23,19,858,0,3,2,95
56,0.056,0,22,19,859,0,3,2,95
57,0.057,0,22,19,859,0,3,2,95
58,0.058,0,21,19,860,0,3,2,95
59,0.059,0,19,19,862,0,3,2,95
60,0.06,0,19,19,862,0,3,2,95
61,0.061,0,19,19,862,0,3,2,95
62,0.062,0,18,19,863,0,1,2,97
63,0.063,0,18,19,863,0,1,2,97
64,0.064,0,18,19,863,0,1,2,97
65,0.065,0,18,19,863,0,1,2,97
66,0.066,0,18,19,863,0,1,2,97
67,0.067,0,18,19,863,0,1,2,97
68,0.068,0,18,19,863,0,1,2,97
69,0.069,0,18,19,863,0,1,2,97
70,0.07,0,17,19,864,0,1,2,97
71,0.071,0,16,19,865,0,1,2,97
72,0.072,0,15,19,866,0,1,2,97
73,0.073,0,14,19,867,0,1,2,97
74,0.074,0,13,19,868,0,1,2,97
75,0.075,0,13,19,868,0,1,2,97
76,0.076,0,10,19,871,0,1,2,97
77,0.077,0,9,19,872,0,1,2,97
78,0.078,0,8,19,873,0,1,2,97
79,0.079,0,8,19,873,0,1,2,97
80,0.08,0,8,19,873,0,1,2,97
81,0.081,0,8,19,873,0,1,2,97
82,0.082,0,8,19,873,0,1,2,97
83,0.083,0,8,19,873,0,1,2,97
84,0.084,0,8,19,873,0,1,2,97
85,0.085,0,8,19,873,0,1,2,97
86,0.086,0,8,19,873,0,1,2,97
87,0.087,0,6,19,875,0,1,2,97
88,0.088,0,6,19,875,0,1,2,97
89,0.089,0,6,19,875,0,1,2,97
90,0.09,0,6,19,875,0,1,2,97
91,0.091,0,6,19,875,0,1,2,97
92,0.092,0,6,19,875,0,1,2,97
93,0.093,0,6,19,875,0,1,2,97
94,0.094,0,6,19,875,0,1,2,97
95,0.095,0,6,19,875,0,1,2,97
96,0.096,0,6,19,875,0,1,2,97
97,0.097,0,6,19,875,0,1,2,97
98,0.098,0,6,19,875,0,1,2,97
99,0.099,0,5,19,876,0,1,2,97
100,0.1,0,4,19,877,0,1,2,97
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
