,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,16,828,3,53,2,90,0,8
24,0.024,16,767,3,114,2,84,0,14
25,0.025,12,659,7,222,1,73,1,25
26,0.026,11,575,8,306,1,63,1,35
27,0.027,8,502,11,379,1,55,1,43
28,0.028,8,450,11,431,0,49,2,49
29,0.029,8,417,11,464,0,46,2,52
30,0.03,7,375,12,506,0,41,2,57
31,0.031,7,319,12,562,0,37,2,61
32,0.032,7,280,12,601,0,35,2,63
33,0.033,7,266,12,615,0,33,2,65
34,0.034,7,226,12,655,0,30,2,68
35,0.035,6,196,13,685,0,25,2,73
36,0.036,3,151,16,730,0,22,2,76
37,0.037,3,128,16,753,0,21,2,77
38,0.038,3,104,16,777,0,18,2,80
39,0.039,0,83,19,798,0,15,2,83
40,0.04,0,76,19,805,0,14,2,84
41,0.041,0,65,19,816,0,13,2,85
42,0.042,0,57,19,824,0,12,2,86
43,0.043,0,45,19,836,0,10,2,88
44,0.044,0,37,19,844,0,8,2,90
45,0.045,0,31,19,850,0,7,2,91
46,0.046,0,29,19,852,0,6,2,92
47,0.047,0,29,19,852,0,5,2,93
48,0.048,0,27,19,854,0,4,2,94
49,0.049,0,25,19,856,0,4,2,94
50,0.05,0,24,19,857,0,4,2,94
51,0.051,0,21,19,860,0,4,2,94
52,0.052,0,20,19,861,0,3,2,95
53,0.053,0,20,19,861,0,3,2,95
54,0.054,0,16,19,865,0,3,2,95
55,0.055,0,14,19,867,0,3,2,95
56,0.056,0,14,19,867,0,3,2,95
57,0.057,0,14,19,867,0,3,2,95
58,0.058,0,13,19,868,0,3,2,95
59,0.059,0,10,19,871,0,3,2,95
60,0.06,0,10,19,871,0,3,2,95
61,0.061,0,8,19,873,0,2,2,96
62,0.062,0,8,19,873,0,1,2,97
63,0.063,0,6,19,875,0,1,2,97
64,0.064,0,3,19,878,0,1,2,97
65,0.065,0,2,19,879,0,1,2,97
66,0.066,0,2,19,879,0,1,2,97
67,0.067,0,2,19,879,0,1,2,97
68,0.068,0,2,19,879,0,1,2,97
69,0.069,0,2,19,879,0,1,2,97
70,0.07,0,1,19,880,0,1,2,97
71,0.071,0,1,19,880,0,1,2,97
72,0.072,0,1,19,880,0,1,2,97
73,0.073,0,1,19,880,0,1,2,97
74,0.074,0,0,19,881,0,1,2,97
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
