,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,18,866,1,15,2,97,0,1
21,0.021,15,811,4,70,2,96,0,2
22,0.022,14,750,5,131,2,88,0,10
23,0.023,13,682,6,199,2,84,0,14
24,0.024,9,631,10,250,2,73,0,25
25,0.025,8,582,11,299,2,67,0,31
26,0.026,8,532,11,349,2,62,0,36
27,0.027,7,496,12,385,1,58,1,40
28,0.028,7,468,12,413,1,53,1,45
29,0.029,6,437,13,444,1,52,1,46
30,0.03,6,392,13,489,1,48,1,50
31,0.031,6,361,13,520,1,46,1,52
32,0.032,4,342,15,539,1,42,1,56
33,0.033,4,318,15,563,1,39,1,59
34,0.034,4,284,15,597,1,32,1,66
35,0.035,4,259,15,622,1,31,1,67
36,0.036,3,238,16,643,1,26,1,72
37,0.037,3,209,16,672,1,24,1,74
38,0.038,3,187,16,694,1,20,1,78
39,0.039,3,169,16,712,1,19,1,79
40,0.04,3,142,16,739,1,15,1,83
41,0.041,3,125,16,756,1,13,1,85
42,0.042,3,117,16,764,1,13,1,85
43,0.043,3,105,16,776,1,10,1,88
44,0.044,3,94,16,787,1,10,1,88
45,0.045,3,83,16,798,1,6,1,92
46,0.046,2,67,17,814,1,5,1,93
47,0.047,1,59,18,822,1,5,1,93
48,0.048,1,51,18,830,1,5,1,93
49,0.049,1,48,18,833,1,4,1,94
50,0.05,1,46,18,835,0,2,2,96
51,0.051,1,40,18,841,0,2,2,96
52,0.052,1,33,18,848,0,2,2,96
53,0.053,1,27,18,854,0,2,2,96
54,0.054,1,24,18,857,0,2,2,96
55,0.055,1,24,18,857,0,2,2,96
56,0.056,1,21,18,860,0,2,2,96
57,0.057,1,16,18,865,0,1,2,97
58,0.058,1,16,18,865,0,1,2,97
59,0.059,1,14,18,867,0,0,2,98
60,0.06,1,11,18,870,0,0,2,98
61,0.061,1,11,18,870,0,0,2,98
62,0.062,1,10,18,871,0,0,2,98
63,0.063,1,10,18,871,0,0,2,98
64,0.064,1,9,18,872,0,0,2,98
65,0.065,1,8,18,873,0,0,2,98
66,0.066,1,6,18,875,0,0,2,98
67,0.067,1,5,18,876,0,0,2,98
68,0.068,1,1,18,880,0,0,2,98
69,0.069,1,1,18,880,0,0,2,98
70,0.07,0,0,19,881,0,0,2,98
71,0.071,0,0,19,881,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
