,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,771,0,110,2,86,0,12
24,0.024,17,653,2,228,2,73,0,25
25,0.025,16,582,3,299,2,67,0,31
26,0.026,15,539,4,342,2,60,0,38
27,0.027,13,455,6,426,0,47,2,51
28,0.028,11,376,8,505,0,43,2,55
29,0.029,8,317,11,564,0,40,2,58
30,0.03,6,259,13,622,0,33,2,65
31,0.031,5,233,14,648,0,28,2,70
32,0.032,3,209,16,672,0,24,2,74
33,0.033,3,191,16,690,0,23,2,75
34,0.034,3,173,16,708,0,23,2,75
35,0.035,3,155,16,726,0,22,2,76
36,0.036,3,149,16,732,0,18,2,80
37,0.037,3,126,16,755,0,16,2,82
38,0.038,3,113,16,768,0,16,2,82
39,0.039,3,106,16,775,0,14,2,84
40,0.04,3,88,16,793,0,14,2,84
41,0.041,3,74,16,807,0,9,2,89
42,0.042,1,54,18,827,0,4,2,94
43,0.043,1,41,18,840,0,4,2,94
44,0.044,1,39,18,842,0,4,2,94
45,0.045,0,25,19,856,0,0,2,98
46,0.046,0,14,19,867,0,0,2,98
47,0.047,0,10,19,871,0,0,2,98
48,0.048,0,6,19,875,0,0,2,98
49,0.049,0,6,19,875,0,0,2,98
50,0.05,0,6,19,875,0,0,2,98
51,0.051,0,5,19,876,0,0,2,98
52,0.052,0,5,19,876,0,0,2,98
53,0.053,0,5,19,876,0,0,2,98
54,0.054,0,4,19,877,0,0,2,98
55,0.055,0,4,19,877,0,0,2,98
56,0.056,0,4,19,877,0,0,2,98
57,0.057,0,4,19,877,0,0,2,98
58,0.058,0,4,19,877,0,0,2,98
59,0.059,0,4,19,877,0,0,2,98
60,0.06,0,4,19,877,0,0,2,98
61,0.061,0,4,19,877,0,0,2,98
62,0.062,0,4,19,877,0,0,2,98
63,0.063,0,4,19,877,0,0,2,98
64,0.064,0,4,19,877,0,0,2,98
65,0.065,0,4,19,877,0,0,2,98
66,0.066,0,3,19,878,0,0,2,98
67,0.067,0,3,19,878,0,0,2,98
68,0.068,0,2,19,879,0,0,2,98
69,0.069,0,2,19,879,0,0,2,98
70,0.07,0,2,19,879,0,0,2,98
71,0.071,0,2,19,879,0,0,2,98
72,0.072,0,2,19,879,0,0,2,98
73,0.073,0,2,19,879,0,0,2,98
74,0.074,0,2,19,879,0,0,2,98
75,0.075,0,2,19,879,0,0,2,98
76,0.076,0,2,19,879,0,0,2,98
77,0.077,0,2,19,879,0,0,2,98
78,0.078,0,2,19,879,0,0,2,98
79,0.079,0,2,19,879,0,0,2,98
80,0.08,0,2,19,879,0,0,2,98
81,0.081,0,2,19,879,0,0,2,98
82,0.082,0,2,19,879,0,0,2,98
83,0.083,0,2,19,879,0,0,2,98
84,0.084,0,2,19,879,0,0,2,98
85,0.085,0,2,19,879,0,0,2,98
86,0.086,0,2,19,879,0,0,2,98
87,0.087,0,2,19,879,0,0,2,98
88,0.088,0,2,19,879,0,0,2,98
89,0.089,0,2,19,879,0,0,2,98
90,0.09,0,2,19,879,0,0,2,98
91,0.091,0,2,19,879,0,0,2,98
92,0.092,0,2,19,879,0,0,2,98
93,0.093,0,2,19,879,0,0,2,98
94,0.094,0,1,19,880,0,0,2,98
95,0.095,0,1,19,880,0,0,2,98
96,0.096,0,1,19,880,0,0,2,98
97,0.097,0,1,19,880,0,0,2,98
98,0.098,0,1,19,880,0,0,2,98
99,0.099,0,1,19,880,0,0,2,98
100,0.1,0,1,19,880,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
