,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,881,0,0,2,98,0,0
25,0.025,19,876,0,5,2,97,0,1
26,0.026,12,613,7,268,2,71,0,27
27,0.027,8,423,11,458,2,50,0,48
28,0.028,7,320,12,561,2,34,0,64
29,0.029,6,268,13,613,2,31,0,67
30,0.03,6,232,13,649,2,26,0,72
31,0.031,5,209,14,672,2,23,0,75
32,0.032,5,187,14,694,2,22,0,76
33,0.033,5,167,14,714,2,18,0,80
34,0.034,5,152,14,729,2,17,0,81
35,0.035,3,121,16,760,2,15,0,83
36,0.036,3,111,16,770,1,12,1,86
37,0.037,3,108,16,773,1,9,1,89
38,0.038,3,100,16,781,1,8,1,90
39,0.039,1,93,18,788,1,7,1,91
40,0.04,1,76,18,805,1,6,1,92
41,0.041,1,67,18,814,1,6,1,92
42,0.042,1,59,18,822,1,5,1,93
43,0.043,1,59,18,822,1,5,1,93
44,0.044,1,54,18,827,1,5,1,93
45,0.045,1,49,18,832,1,5,1,93
46,0.046,1,42,18,839,1,5,1,93
47,0.047,1,39,18,842,1,5,1,93
48,0.048,1,38,18,843,0,4,2,94
49,0.049,1,29,18,852,0,4,2,94
50,0.05,0,27,19,854,0,3,2,95
51,0.051,0,26,19,855,0,3,2,95
52,0.052,0,24,19,857,0,2,2,96
53,0.053,0,24,19,857,0,2,2,96
54,0.054,0,19,19,862,0,2,2,96
55,0.055,0,19,19,862,0,1,2,97
56,0.056,0,19,19,862,0,1,2,97
57,0.057,0,19,19,862,0,1,2,97
58,0.058,0,15,19,866,0,0,2,98
59,0.059,0,14,19,867,0,0,2,98
60,0.06,0,12,19,869,0,0,2,98
61,0.061,0,12,19,869,0,0,2,98
62,0.062,0,12,19,869,0,0,2,98
63,0.063,0,12,19,869,0,0,2,98
64,0.064,0,12,19,869,0,0,2,98
65,0.065,0,10,19,871,0,0,2,98
66,0.066,0,8,19,873,0,0,2,98
67,0.067,0,5,19,876,0,0,2,98
68,0.068,0,5,19,876,0,0,2,98
69,0.069,0,5,19,876,0,0,2,98
70,0.07,0,5,19,876,0,0,2,98
71,0.071,0,5,19,876,0,0,2,98
72,0.072,0,5,19,876,0,0,2,98
73,0.073,0,4,19,877,0,0,2,98
74,0.074,0,4,19,877,0,0,2,98
75,0.075,0,4,19,877,0,0,2,98
76,0.076,0,4,19,877,0,0,2,98
77,0.077,0,3,19,878,0,0,2,98
78,0.078,0,3,19,878,0,0,2,98
79,0.079,0,2,19,879,0,0,2,98
80,0.08,0,2,19,879,0,0,2,98
81,0.081,0,2,19,879,0,0,2,98
82,0.082,0,2,19,879,0,0,2,98
83,0.083,0,1,19,880,0,0,2,98
84,0.084,0,1,19,880,0,0,2,98
85,0.085,0,1,19,880,0,0,2,98
86,0.086,0,1,19,880,0,0,2,98
87,0.087,0,1,19,880,0,0,2,98
88,0.088,0,1,19,880,0,0,2,98
89,0.089,0,1,19,880,0,0,2,98
90,0.09,0,1,19,880,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
