,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8763,0,49,21,977,0,2
8,0.008,184,8537,4,275,21,955,0,24
9,0.009,177,8293,11,519,20,928,1,51
10,0.01,163,7813,25,999,19,871,2,108
11,0.011,157,7398,31,1414,19,833,2,146
12,0.012,152,6997,36,1815,17,784,4,195
13,0.013,142,6476,46,2336,17,718,4,261
14,0.014,133,6050,55,2762,16,672,5,307
15,0.015,127,5600,61,3212,15,615,6,364
16,0.016,113,5059,75,3753,14,551,7,428
17,0.017,104,4571,84,4241,11,495,10,484
18,0.018,91,4014,97,4798,9,433,12,546
19,0.019,79,3509,109,5303,7,373,14,606
20,0.02,69,3274,119,5538,7,344,14,635
21,0.021,58,2873,130,5939,6,305,15,674
22,0.022,56,2631,132,6181,6,278,15,701
23,0.023,52,2430,136,6382,6,261,15,718
24,0.024,47,2136,141,6676,5,229,16,750
25,0.025,43,1859,145,6953,4,202,17,777
26,0.026,37,1688,151,7124,4,181,17,798
27,0.027,28,1410,160,7402,4,158,17,821
28,0.028,22,1251,166,7561,3,139,18,840
29,0.029,18,988,170,7824,2,111,19,868
30,0.03,15,804,173,8008,2,99,19,880
31,0.031,12,683,176,8129,2,85,19,894
32,0.032,12,634,176,8178,2,77,19,902
33,0.033,9,534,179,8278,0,66,21,913
34,0.034,7,386,181,8426,0,47,21,932
35,0.035,6,177,182,8635,0,23,21,956
36,0.036,4,97,184,8715,0,15,21,964
37,0.037,3,77,185,8735,0,13,21,966
38,0.038,3,71,185,8741,0,10,21,969
39,0.039,2,54,186,8758,0,9,21,970
40,0.04,1,27,187,8785,0,4,21,975
41,0.041,1,26,187,8786,0,4,21,975
42,0.042,0,0,188,8812,0,0,21,979
43,0.043,0,0,188,8812,0,0,21,979
44,0.044,0,0,188,8812,0,0,21,979
45,0.045,0,0,188,8812,0,0,21,979
46,0.046,0,0,188,8812,0,0,21,979
47,0.047,0,0,188,8812,0,0,21,979
48,0.048,0,0,188,8812,0,0,21,979
49,0.049,0,0,188,8812,0,0,21,979
50,0.05,0,0,188,8812,0,0,21,979
51,0.051,0,0,188,8812,0,0,21,979
52,0.052,0,0,188,8812,0,0,21,979
53,0.053,0,0,188,8812,0,0,21,979
54,0.054,0,0,188,8812,0,0,21,979
55,0.055,0,0,188,8812,0,0,21,979
56,0.056,0,0,188,8812,0,0,21,979
57,0.057,0,0,188,8812,0,0,21,979
58,0.058,0,0,188,8812,0,0,21,979
59,0.059,0,0,188,8812,0,0,21,979
60,0.06,0,0,188,8812,0,0,21,979
61,0.061,0,0,188,8812,0,0,21,979
62,0.062,0,0,188,8812,0,0,21,979
63,0.063,0,0,188,8812,0,0,21,979
64,0.064,0,0,188,8812,0,0,21,979
65,0.065,0,0,188,8812,0,0,21,979
66,0.066,0,0,188,8812,0,0,21,979
67,0.067,0,0,188,8812,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
