,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8812,0,0,21,979,0,0
8,0.008,188,8812,0,0,21,979,0,0
9,0.009,188,8812,0,0,21,979,0,0
10,0.01,188,8812,0,0,21,979,0,0
11,0.011,188,8812,0,0,21,979,0,0
12,0.012,188,8725,0,87,21,973,0,6
13,0.013,175,7955,13,857,19,891,2,88
14,0.014,143,6735,45,2077,14,742,7,237
15,0.015,115,5624,73,3188,12,621,9,358
16,0.016,96,4546,92,4266,10,485,11,494
17,0.017,82,3823,106,4989,9,408,12,571
18,0.018,71,3294,117,5518,7,350,14,629
19,0.019,70,2935,118,5877,7,318,14,661
20,0.02,65,2542,123,6270,6,283,15,696
21,0.021,58,2259,130,6553,6,256,15,723
22,0.022,54,2048,134,6764,4,222,17,757
23,0.023,43,1626,145,7186,4,187,17,792
24,0.024,38,1347,150,7465,4,154,17,825
25,0.025,36,1248,152,7564,4,148,17,831
26,0.026,34,1069,154,7743,3,128,18,851
27,0.027,30,1022,158,7790,3,120,18,859
28,0.028,24,800,164,8012,3,101,18,878
29,0.029,21,643,167,8169,1,83,20,896
30,0.03,19,555,169,8257,1,71,20,908
31,0.031,19,527,169,8285,1,67,20,912
32,0.032,19,520,169,8292,1,66,20,913
33,0.033,17,486,171,8326,1,62,20,917
34,0.034,14,431,174,8381,1,52,20,927
35,0.035,12,402,176,8410,1,45,20,934
36,0.036,11,313,177,8499,1,34,20,945
37,0.037,11,275,177,8537,1,29,20,950
38,0.038,11,261,177,8551,1,28,20,951
39,0.039,11,260,177,8552,1,28,20,951
40,0.04,11,220,177,8592,1,22,20,957
41,0.041,11,213,177,8599,0,22,21,957
42,0.042,9,157,179,8655,0,17,21,962
43,0.043,9,150,179,8662,0,17,21,962
44,0.044,8,145,180,8667,0,17,21,962
45,0.045,4,113,184,8699,0,12,21,967
46,0.046,3,64,185,8748,0,7,21,972
47,0.047,1,46,187,8766,0,7,21,972
48,0.048,0,18,188,8794,0,4,21,975
49,0.049,0,14,188,8798,0,4,21,975
50,0.05,0,10,188,8802,0,4,21,975
51,0.051,0,10,188,8802,0,4,21,975
52,0.052,0,6,188,8806,0,2,21,977
53,0.053,0,1,188,8811,0,2,21,977
54,0.054,0,0,188,8812,0,0,21,979
55,0.055,0,0,188,8812,0,0,21,979
56,0.056,0,0,188,8812,0,0,21,979
57,0.057,0,0,188,8812,0,0,21,979
58,0.058,0,0,188,8812,0,0,21,979
59,0.059,0,0,188,8812,0,0,21,979
60,0.06,0,0,188,8812,0,0,21,979
61,0.061,0,0,188,8812,0,0,21,979
62,0.062,0,0,188,8812,0,0,21,979
63,0.063,0,0,188,8812,0,0,21,979
64,0.064,0,0,188,8812,0,0,21,979
65,0.065,0,0,188,8812,0,0,21,979
66,0.066,0,0,188,8812,0,0,21,979
67,0.067,0,0,188,8812,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
