,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,17,848,2,33,2,96,0,2
22,0.022,15,781,4,100,2,89,0,9
23,0.023,15,733,4,148,2,80,0,18
24,0.024,15,697,4,184,2,77,0,21
25,0.025,12,656,7,225,2,73,0,25
26,0.026,11,625,8,256,2,71,0,27
27,0.027,11,593,8,288,2,66,0,32
28,0.028,8,560,11,321,2,62,0,36
29,0.029,8,523,11,358,1,56,1,42
30,0.03,7,503,12,378,0,54,2,44
31,0.031,7,489,12,392,0,50,2,48
32,0.032,7,468,12,413,0,47,2,51
33,0.033,7,453,12,428,0,44,2,54
34,0.034,6,439,13,442,0,44,2,54
35,0.035,6,427,13,454,0,42,2,56
36,0.036,5,412,14,469,0,41,2,57
37,0.037,5,396,14,485,0,38,2,60
38,0.038,4,366,15,515,0,37,2,61
39,0.039,4,348,15,533,0,34,2,64
40,0.04,4,328,15,553,0,32,2,66
41,0.041,4,301,15,580,0,31,2,67
42,0.042,4,277,15,604,0,29,2,69
43,0.043,4,251,15,630,0,28,2,70
44,0.044,4,224,15,657,0,25,2,73
45,0.045,3,202,16,679,0,24,2,74
46,0.046,3,186,16,695,0,22,2,76
47,0.047,2,168,17,713,0,20,2,78
48,0.048,2,143,17,738,0,16,2,82
49,0.049,2,127,17,754,0,13,2,85
50,0.05,1,113,18,768,0,11,2,87
51,0.051,1,105,18,776,0,10,2,88
52,0.052,0,99,19,782,0,9,2,89
53,0.053,0,92,19,789,0,9,2,89
54,0.054,0,84,19,797,0,7,2,91
55,0.055,0,68,19,813,0,6,2,92
56,0.056,0,63,19,818,0,5,2,93
57,0.057,0,55,19,826,0,4,2,94
58,0.058,0,50,19,831,0,4,2,94
59,0.059,0,42,19,839,0,4,2,94
60,0.06,0,38,19,843,0,4,2,94
61,0.061,0,33,19,848,0,4,2,94
62,0.062,0,30,19,851,0,4,2,94
63,0.063,0,25,19,856,0,3,2,95
64,0.064,0,22,19,859,0,3,2,95
65,0.065,0,22,19,859,0,3,2,95
66,0.066,0,20,19,861,0,2,2,96
67,0.067,0,19,19,862,0,2,2,96
68,0.068,0,18,19,863,0,2,2,96
69,0.069,0,13,19,868,0,2,2,96
70,0.07,0,12,19,869,0,2,2,96
71,0.071,0,10,19,871,0,2,2,96
72,0.072,0,10,19,871,0,2,2,96
73,0.073,0,10,19,871,0,2,2,96
74,0.074,0,9,19,872,0,2,2,96
75,0.075,0,9,19,872,0,2,2,96
76,0.076,0,8,19,873,0,1,2,97
77,0.077,0,8,19,873,0,1,2,97
78,0.078,0,7,19,874,0,1,2,97
79,0.079,0,6,19,875,0,0,2,98
80,0.08,0,5,19,876,0,0,2,98
81,0.081,0,4,19,877,0,0,2,98
82,0.082,0,3,19,878,0,0,2,98
83,0.083,0,2,19,879,0,0,2,98
84,0.084,0,2,19,879,0,0,2,98
85,0.085,0,2,19,879,0,0,2,98
86,0.086,0,2,19,879,0,0,2,98
87,0.087,0,2,19,879,0,0,2,98
88,0.088,0,2,19,879,0,0,2,98
89,0.089,0,1,19,880,0,0,2,98
90,0.09,0,1,19,880,0,0,2,98
91,0.091,0,1,19,880,0,0,2,98
92,0.092,0,1,19,880,0,0,2,98
93,0.093,0,1,19,880,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
