,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1762,0,0,4,196,0,0
5,0.005,38,1762,0,0,4,196,0,0
6,0.006,38,1762,0,0,4,196,0,0
7,0.007,38,1762,0,0,4,196,0,0
8,0.008,38,1762,0,0,4,196,0,0
9,0.009,38,1762,0,0,4,196,0,0
10,0.01,38,1762,0,0,4,196,0,0
11,0.011,37,1750,1,12,4,196,0,0
12,0.012,36,1710,2,52,4,189,0,7
13,0.013,36,1649,2,113,4,183,0,13
14,0.014,30,1495,8,267,3,165,1,31
15,0.015,28,1379,10,383,3,148,1,48
16,0.016,23,1205,15,557,3,124,1,72
17,0.017,19,1066,19,696,3,111,1,85
18,0.018,18,937,20,825,3,99,1,97
19,0.019,16,809,22,953,3,86,1,110
20,0.02,14,731,24,1031,3,80,1,116
21,0.021,13,647,25,1115,2,72,2,124
22,0.022,10,575,28,1187,2,65,2,131
23,0.023,10,538,28,1224,1,62,3,134
24,0.024,9,489,29,1273,1,56,3,140
25,0.025,9,454,29,1308,1,51,3,145
26,0.026,9,431,29,1331,1,47,3,149
27,0.027,9,406,29,1356,1,46,3,150
28,0.028,9,392,29,1370,1,45,3,151
29,0.029,9,358,29,1404,1,38,3,158
30,0.03,7,346,31,1416,1,37,3,159
31,0.031,4,306,34,1456,1,29,3,167
32,0.032,4,297,34,1465,1,27,3,169
33,0.033,4,281,34,1481,1,26,3,170
34,0.034,3,270,35,1492,1,23,3,173
35,0.035,3,253,35,1509,1,20,3,176
36,0.036,3,242,35,1520,1,20,3,176
37,0.037,3,222,35,1540,1,16,3,180
38,0.038,2,207,36,1555,1,14,3,182
39,0.039,2,206,36,1556,1,14,3,182
40,0.04,2,196,36,1566,1,13,3,183
41,0.041,2,183,36,1579,1,12,3,184
42,0.042,2,153,36,1609,1,10,3,186
43,0.043,2,137,36,1625,1,8,3,188
44,0.044,2,126,36,1636,1,5,3,191
45,0.045,2,104,36,1658,1,4,3,192
46,0.046,2,95,36,1667,1,4,3,192
47,0.047,2,87,36,1675,1,3,3,193
48,0.048,2,81,36,1681,1,3,3,193
49,0.049,1,66,37,1696,1,3,3,193
50,0.05,0,57,38,1705,1,3,3,193
51,0.051,0,55,38,1707,1,2,3,194
52,0.052,0,51,38,1711,1,2,3,194
53,0.053,0,45,38,1717,1,2,3,194
54,0.054,0,42,38,1720,1,2,3,194
55,0.055,0,42,38,1720,0,2,4,194
56,0.056,0,41,38,1721,0,2,4,194
57,0.057,0,31,38,1731,0,2,4,194
58,0.058,0,27,38,1735,0,2,4,194
59,0.059,0,22,38,1740,0,1,4,195
60,0.06,0,17,38,1745,0,1,4,195
61,0.061,0,15,38,1747,0,1,4,195
62,0.062,0,13,38,1749,0,1,4,195
63,0.063,0,9,38,1753,0,1,4,195
64,0.064,0,8,38,1754,0,1,4,195
65,0.065,0,3,38,1759,0,0,4,196
66,0.066,0,1,38,1761,0,0,4,196
67,0.067,0,0,38,1762,0,0,4,196
68,0.068,0,0,38,1762,0,0,4,196
69,0.069,0,0,38,1762,0,0,4,196
70,0.07,0,0,38,1762,0,0,4,196
71,0.071,0,0,38,1762,0,0,4,196
72,0.072,0,0,38,1762,0,0,4,196
73,0.073,0,0,38,1762,0,0,4,196
74,0.074,0,0,38,1762,0,0,4,196
75,0.075,0,0,38,1762,0,0,4,196
76,0.076,0,0,38,1762,0,0,4,196
77,0.077,0,0,38,1762,0,0,4,196
78,0.078,0,0,38,1762,0,0,4,196
79,0.079,0,0,38,1762,0,0,4,196
80,0.08,0,0,38,1762,0,0,4,196
81,0.081,0,0,38,1762,0,0,4,196
82,0.082,0,0,38,1762,0,0,4,196
83,0.083,0,0,38,1762,0,0,4,196
84,0.084,0,0,38,1762,0,0,4,196
85,0.085,0,0,38,1762,0,0,4,196
86,0.086,0,0,38,1762,0,0,4,196
87,0.087,0,0,38,1762,0,0,4,196
88,0.088,0,0,38,1762,0,0,4,196
89,0.089,0,0,38,1762,0,0,4,196
90,0.09,0,0,38,1762,0,0,4,196
91,0.091,0,0,38,1762,0,0,4,196
92,0.092,0,0,38,1762,0,0,4,196
93,0.093,0,0,38,1762,0,0,4,196
94,0.094,0,0,38,1762,0,0,4,196
95,0.095,0,0,38,1762,0,0,4,196
96,0.096,0,0,38,1762,0,0,4,196
97,0.097,0,0,38,1762,0,0,4,196
98,0.098,0,0,38,1762,0,0,4,196
99,0.099,0,0,38,1762,0,0,4,196
100,0.1,0,0,38,1762,0,0,4,196
101,0.2,0,0,38,1762,0,0,4,196
102,0.3,0,0,38,1762,0,0,4,196
103,0.4,0,0,38,1762,0,0,4,196
104,0.5,0,0,38,1762,0,0,4,196
