,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1762,0,0,4,196,0,0
5,0.005,38,1762,0,0,4,196,0,0
6,0.006,38,1762,0,0,4,196,0,0
7,0.007,38,1762,0,0,4,196,0,0
8,0.008,38,1762,0,0,4,196,0,0
9,0.009,38,1762,0,0,4,196,0,0
10,0.01,38,1762,0,0,4,196,0,0
11,0.011,38,1762,0,0,4,196,0,0
12,0.012,38,1762,0,0,4,196,0,0
13,0.013,38,1762,0,0,4,196,0,0
14,0.014,33,1456,5,306,4,170,0,26
15,0.015,27,1206,11,556,4,139,0,57
16,0.016,27,1175,11,587,4,134,0,62
17,0.017,25,970,13,792,3,115,1,81
18,0.018,20,879,18,883,3,106,1,90
19,0.019,20,866,18,896,3,104,1,92
20,0.02,16,776,22,986,2,92,2,104
21,0.021,12,612,26,1150,1,71,3,125
22,0.022,12,603,26,1159,1,71,3,125
23,0.023,11,597,27,1165,1,69,3,127
24,0.024,10,567,28,1195,1,64,3,132
25,0.025,7,465,31,1297,1,55,3,141
26,0.026,6,404,32,1358,1,46,3,150
27,0.027,6,404,32,1358,1,46,3,150
28,0.028,6,399,32,1363,1,46,3,150
29,0.029,6,394,32,1368,1,45,3,151
30,0.03,5,387,33,1375,1,43,3,153
31,0.031,4,282,34,1480,1,36,3,160
32,0.032,3,194,35,1568,1,23,3,173
33,0.033,3,191,35,1571,1,23,3,173
34,0.034,3,191,35,1571,1,23,3,173
35,0.035,3,187,35,1575,1,22,3,174
36,0.036,3,175,35,1587,1,22,3,174
37,0.037,3,172,35,1590,1,22,3,174
38,0.038,2,148,36,1614,1,20,3,176
39,0.039,1,87,37,1675,0,13,4,183
40,0.04,1,43,37,1719,0,5,4,191
41,0.041,0,21,38,1741,0,3,4,193
42,0.042,0,21,38,1741,0,3,4,193
43,0.043,0,20,38,1742,0,3,4,193
44,0.044,0,16,38,1746,0,3,4,193
45,0.045,0,14,38,1748,0,3,4,193
46,0.046,0,12,38,1750,0,1,4,195
47,0.047,0,12,38,1750,0,1,4,195
48,0.048,0,12,38,1750,0,1,4,195
49,0.049,0,12,38,1750,0,1,4,195
50,0.05,0,12,38,1750,0,1,4,195
51,0.051,0,12,38,1750,0,1,4,195
52,0.052,0,12,38,1750,0,1,4,195
53,0.053,0,12,38,1750,0,1,4,195
54,0.054,0,10,38,1752,0,1,4,195
55,0.055,0,9,38,1753,0,0,4,196
56,0.056,0,6,38,1756,0,0,4,196
57,0.057,0,0,38,1762,0,0,4,196
58,0.058,0,0,38,1762,0,0,4,196
59,0.059,0,0,38,1762,0,0,4,196
60,0.06,0,0,38,1762,0,0,4,196
61,0.061,0,0,38,1762,0,0,4,196
62,0.062,0,0,38,1762,0,0,4,196
63,0.063,0,0,38,1762,0,0,4,196
64,0.064,0,0,38,1762,0,0,4,196
65,0.065,0,0,38,1762,0,0,4,196
66,0.066,0,0,38,1762,0,0,4,196
67,0.067,0,0,38,1762,0,0,4,196
68,0.068,0,0,38,1762,0,0,4,196
69,0.069,0,0,38,1762,0,0,4,196
70,0.07,0,0,38,1762,0,0,4,196
71,0.071,0,0,38,1762,0,0,4,196
72,0.072,0,0,38,1762,0,0,4,196
73,0.073,0,0,38,1762,0,0,4,196
74,0.074,0,0,38,1762,0,0,4,196
75,0.075,0,0,38,1762,0,0,4,196
76,0.076,0,0,38,1762,0,0,4,196
77,0.077,0,0,38,1762,0,0,4,196
78,0.078,0,0,38,1762,0,0,4,196
79,0.079,0,0,38,1762,0,0,4,196
80,0.08,0,0,38,1762,0,0,4,196
81,0.081,0,0,38,1762,0,0,4,196
82,0.082,0,0,38,1762,0,0,4,196
83,0.083,0,0,38,1762,0,0,4,196
84,0.084,0,0,38,1762,0,0,4,196
85,0.085,0,0,38,1762,0,0,4,196
86,0.086,0,0,38,1762,0,0,4,196
87,0.087,0,0,38,1762,0,0,4,196
88,0.088,0,0,38,1762,0,0,4,196
89,0.089,0,0,38,1762,0,0,4,196
90,0.09,0,0,38,1762,0,0,4,196
91,0.091,0,0,38,1762,0,0,4,196
92,0.092,0,0,38,1762,0,0,4,196
93,0.093,0,0,38,1762,0,0,4,196
94,0.094,0,0,38,1762,0,0,4,196
95,0.095,0,0,38,1762,0,0,4,196
96,0.096,0,0,38,1762,0,0,4,196
97,0.097,0,0,38,1762,0,0,4,196
98,0.098,0,0,38,1762,0,0,4,196
99,0.099,0,0,38,1762,0,0,4,196
100,0.1,0,0,38,1762,0,0,4,196
101,0.2,0,0,38,1762,0,0,4,196
102,0.3,0,0,38,1762,0,0,4,196
103,0.4,0,0,38,1762,0,0,4,196
104,0.5,0,0,38,1762,0,0,4,196
