,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1762,0,0,4,196,0,0
5,0.005,38,1762,0,0,4,196,0,0
6,0.006,38,1762,0,0,4,196,0,0
7,0.007,38,1762,0,0,4,196,0,0
8,0.008,38,1762,0,0,4,196,0,0
9,0.009,38,1762,0,0,4,196,0,0
10,0.01,38,1762,0,0,4,196,0,0
11,0.011,38,1762,0,0,4,196,0,0
12,0.012,38,1762,0,0,4,196,0,0
13,0.013,38,1762,0,0,4,196,0,0
14,0.014,38,1762,0,0,4,196,0,0
15,0.015,38,1762,0,0,4,196,0,0
16,0.016,38,1762,0,0,4,196,0,0
17,0.017,38,1762,0,0,4,196,0,0
18,0.018,38,1762,0,0,4,196,0,0
19,0.019,38,1762,0,0,4,196,0,0
20,0.02,38,1758,0,4,4,196,0,0
21,0.021,37,1566,1,196,4,176,0,20
22,0.022,27,1137,11,625,4,142,0,54
23,0.023,19,794,19,968,3,104,1,92
24,0.024,13,498,25,1264,3,70,1,126
25,0.025,9,319,29,1443,2,41,2,155
26,0.026,6,207,32,1555,2,31,2,165
27,0.027,6,158,32,1604,0,28,4,168
28,0.028,3,96,35,1666,0,17,4,179
29,0.029,3,76,35,1686,0,14,4,182
30,0.03,3,70,35,1692,0,13,4,183
31,0.031,3,64,35,1698,0,13,4,183
32,0.032,2,57,36,1705,0,13,4,183
33,0.033,2,51,36,1711,0,11,4,185
34,0.034,1,38,37,1724,0,9,4,187
35,0.035,1,32,37,1730,0,7,4,189
36,0.036,1,31,37,1731,0,7,4,189
37,0.037,1,24,37,1738,0,7,4,189
38,0.038,1,23,37,1739,0,5,4,191
39,0.039,0,21,38,1741,0,5,4,191
40,0.04,0,21,38,1741,0,5,4,191
41,0.041,0,21,38,1741,0,5,4,191
42,0.042,0,21,38,1741,0,5,4,191
43,0.043,0,21,38,1741,0,5,4,191
44,0.044,0,21,38,1741,0,5,4,191
45,0.045,0,21,38,1741,0,5,4,191
46,0.046,0,21,38,1741,0,5,4,191
47,0.047,0,21,38,1741,0,5,4,191
48,0.048,0,21,38,1741,0,5,4,191
49,0.049,0,21,38,1741,0,5,4,191
50,0.05,0,21,38,1741,0,5,4,191
51,0.051,0,21,38,1741,0,5,4,191
52,0.052,0,21,38,1741,0,4,4,192
53,0.053,0,21,38,1741,0,4,4,192
54,0.054,0,21,38,1741,0,4,4,192
55,0.055,0,21,38,1741,0,4,4,192
56,0.056,0,21,38,1741,0,4,4,192
57,0.057,0,21,38,1741,0,4,4,192
58,0.058,0,21,38,1741,0,4,4,192
59,0.059,0,21,38,1741,0,4,4,192
60,0.06,0,21,38,1741,0,4,4,192
61,0.061,0,21,38,1741,0,4,4,192
62,0.062,0,21,38,1741,0,4,4,192
63,0.063,0,21,38,1741,0,4,4,192
64,0.064,0,19,38,1743,0,4,4,192
65,0.065,0,18,38,1744,0,4,4,192
66,0.066,0,18,38,1744,0,4,4,192
67,0.067,0,14,38,1748,0,4,4,192
68,0.068,0,14,38,1748,0,4,4,192
69,0.069,0,12,38,1750,0,4,4,192
70,0.07,0,12,38,1750,0,4,4,192
71,0.071,0,12,38,1750,0,4,4,192
72,0.072,0,12,38,1750,0,3,4,193
73,0.073,0,12,38,1750,0,3,4,193
74,0.074,0,11,38,1751,0,3,4,193
75,0.075,0,8,38,1754,0,2,4,194
76,0.076,0,8,38,1754,0,2,4,194
77,0.077,0,5,38,1757,0,1,4,195
78,0.078,0,5,38,1757,0,1,4,195
79,0.079,0,4,38,1758,0,1,4,195
80,0.08,0,4,38,1758,0,1,4,195
81,0.081,0,4,38,1758,0,1,4,195
82,0.082,0,2,38,1760,0,1,4,195
83,0.083,0,2,38,1760,0,0,4,196
84,0.084,0,1,38,1761,0,0,4,196
85,0.085,0,1,38,1761,0,0,4,196
86,0.086,0,1,38,1761,0,0,4,196
87,0.087,0,1,38,1761,0,0,4,196
88,0.088,0,1,38,1761,0,0,4,196
89,0.089,0,1,38,1761,0,0,4,196
90,0.09,0,1,38,1761,0,0,4,196
91,0.091,0,1,38,1761,0,0,4,196
92,0.092,0,1,38,1761,0,0,4,196
93,0.093,0,1,38,1761,0,0,4,196
94,0.094,0,1,38,1761,0,0,4,196
95,0.095,0,1,38,1761,0,0,4,196
96,0.096,0,1,38,1761,0,0,4,196
97,0.097,0,1,38,1761,0,0,4,196
98,0.098,0,1,38,1761,0,0,4,196
99,0.099,0,1,38,1761,0,0,4,196
100,0.1,0,1,38,1761,0,0,4,196
101,0.2,0,0,38,1762,0,0,4,196
102,0.3,0,0,38,1762,0,0,4,196
103,0.4,0,0,38,1762,0,0,4,196
104,0.5,0,0,38,1762,0,0,4,196
