,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3524,0,0,8,392,0,0
11,0.011,76,3524,0,0,8,392,0,0
12,0.012,72,3462,4,62,8,389,0,3
13,0.013,70,3361,6,163,8,381,0,11
14,0.014,64,3091,12,433,8,348,0,44
15,0.015,59,2772,17,752,8,311,0,81
16,0.016,54,2526,22,998,7,281,1,111
17,0.017,52,2338,24,1186,7,263,1,129
18,0.018,47,2201,29,1323,7,244,1,148
19,0.019,42,1943,34,1581,5,218,3,174
20,0.02,37,1758,39,1766,5,203,3,189
21,0.021,32,1554,44,1970,5,178,3,214
22,0.022,32,1400,44,2124,4,165,4,227
23,0.023,32,1327,44,2197,4,149,4,243
24,0.024,28,1198,48,2326,4,142,4,250
25,0.025,25,1103,51,2421,4,140,4,252
26,0.026,21,1022,55,2502,4,135,4,257
27,0.027,20,924,56,2600,4,122,4,270
28,0.028,13,758,63,2766,1,101,7,291
29,0.029,12,690,64,2834,1,92,7,300
30,0.03,11,599,65,2925,0,76,8,316
31,0.031,9,505,67,3019,0,63,8,329
32,0.032,8,452,68,3072,0,59,8,333
33,0.033,7,401,69,3123,0,57,8,335
34,0.034,5,362,71,3162,0,55,8,337
35,0.035,3,297,73,3227,0,43,8,349
36,0.036,3,248,73,3276,0,36,8,356
37,0.037,2,192,74,3332,0,23,8,369
38,0.038,0,146,76,3378,0,17,8,375
39,0.039,0,139,76,3385,0,13,8,379
40,0.04,0,119,76,3405,0,12,8,380
41,0.041,0,108,76,3416,0,8,8,384
42,0.042,0,89,76,3435,0,8,8,384
43,0.043,0,82,76,3442,0,8,8,384
44,0.044,0,78,76,3446,0,8,8,384
45,0.045,0,68,76,3456,0,8,8,384
46,0.046,0,61,76,3463,0,7,8,385
47,0.047,0,59,76,3465,0,7,8,385
48,0.048,0,48,76,3476,0,3,8,389
49,0.049,0,43,76,3481,0,2,8,390
50,0.05,0,43,76,3481,0,2,8,390
51,0.051,0,43,76,3481,0,2,8,390
52,0.052,0,43,76,3481,0,2,8,390
53,0.053,0,43,76,3481,0,2,8,390
54,0.054,0,43,76,3481,0,2,8,390
55,0.055,0,42,76,3482,0,2,8,390
56,0.056,0,41,76,3483,0,2,8,390
57,0.057,0,40,76,3484,0,2,8,390
58,0.058,0,28,76,3496,0,1,8,391
59,0.059,0,23,76,3501,0,1,8,391
60,0.06,0,23,76,3501,0,1,8,391
61,0.061,0,23,76,3501,0,1,8,391
62,0.062,0,22,76,3502,0,1,8,391
63,0.063,0,7,76,3517,0,1,8,391
64,0.064,0,5,76,3519,0,1,8,391
65,0.065,0,5,76,3519,0,1,8,391
66,0.066,0,5,76,3519,0,1,8,391
67,0.067,0,4,76,3520,0,1,8,391
68,0.068,0,3,76,3521,0,1,8,391
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
