,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3524,0,0,8,392,0,0
11,0.011,76,3524,0,0,8,392,0,0
12,0.012,76,3524,0,0,8,392,0,0
13,0.013,75,3524,1,0,8,392,0,0
14,0.014,71,3386,5,138,6,380,2,12
15,0.015,57,2912,19,612,6,329,2,63
16,0.016,49,2643,27,881,3,300,5,92
17,0.017,43,2436,33,1088,3,276,5,116
18,0.018,42,2345,34,1179,2,264,6,128
19,0.019,41,2217,35,1307,2,249,6,143
20,0.02,39,2044,37,1480,2,232,6,160
21,0.021,34,1855,42,1669,2,214,6,178
22,0.022,34,1744,42,1780,2,202,6,190
23,0.023,32,1549,44,1975,2,180,6,212
24,0.024,30,1243,46,2281,2,145,6,247
25,0.025,22,960,54,2564,1,112,7,280
26,0.026,16,779,60,2745,1,94,7,298
27,0.027,16,687,60,2837,1,85,7,307
28,0.028,16,637,60,2887,1,80,7,312
29,0.029,15,570,61,2954,1,72,7,320
30,0.03,14,547,62,2977,1,71,7,321
31,0.031,13,510,63,3014,1,65,7,327
32,0.032,13,493,63,3031,1,62,7,330
33,0.033,13,458,63,3066,1,54,7,338
34,0.034,13,422,63,3102,1,50,7,342
35,0.035,11,365,65,3159,1,41,7,351
36,0.036,11,349,65,3175,0,40,8,352
37,0.037,11,339,65,3185,0,39,8,353
38,0.038,9,298,67,3226,0,35,8,357
39,0.039,9,265,67,3259,0,32,8,360
40,0.04,9,250,67,3274,0,29,8,363
41,0.041,8,237,68,3287,0,28,8,364
42,0.042,8,227,68,3297,0,27,8,365
43,0.043,7,192,69,3332,0,19,8,373
44,0.044,5,161,71,3363,0,15,8,377
45,0.045,4,150,72,3374,0,14,8,378
46,0.046,4,141,72,3383,0,13,8,379
47,0.047,4,135,72,3389,0,12,8,380
48,0.048,3,131,73,3393,0,11,8,381
49,0.049,3,97,73,3427,0,5,8,387
50,0.05,3,81,73,3443,0,5,8,387
51,0.051,2,52,74,3472,0,3,8,389
52,0.052,2,45,74,3479,0,2,8,390
53,0.053,2,45,74,3479,0,2,8,390
54,0.054,2,16,74,3508,0,0,8,392
55,0.055,2,8,74,3516,0,0,8,392
56,0.056,1,6,75,3518,0,0,8,392
57,0.057,1,5,75,3519,0,0,8,392
58,0.058,1,5,75,3519,0,0,8,392
59,0.059,1,5,75,3519,0,0,8,392
60,0.06,1,5,75,3519,0,0,8,392
61,0.061,1,5,75,3519,0,0,8,392
62,0.062,1,5,75,3519,0,0,8,392
63,0.063,1,5,75,3519,0,0,8,392
64,0.064,1,5,75,3519,0,0,8,392
65,0.065,1,5,75,3519,0,0,8,392
66,0.066,1,5,75,3519,0,0,8,392
67,0.067,1,5,75,3519,0,0,8,392
68,0.068,1,4,75,3520,0,0,8,392
69,0.069,1,4,75,3520,0,0,8,392
70,0.07,1,3,75,3521,0,0,8,392
71,0.071,1,3,75,3521,0,0,8,392
72,0.072,1,2,75,3522,0,0,8,392
73,0.073,0,2,76,3522,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
