,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3524,0,0,8,392,0,0
11,0.011,76,3524,0,0,8,392,0,0
12,0.012,76,3524,0,0,8,392,0,0
13,0.013,76,3486,0,38,8,391,0,1
14,0.014,73,3281,3,243,8,370,0,22
15,0.015,65,3093,11,431,8,353,0,39
16,0.016,59,2811,17,713,8,321,0,71
17,0.017,46,2458,30,1066,8,281,0,111
18,0.018,39,2099,37,1425,8,231,0,161
19,0.019,34,1796,42,1728,8,193,0,199
20,0.02,24,1547,52,1977,6,159,2,233
21,0.021,18,1250,58,2274,5,132,3,260
22,0.022,16,1035,60,2489,5,102,3,290
23,0.023,14,832,62,2692,5,72,3,320
24,0.024,13,695,63,2829,5,61,3,331
25,0.025,12,560,64,2964,3,50,5,342
26,0.026,11,469,65,3055,3,39,5,353
27,0.027,7,382,69,3142,3,34,5,358
28,0.028,6,315,70,3209,3,28,5,364
29,0.029,4,246,72,3278,2,23,6,369
30,0.03,3,157,73,3367,1,15,7,377
31,0.031,2,119,74,3405,1,12,7,380
32,0.032,2,87,74,3437,1,11,7,381
33,0.033,2,69,74,3455,1,8,7,384
34,0.034,2,45,74,3479,1,7,7,385
35,0.035,2,38,74,3486,1,5,7,387
36,0.036,2,29,74,3495,1,4,7,388
37,0.037,1,27,75,3497,1,4,7,388
38,0.038,1,25,75,3499,0,4,8,388
39,0.039,1,20,75,3504,0,3,8,389
40,0.04,0,14,76,3510,0,1,8,391
41,0.041,0,10,76,3514,0,1,8,391
42,0.042,0,10,76,3514,0,1,8,391
43,0.043,0,5,76,3519,0,0,8,392
44,0.044,0,3,76,3521,0,0,8,392
45,0.045,0,3,76,3521,0,0,8,392
46,0.046,0,2,76,3522,0,0,8,392
47,0.047,0,1,76,3523,0,0,8,392
48,0.048,0,1,76,3523,0,0,8,392
49,0.049,0,0,76,3524,0,0,8,392
50,0.05,0,0,76,3524,0,0,8,392
51,0.051,0,0,76,3524,0,0,8,392
52,0.052,0,0,76,3524,0,0,8,392
53,0.053,0,0,76,3524,0,0,8,392
54,0.054,0,0,76,3524,0,0,8,392
55,0.055,0,0,76,3524,0,0,8,392
56,0.056,0,0,76,3524,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
