,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3520,0,4,8,392,0,0
10,0.01,76,3506,0,18,7,392,1,0
11,0.011,76,3492,0,32,7,392,1,0
12,0.012,76,3476,0,48,7,387,1,5
13,0.013,74,3442,2,82,7,382,1,10
14,0.014,68,3230,8,294,7,356,1,36
15,0.015,59,2871,17,653,7,317,1,75
16,0.016,54,2519,22,1005,7,278,1,114
17,0.017,52,2337,24,1187,7,260,1,132
18,0.018,51,2132,25,1392,7,230,1,162
19,0.019,47,1992,29,1532,6,209,2,183
20,0.02,39,1754,37,1770,6,188,2,204
21,0.021,36,1622,40,1902,5,173,3,219
22,0.022,34,1425,42,2099,5,151,3,241
23,0.023,28,1172,48,2352,5,128,3,264
24,0.024,19,934,57,2590,5,105,3,287
25,0.025,15,699,61,2825,5,76,3,316
26,0.026,8,482,68,3042,5,49,3,343
27,0.027,6,319,70,3205,5,32,3,360
28,0.028,2,159,74,3365,5,14,3,378
29,0.029,1,100,75,3424,5,7,3,385
30,0.03,0,75,76,3449,3,5,5,387
31,0.031,0,56,76,3468,3,4,5,388
32,0.032,0,46,76,3478,3,2,5,390
33,0.033,0,38,76,3486,3,1,5,391
34,0.034,0,31,76,3493,2,1,6,391
35,0.035,0,28,76,3496,2,1,6,391
36,0.036,0,25,76,3499,2,0,6,392
37,0.037,0,22,76,3502,2,0,6,392
38,0.038,0,21,76,3503,1,0,7,392
39,0.039,0,18,76,3506,1,0,7,392
40,0.04,0,17,76,3507,0,0,8,392
41,0.041,0,13,76,3511,0,0,8,392
42,0.042,0,11,76,3513,0,0,8,392
43,0.043,0,9,76,3515,0,0,8,392
44,0.044,0,7,76,3517,0,0,8,392
45,0.045,0,4,76,3520,0,0,8,392
46,0.046,0,3,76,3521,0,0,8,392
47,0.047,0,1,76,3523,0,0,8,392
48,0.048,0,1,76,3523,0,0,8,392
49,0.049,0,0,76,3524,0,0,8,392
50,0.05,0,0,76,3524,0,0,8,392
51,0.051,0,0,76,3524,0,0,8,392
52,0.052,0,0,76,3524,0,0,8,392
53,0.053,0,0,76,3524,0,0,8,392
54,0.054,0,0,76,3524,0,0,8,392
55,0.055,0,0,76,3524,0,0,8,392
56,0.056,0,0,76,3524,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
