,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5287,0,0,12,588,0,0
12,0.012,113,5287,0,0,12,588,0,0
13,0.013,113,5287,0,0,12,588,0,0
14,0.014,113,5287,0,0,12,588,0,0
15,0.015,113,5287,0,0,12,588,0,0
16,0.016,110,5156,3,131,12,579,0,9
17,0.017,96,4655,17,632,12,525,0,63
18,0.018,87,4205,26,1082,11,471,1,117
19,0.019,79,3928,34,1359,11,435,1,153
20,0.02,76,3668,37,1619,11,400,1,188
21,0.021,72,3492,41,1795,11,382,1,206
22,0.022,67,3301,46,1986,11,362,1,226
23,0.023,64,3112,49,2175,11,341,1,247
24,0.024,61,2929,52,2358,8,311,4,277
25,0.025,56,2796,57,2491,8,296,4,292
26,0.026,51,2658,62,2629,8,288,4,300
27,0.027,51,2536,62,2751,7,267,5,321
28,0.028,51,2470,62,2817,6,263,6,325
29,0.029,46,2332,67,2955,6,248,6,340
30,0.03,43,2228,70,3059,6,238,6,350
31,0.031,43,2151,70,3136,6,224,6,364
32,0.032,41,2007,72,3280,6,205,6,383
33,0.033,38,1914,75,3373,6,199,6,389
34,0.034,36,1793,77,3494,6,189,6,399
35,0.035,35,1738,78,3549,6,184,6,404
36,0.036,34,1612,79,3675,5,173,7,415
37,0.037,33,1497,80,3790,4,155,8,433
38,0.038,30,1402,83,3885,3,145,9,443
39,0.039,29,1283,84,4004,3,139,9,449
40,0.04,26,1175,87,4112,3,127,9,461
41,0.041,24,1020,89,4267,2,112,10,476
42,0.042,21,973,92,4314,1,101,11,487
43,0.043,21,907,92,4380,1,95,11,493
44,0.044,20,788,93,4499,1,85,11,503
45,0.045,18,712,95,4575,1,81,11,507
46,0.046,17,685,96,4602,1,76,11,512
47,0.047,16,637,97,4650,1,69,11,519
48,0.048,16,604,97,4683,1,68,11,520
49,0.049,14,556,99,4731,1,62,11,526
50,0.05,14,514,99,4773,0,60,12,528
51,0.051,9,403,104,4884,0,53,12,535
52,0.052,9,383,104,4904,0,49,12,539
53,0.053,9,370,104,4917,0,44,12,544
54,0.054,9,355,104,4932,0,42,12,546
55,0.055,9,344,104,4943,0,41,12,547
56,0.056,6,275,107,5012,0,39,12,549
57,0.057,5,265,108,5022,0,38,12,550
58,0.058,5,250,108,5037,0,35,12,553
59,0.059,5,212,108,5075,0,24,12,564
60,0.06,4,186,109,5101,0,24,12,564
61,0.061,3,155,110,5132,0,21,12,567
62,0.062,1,147,112,5140,0,21,12,567
63,0.063,1,80,112,5207,0,13,12,575
64,0.064,1,54,112,5233,0,12,12,576
65,0.065,0,31,113,5256,0,7,12,581
66,0.066,0,5,113,5282,0,3,12,585
67,0.067,0,1,113,5286,0,2,12,586
68,0.068,0,0,113,5287,0,2,12,586
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
