,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5282,0,5,12,587,0,1
12,0.012,113,5278,0,9,12,585,0,3
13,0.013,113,5263,0,24,12,585,0,3
14,0.014,110,5073,3,214,12,560,0,28
15,0.015,97,4487,16,800,10,490,2,98
16,0.016,95,4196,18,1091,10,454,2,134
17,0.017,88,3810,25,1477,10,416,2,172
18,0.018,73,3217,40,2070,8,356,4,232
19,0.019,56,2688,57,2599,7,286,5,302
20,0.02,54,2488,59,2799,6,265,6,323
21,0.021,45,2285,68,3002,4,242,8,346
22,0.022,39,2057,74,3230,4,218,8,370
23,0.023,35,1938,78,3349,4,213,8,375
24,0.024,32,1753,81,3534,4,183,8,405
25,0.025,31,1675,82,3612,4,175,8,413
26,0.026,27,1511,86,3776,3,159,9,429
27,0.027,26,1391,87,3896,3,148,9,440
28,0.028,24,1360,89,3927,3,144,9,444
29,0.029,24,1307,89,3980,3,141,9,447
30,0.03,22,1238,91,4049,2,137,10,451
31,0.031,20,1108,93,4179,2,123,10,465
32,0.032,19,1075,94,4212,2,117,10,471
33,0.033,18,999,95,4288,2,106,10,482
34,0.034,17,966,96,4321,2,103,10,485
35,0.035,15,827,98,4460,2,87,10,501
36,0.036,14,782,99,4505,2,82,10,506
37,0.037,12,721,101,4566,2,77,10,511
38,0.038,12,706,101,4581,2,75,10,513
39,0.039,11,621,102,4666,2,66,10,522
40,0.04,10,584,103,4703,2,60,10,528
41,0.041,10,537,103,4750,2,51,10,537
42,0.042,8,429,105,4858,2,44,10,544
43,0.043,6,325,107,4962,2,35,10,553
44,0.044,3,206,110,5081,2,22,10,566
45,0.045,2,140,111,5147,1,16,11,572
46,0.046,1,82,112,5205,0,12,12,576
47,0.047,0,0,113,5287,0,0,12,588
48,0.048,0,0,113,5287,0,0,12,588
49,0.049,0,0,113,5287,0,0,12,588
50,0.05,0,0,113,5287,0,0,12,588
51,0.051,0,0,113,5287,0,0,12,588
52,0.052,0,0,113,5287,0,0,12,588
53,0.053,0,0,113,5287,0,0,12,588
54,0.054,0,0,113,5287,0,0,12,588
55,0.055,0,0,113,5287,0,0,12,588
56,0.056,0,0,113,5287,0,0,12,588
57,0.057,0,0,113,5287,0,0,12,588
58,0.058,0,0,113,5287,0,0,12,588
59,0.059,0,0,113,5287,0,0,12,588
60,0.06,0,0,113,5287,0,0,12,588
61,0.061,0,0,113,5287,0,0,12,588
62,0.062,0,0,113,5287,0,0,12,588
63,0.063,0,0,113,5287,0,0,12,588
64,0.064,0,0,113,5287,0,0,12,588
65,0.065,0,0,113,5287,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
