,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5286,0,1,12,588,0,0
9,0.009,113,5285,0,2,12,588,0,0
10,0.01,113,5279,0,8,12,588,0,0
11,0.011,106,4990,7,297,12,555,0,33
12,0.012,101,4773,12,514,12,528,0,60
13,0.013,99,4572,14,715,11,508,1,80
14,0.014,97,4455,16,832,10,495,2,93
15,0.015,94,4244,19,1043,10,478,2,110
16,0.016,90,4047,23,1240,10,452,2,136
17,0.017,90,3861,23,1426,8,423,4,165
18,0.018,86,3614,27,1673,7,410,5,178
19,0.019,70,3164,43,2123,6,366,6,222
20,0.02,53,2574,60,2713,5,302,7,286
21,0.021,45,1946,68,3341,5,229,7,359
22,0.022,36,1578,77,3709,4,196,8,392
23,0.023,28,1236,85,4051,3,151,9,437
24,0.024,27,1105,86,4182,1,140,11,448
25,0.025,22,969,91,4318,0,122,12,466
26,0.026,18,852,95,4435,0,111,12,477
27,0.027,16,739,97,4548,0,95,12,493
28,0.028,15,633,98,4654,0,80,12,508
29,0.029,14,573,99,4714,0,74,12,514
30,0.03,14,549,99,4738,0,69,12,519
31,0.031,11,488,102,4799,0,51,12,537
32,0.032,10,442,103,4845,0,47,12,541
33,0.033,8,339,105,4948,0,38,12,550
34,0.034,8,289,105,4998,0,36,12,552
35,0.035,4,236,109,5051,0,29,12,559
36,0.036,4,198,109,5089,0,20,12,568
37,0.037,4,146,109,5141,0,15,12,573
38,0.038,4,92,109,5195,0,8,12,580
39,0.039,3,67,110,5220,0,6,12,582
40,0.04,1,43,112,5244,0,4,12,584
41,0.041,1,12,112,5275,0,1,12,587
42,0.042,0,7,113,5280,0,1,12,587
43,0.043,0,4,113,5283,0,0,12,588
44,0.044,0,3,113,5284,0,0,12,588
45,0.045,0,3,113,5284,0,0,12,588
46,0.046,0,1,113,5286,0,0,12,588
47,0.047,0,1,113,5286,0,0,12,588
48,0.048,0,1,113,5286,0,0,12,588
49,0.049,0,1,113,5286,0,0,12,588
50,0.05,0,0,113,5287,0,0,12,588
51,0.051,0,0,113,5287,0,0,12,588
52,0.052,0,0,113,5287,0,0,12,588
53,0.053,0,0,113,5287,0,0,12,588
54,0.054,0,0,113,5287,0,0,12,588
55,0.055,0,0,113,5287,0,0,12,588
56,0.056,0,0,113,5287,0,0,12,588
57,0.057,0,0,113,5287,0,0,12,588
58,0.058,0,0,113,5287,0,0,12,588
59,0.059,0,0,113,5287,0,0,12,588
60,0.06,0,0,113,5287,0,0,12,588
61,0.061,0,0,113,5287,0,0,12,588
62,0.062,0,0,113,5287,0,0,12,588
63,0.063,0,0,113,5287,0,0,12,588
64,0.064,0,0,113,5287,0,0,12,588
65,0.065,0,0,113,5287,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
