,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,880,0,1,2,98,0,0
23,0.023,19,879,0,2,2,98,0,0
24,0.024,19,870,0,11,2,96,0,2
25,0.025,19,865,0,16,2,94,0,4
26,0.026,19,853,0,28,2,92,0,6
27,0.027,19,830,0,51,2,91,0,7
28,0.028,19,807,0,74,2,89,0,9
29,0.029,19,790,0,91,2,84,0,14
30,0.03,18,763,1,118,2,79,0,19
31,0.031,18,730,1,151,2,74,0,24
32,0.032,18,707,1,174,2,72,0,26
33,0.033,17,684,2,197,2,70,0,28
34,0.034,17,649,2,232,2,65,0,33
35,0.035,16,607,3,274,2,59,0,39
36,0.036,15,568,4,313,2,53,0,45
37,0.037,15,529,4,352,2,50,0,48
38,0.038,15,504,4,377,1,48,1,50
39,0.039,15,478,4,403,1,45,1,53
40,0.04,12,454,7,427,1,44,1,54
41,0.041,10,426,9,455,1,40,1,58
42,0.042,9,398,10,483,1,36,1,62
43,0.043,8,373,11,508,1,34,1,64
44,0.044,8,345,11,536,1,30,1,68
45,0.045,8,316,11,565,1,23,1,75
46,0.046,7,291,12,590,1,21,1,77
47,0.047,6,275,13,606,1,20,1,78
48,0.048,6,258,13,623,1,19,1,79
49,0.049,6,238,13,643,1,19,1,79
50,0.05,5,225,14,656,1,17,1,81
51,0.051,4,206,15,675,1,16,1,82
52,0.052,3,191,16,690,1,16,1,82
53,0.053,3,176,16,705,1,15,1,83
54,0.054,3,165,16,716,1,15,1,83
55,0.055,3,156,16,725,1,13,1,85
56,0.056,3,146,16,735,1,13,1,85
57,0.057,3,136,16,745,0,13,2,85
58,0.058,3,125,16,756,0,13,2,85
59,0.059,3,117,16,764,0,13,2,85
60,0.06,2,111,17,770,0,13,2,85
61,0.061,2,106,17,775,0,13,2,85
62,0.062,2,103,17,778,0,12,2,86
63,0.063,2,96,17,785,0,11,2,87
64,0.064,2,92,17,789,0,11,2,87
65,0.065,2,88,17,793,0,11,2,87
66,0.066,2,80,17,801,0,11,2,87
67,0.067,2,73,17,808,0,10,2,88
68,0.068,1,66,18,815,0,9,2,89
69,0.069,1,64,18,817,0,9,2,89
70,0.07,1,58,18,823,0,8,2,90
71,0.071,1,51,18,830,0,7,2,91
72,0.072,1,46,18,835,0,7,2,91
73,0.073,1,42,18,839,0,6,2,92
74,0.074,1,38,18,843,0,5,2,93
75,0.075,1,37,18,844,0,5,2,93
76,0.076,1,34,18,847,0,5,2,93
77,0.077,1,31,18,850,0,5,2,93
78,0.078,0,28,19,853,0,5,2,93
79,0.079,0,24,19,857,0,4,2,94
80,0.08,0,21,19,860,0,3,2,95
81,0.081,0,16,19,865,0,3,2,95
82,0.082,0,14,19,867,0,3,2,95
83,0.083,0,12,19,869,0,3,2,95
84,0.084,0,9,19,872,0,3,2,95
85,0.085,0,7,19,874,0,3,2,95
86,0.086,0,5,19,876,0,3,2,95
87,0.087,0,4,19,877,0,3,2,95
88,0.088,0,2,19,879,0,2,2,96
89,0.089,0,2,19,879,0,2,2,96
90,0.09,0,1,19,880,0,1,2,97
91,0.091,0,1,19,880,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
