,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,880,0,1,2,98,0,0
23,0.023,19,878,0,3,2,98,0,0
24,0.024,18,865,1,16,2,96,0,2
25,0.025,18,853,1,28,1,92,1,6
26,0.026,17,829,2,52,1,90,1,8
27,0.027,16,808,3,73,1,87,1,11
28,0.028,15,780,4,101,1,82,1,16
29,0.029,13,760,6,121,1,79,1,19
30,0.03,12,720,7,161,1,72,1,26
31,0.031,12,687,7,194,1,69,1,29
32,0.032,11,654,8,227,1,67,1,31
33,0.033,9,610,10,271,1,62,1,36
34,0.034,9,574,10,307,1,57,1,41
35,0.035,9,531,10,350,1,53,1,45
36,0.036,5,506,14,375,1,48,1,50
37,0.037,5,475,14,406,0,41,2,57
38,0.038,5,439,14,442,0,36,2,62
39,0.039,5,401,14,480,0,33,2,65
40,0.04,4,370,15,511,0,31,2,67
41,0.041,4,354,15,527,0,29,2,69
42,0.042,3,327,16,554,0,28,2,70
43,0.043,3,307,16,574,0,24,2,74
44,0.044,2,289,17,592,0,23,2,75
45,0.045,2,279,17,602,0,21,2,77
46,0.046,2,257,17,624,0,18,2,80
47,0.047,2,242,17,639,0,18,2,80
48,0.048,1,206,18,675,0,16,2,82
49,0.049,1,191,18,690,0,16,2,82
50,0.05,1,173,18,708,0,15,2,83
51,0.051,1,160,18,721,0,14,2,84
52,0.052,1,150,18,731,0,12,2,86
53,0.053,1,139,18,742,0,11,2,87
54,0.054,1,132,18,749,0,8,2,90
55,0.055,1,115,18,766,0,7,2,91
56,0.056,1,109,18,772,0,6,2,92
57,0.057,1,99,18,782,0,6,2,92
58,0.058,1,91,18,790,0,6,2,92
59,0.059,1,84,18,797,0,4,2,94
60,0.06,1,77,18,804,0,4,2,94
61,0.061,1,68,18,813,0,3,2,95
62,0.062,1,63,18,818,0,3,2,95
63,0.063,0,56,19,825,0,2,2,96
64,0.064,0,49,19,832,0,2,2,96
65,0.065,0,39,19,842,0,2,2,96
66,0.066,0,36,19,845,0,1,2,97
67,0.067,0,31,19,850,0,1,2,97
68,0.068,0,25,19,856,0,1,2,97
69,0.069,0,18,19,863,0,1,2,97
70,0.07,0,17,19,864,0,0,2,98
71,0.071,0,13,19,868,0,0,2,98
72,0.072,0,10,19,871,0,0,2,98
73,0.073,0,8,19,873,0,0,2,98
74,0.074,0,8,19,873,0,0,2,98
75,0.075,0,6,19,875,0,0,2,98
76,0.076,0,5,19,876,0,0,2,98
77,0.077,0,5,19,876,0,0,2,98
78,0.078,0,5,19,876,0,0,2,98
79,0.079,0,2,19,879,0,0,2,98
80,0.08,0,1,19,880,0,0,2,98
81,0.081,0,1,19,880,0,0,2,98
82,0.082,0,1,19,880,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
