,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,376,17624,0,0,42,1958,0,0
12,0.012,376,17624,0,0,42,1958,0,0
13,0.013,375,17439,1,185,41,1950,1,8
14,0.014,368,16983,8,641,40,1892,2,66
15,0.015,352,16459,24,1165,40,1842,2,116
16,0.016,330,15325,46,2299,39,1721,3,237
17,0.017,327,14969,49,2655,34,1685,8,273
18,0.018,301,14010,75,3614,31,1555,11,403
19,0.019,285,13195,91,4429,29,1458,13,500
20,0.02,267,12327,109,5297,25,1375,17,583
21,0.021,245,11165,131,6459,25,1238,17,720
22,0.022,211,9349,165,8275,20,1020,22,938
23,0.023,192,8219,184,9405,19,869,23,1089
24,0.024,162,7205,214,10419,13,758,29,1200
25,0.025,145,6417,231,11207,13,677,29,1281
26,0.026,127,5616,249,12008,12,591,30,1367
27,0.027,108,4904,268,12720,10,518,32,1440
28,0.028,93,4231,283,13393,10,455,32,1503
29,0.029,89,3827,287,13797,8,403,34,1555
30,0.03,67,2908,309,14716,7,299,35,1659
31,0.031,43,2192,333,15432,5,232,37,1726
32,0.032,28,1412,348,16212,4,150,38,1808
33,0.033,14,912,362,16712,1,93,41,1865
34,0.034,6,496,370,17128,1,51,41,1907
35,0.035,6,476,370,17148,1,49,41,1909
36,0.036,6,311,370,17313,1,30,41,1928
37,0.037,6,250,370,17374,1,22,41,1936
38,0.038,3,104,373,17520,0,8,42,1950
39,0.039,1,37,375,17587,0,4,42,1954
40,0.04,1,37,375,17587,0,4,42,1954
41,0.041,0,26,376,17598,0,3,42,1955
42,0.042,0,25,376,17599,0,3,42,1955
43,0.043,0,19,376,17605,0,3,42,1955
44,0.044,0,17,376,17607,0,2,42,1956
45,0.045,0,17,376,17607,0,2,42,1956
46,0.046,0,16,376,17608,0,2,42,1956
47,0.047,0,9,376,17615,0,2,42,1956
48,0.048,0,9,376,17615,0,1,42,1957
49,0.049,0,0,376,17624,0,0,42,1958
50,0.05,0,0,376,17624,0,0,42,1958
51,0.051,0,0,376,17624,0,0,42,1958
52,0.052,0,0,376,17624,0,0,42,1958
53,0.053,0,0,376,17624,0,0,42,1958
54,0.054,0,0,376,17624,0,0,42,1958
55,0.055,0,0,376,17624,0,0,42,1958
56,0.056,0,0,376,17624,0,0,42,1958
57,0.057,0,0,376,17624,0,0,42,1958
58,0.058,0,0,376,17624,0,0,42,1958
59,0.059,0,0,376,17624,0,0,42,1958
60,0.06,0,0,376,17624,0,0,42,1958
61,0.061,0,0,376,17624,0,0,42,1958
62,0.062,0,0,376,17624,0,0,42,1958
63,0.063,0,0,376,17624,0,0,42,1958
64,0.064,0,0,376,17624,0,0,42,1958
65,0.065,0,0,376,17624,0,0,42,1958
66,0.066,0,0,376,17624,0,0,42,1958
67,0.067,0,0,376,17624,0,0,42,1958
68,0.068,0,0,376,17624,0,0,42,1958
69,0.069,0,0,376,17624,0,0,42,1958
70,0.07,0,0,376,17624,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
