,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,376,17624,0,0,42,1958,0,0
12,0.012,376,17624,0,0,42,1958,0,0
13,0.013,376,17622,0,2,42,1958,0,0
14,0.014,371,17193,5,431,41,1906,1,52
15,0.015,350,16263,26,1361,40,1811,2,147
16,0.016,328,15302,48,2322,38,1709,4,249
17,0.017,302,13572,74,4052,36,1506,6,452
18,0.018,262,12136,114,5488,33,1298,9,660
19,0.019,221,10666,155,6958,30,1140,12,818
20,0.02,198,9533,178,8091,30,1013,12,945
21,0.021,173,8275,203,9349,29,896,13,1062
22,0.022,152,7067,224,10557,22,769,20,1189
23,0.023,133,6214,243,11410,22,674,20,1284
24,0.024,118,5537,258,12087,19,600,23,1358
25,0.025,97,4518,279,13106,15,480,27,1478
26,0.026,77,3705,299,13919,10,390,32,1568
27,0.027,58,2959,318,14665,8,325,34,1633
28,0.028,48,2416,328,15208,7,258,35,1700
29,0.029,39,1947,337,15677,7,200,35,1758
30,0.03,28,1328,348,16296,5,130,37,1828
31,0.031,20,913,356,16711,4,85,38,1873
32,0.032,11,611,365,17013,3,47,39,1911
33,0.033,8,417,368,17207,3,28,39,1930
34,0.034,4,198,372,17426,3,14,39,1944
35,0.035,2,118,374,17506,3,3,39,1955
36,0.036,2,89,374,17535,3,1,39,1957
37,0.037,2,63,374,17561,3,1,39,1957
38,0.038,2,57,374,17567,2,1,40,1957
39,0.039,2,47,374,17577,1,0,41,1958
40,0.04,2,37,374,17587,0,0,42,1958
41,0.041,1,25,375,17599,0,0,42,1958
42,0.042,1,24,375,17600,0,0,42,1958
43,0.043,1,18,375,17606,0,0,42,1958
44,0.044,1,18,375,17606,0,0,42,1958
45,0.045,1,17,375,17607,0,0,42,1958
46,0.046,1,14,375,17610,0,0,42,1958
47,0.047,1,10,375,17614,0,0,42,1958
48,0.048,1,10,375,17614,0,0,42,1958
49,0.049,1,9,375,17615,0,0,42,1958
50,0.05,1,4,375,17620,0,0,42,1958
51,0.051,0,2,376,17622,0,0,42,1958
52,0.052,0,1,376,17623,0,0,42,1958
53,0.053,0,0,376,17624,0,0,42,1958
54,0.054,0,0,376,17624,0,0,42,1958
55,0.055,0,0,376,17624,0,0,42,1958
56,0.056,0,0,376,17624,0,0,42,1958
57,0.057,0,0,376,17624,0,0,42,1958
58,0.058,0,0,376,17624,0,0,42,1958
59,0.059,0,0,376,17624,0,0,42,1958
60,0.06,0,0,376,17624,0,0,42,1958
61,0.061,0,0,376,17624,0,0,42,1958
62,0.062,0,0,376,17624,0,0,42,1958
63,0.063,0,0,376,17624,0,0,42,1958
64,0.064,0,0,376,17624,0,0,42,1958
65,0.065,0,0,376,17624,0,0,42,1958
66,0.066,0,0,376,17624,0,0,42,1958
67,0.067,0,0,376,17624,0,0,42,1958
68,0.068,0,0,376,17624,0,0,42,1958
69,0.069,0,0,376,17624,0,0,42,1958
70,0.07,0,0,376,17624,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
