,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,376,17624,0,0,42,1958,0,0
12,0.012,375,17602,1,22,42,1957,0,1
13,0.013,373,17491,3,133,42,1938,0,20
14,0.014,367,17311,9,313,42,1905,0,53
15,0.015,358,16868,18,756,41,1860,1,98
16,0.016,333,15937,43,1687,39,1752,3,206
17,0.017,315,14772,61,2852,37,1650,5,308
18,0.018,276,12917,100,4707,34,1449,8,509
19,0.019,246,11230,130,6394,30,1248,12,710
20,0.02,208,9553,168,8071,30,1044,12,914
21,0.021,175,8022,201,9602,27,878,15,1080
22,0.022,143,6633,233,10991,26,744,16,1214
23,0.023,105,5438,271,12186,23,606,19,1352
24,0.024,88,4374,288,13250,22,503,20,1455
25,0.025,66,3423,310,14201,21,390,21,1568
26,0.026,46,2562,330,15062,17,293,25,1665
27,0.027,37,1969,339,15655,15,223,27,1735
28,0.028,28,1494,348,16130,13,150,29,1808
29,0.029,24,1164,352,16460,10,115,32,1843
30,0.03,20,919,356,16705,8,90,34,1868
31,0.031,17,724,359,16900,7,64,35,1894
32,0.032,16,577,360,17047,6,48,36,1910
33,0.033,10,398,366,17226,5,32,37,1926
34,0.034,7,319,369,17305,5,26,37,1932
35,0.035,7,237,369,17387,4,20,38,1938
36,0.036,1,165,375,17459,3,15,39,1943
37,0.037,1,124,375,17500,2,8,40,1950
38,0.038,1,95,375,17529,2,7,40,1951
39,0.039,1,78,375,17546,2,6,40,1952
40,0.04,0,54,376,17570,2,4,40,1954
41,0.041,0,33,376,17591,2,3,40,1955
42,0.042,0,20,376,17604,2,2,40,1956
43,0.043,0,15,376,17609,2,2,40,1956
44,0.044,0,10,376,17614,1,2,41,1956
45,0.045,0,10,376,17614,1,2,41,1956
46,0.046,0,9,376,17615,1,0,41,1958
47,0.047,0,7,376,17617,1,0,41,1958
48,0.048,0,3,376,17621,1,0,41,1958
49,0.049,0,2,376,17622,0,0,42,1958
50,0.05,0,1,376,17623,0,0,42,1958
51,0.051,0,0,376,17624,0,0,42,1958
52,0.052,0,0,376,17624,0,0,42,1958
53,0.053,0,0,376,17624,0,0,42,1958
54,0.054,0,0,376,17624,0,0,42,1958
55,0.055,0,0,376,17624,0,0,42,1958
56,0.056,0,0,376,17624,0,0,42,1958
57,0.057,0,0,376,17624,0,0,42,1958
58,0.058,0,0,376,17624,0,0,42,1958
59,0.059,0,0,376,17624,0,0,42,1958
60,0.06,0,0,376,17624,0,0,42,1958
61,0.061,0,0,376,17624,0,0,42,1958
62,0.062,0,0,376,17624,0,0,42,1958
63,0.063,0,0,376,17624,0,0,42,1958
64,0.064,0,0,376,17624,0,0,42,1958
65,0.065,0,0,376,17624,0,0,42,1958
66,0.066,0,0,376,17624,0,0,42,1958
67,0.067,0,0,376,17624,0,0,42,1958
68,0.068,0,0,376,17624,0,0,42,1958
69,0.069,0,0,376,17624,0,0,42,1958
70,0.07,0,0,376,17624,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
