,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,376,17623,0,1,42,1958,0,0
12,0.012,376,17609,0,15,41,1957,1,1
13,0.013,374,17418,2,206,41,1942,1,16
14,0.014,366,17042,10,582,41,1892,1,66
15,0.015,341,16141,35,1483,41,1789,1,169
16,0.016,319,15109,57,2515,41,1663,1,295
17,0.017,283,13523,93,4101,38,1476,4,482
18,0.018,258,12015,118,5609,36,1312,6,646
19,0.019,231,10410,145,7214,32,1150,10,808
20,0.02,196,8846,180,8778,28,978,14,980
21,0.021,171,7228,205,10396,25,781,17,1177
22,0.022,124,5850,252,11774,21,624,21,1334
23,0.023,97,4854,279,12770,20,500,22,1458
24,0.024,76,4063,300,13561,17,424,25,1534
25,0.025,65,3451,311,14173,14,362,28,1596
26,0.026,60,2742,316,14882,11,282,31,1676
27,0.027,52,2221,324,15403,9,233,33,1725
28,0.028,45,1872,331,15752,8,194,34,1764
29,0.029,37,1535,339,16089,8,161,34,1797
30,0.03,34,1323,342,16301,6,139,36,1819
31,0.031,32,1165,344,16459,5,123,37,1835
32,0.032,30,1020,346,16604,4,110,38,1848
33,0.033,21,866,355,16758,3,91,39,1867
34,0.034,19,706,357,16918,2,76,40,1882
35,0.035,18,652,358,16972,2,72,40,1886
36,0.036,17,601,359,17023,2,67,40,1891
37,0.037,14,512,362,17112,2,58,40,1900
38,0.038,9,366,367,17258,2,39,40,1919
39,0.039,9,302,367,17322,1,32,41,1926
40,0.04,5,169,371,17455,1,16,41,1942
41,0.041,4,135,372,17489,1,9,41,1949
42,0.042,2,39,374,17585,0,0,42,1958
43,0.043,1,28,375,17596,0,0,42,1958
44,0.044,1,20,375,17604,0,0,42,1958
45,0.045,1,14,375,17610,0,0,42,1958
46,0.046,1,6,375,17618,0,0,42,1958
47,0.047,1,1,375,17623,0,0,42,1958
48,0.048,0,1,376,17623,0,0,42,1958
49,0.049,0,0,376,17624,0,0,42,1958
50,0.05,0,0,376,17624,0,0,42,1958
51,0.051,0,0,376,17624,0,0,42,1958
52,0.052,0,0,376,17624,0,0,42,1958
53,0.053,0,0,376,17624,0,0,42,1958
54,0.054,0,0,376,17624,0,0,42,1958
55,0.055,0,0,376,17624,0,0,42,1958
56,0.056,0,0,376,17624,0,0,42,1958
57,0.057,0,0,376,17624,0,0,42,1958
58,0.058,0,0,376,17624,0,0,42,1958
59,0.059,0,0,376,17624,0,0,42,1958
60,0.06,0,0,376,17624,0,0,42,1958
61,0.061,0,0,376,17624,0,0,42,1958
62,0.062,0,0,376,17624,0,0,42,1958
63,0.063,0,0,376,17624,0,0,42,1958
64,0.064,0,0,376,17624,0,0,42,1958
65,0.065,0,0,376,17624,0,0,42,1958
66,0.066,0,0,376,17624,0,0,42,1958
67,0.067,0,0,376,17624,0,0,42,1958
68,0.068,0,0,376,17624,0,0,42,1958
69,0.069,0,0,376,17624,0,0,42,1958
70,0.07,0,0,376,17624,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
