,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,372,17422,4,202,42,1940,0,18
12,0.012,362,16956,14,668,41,1884,1,74
13,0.013,356,16654,20,970,40,1842,2,116
14,0.014,343,16182,33,1442,40,1786,2,172
15,0.015,333,15772,43,1852,40,1737,2,221
16,0.016,303,14180,73,3444,38,1547,4,411
17,0.017,270,13042,106,4582,37,1424,5,534
18,0.018,224,10667,152,6957,35,1149,7,809
19,0.019,201,9436,175,8188,30,1022,12,936
20,0.02,186,8726,190,8898,23,951,19,1007
21,0.021,172,7844,204,9780,23,862,19,1096
22,0.022,146,6517,230,11107,19,726,23,1232
23,0.023,111,4844,265,12780,16,544,26,1414
24,0.024,84,3339,292,14285,15,371,27,1587
25,0.025,58,2515,318,15109,12,302,30,1656
26,0.026,45,1770,331,15854,12,217,30,1741
27,0.027,38,1480,338,16144,11,186,31,1772
28,0.028,29,1084,347,16540,10,125,32,1833
29,0.029,25,963,351,16661,8,107,34,1851
30,0.03,22,806,354,16818,7,90,35,1868
31,0.031,19,650,357,16974,6,68,36,1890
32,0.032,16,546,360,17078,5,54,37,1904
33,0.033,16,503,360,17121,5,48,37,1910
34,0.034,16,484,360,17140,5,48,37,1910
35,0.035,16,419,360,17205,4,42,38,1916
36,0.036,16,361,360,17263,2,33,40,1925
37,0.037,14,343,362,17281,1,30,41,1928
38,0.038,8,249,368,17375,1,21,41,1937
39,0.039,7,191,369,17433,1,17,41,1941
40,0.04,6,99,370,17525,0,6,42,1952
41,0.041,4,62,372,17562,0,3,42,1955
42,0.042,2,44,374,17580,0,3,42,1955
43,0.043,2,30,374,17594,0,2,42,1956
44,0.044,1,21,375,17603,0,2,42,1956
45,0.045,1,8,375,17616,0,0,42,1958
46,0.046,1,4,375,17620,0,0,42,1958
47,0.047,1,3,375,17621,0,0,42,1958
48,0.048,1,3,375,17621,0,0,42,1958
49,0.049,1,1,375,17623,0,0,42,1958
50,0.05,1,1,375,17623,0,0,42,1958
51,0.051,1,1,375,17623,0,0,42,1958
52,0.052,1,0,375,17624,0,0,42,1958
53,0.053,1,0,375,17624,0,0,42,1958
54,0.054,0,0,376,17624,0,0,42,1958
55,0.055,0,0,376,17624,0,0,42,1958
56,0.056,0,0,376,17624,0,0,42,1958
57,0.057,0,0,376,17624,0,0,42,1958
58,0.058,0,0,376,17624,0,0,42,1958
59,0.059,0,0,376,17624,0,0,42,1958
60,0.06,0,0,376,17624,0,0,42,1958
61,0.061,0,0,376,17624,0,0,42,1958
62,0.062,0,0,376,17624,0,0,42,1958
63,0.063,0,0,376,17624,0,0,42,1958
64,0.064,0,0,376,17624,0,0,42,1958
65,0.065,0,0,376,17624,0,0,42,1958
66,0.066,0,0,376,17624,0,0,42,1958
67,0.067,0,0,376,17624,0,0,42,1958
68,0.068,0,0,376,17624,0,0,42,1958
69,0.069,0,0,376,17624,0,0,42,1958
70,0.07,0,0,376,17624,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
