,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,376,17624,0,0,42,1958,0,0
1,0.001,376,17624,0,0,42,1958,0,0
2,0.002,376,17624,0,0,42,1958,0,0
3,0.003,376,17624,0,0,42,1958,0,0
4,0.004,376,17624,0,0,42,1958,0,0
5,0.005,376,17624,0,0,42,1958,0,0
6,0.006,376,17624,0,0,42,1958,0,0
7,0.007,376,17624,0,0,42,1958,0,0
8,0.008,376,17624,0,0,42,1958,0,0
9,0.009,376,17624,0,0,42,1958,0,0
10,0.01,376,17624,0,0,42,1958,0,0
11,0.011,376,17605,0,19,42,1955,0,3
12,0.012,374,17589,2,35,42,1954,0,4
13,0.013,374,17564,2,60,42,1951,0,7
14,0.014,336,15953,40,1671,42,1759,0,199
15,0.015,276,13179,100,4445,42,1453,0,505
16,0.016,242,11512,134,6112,41,1292,1,666
17,0.017,203,9710,173,7914,40,1095,2,863
18,0.018,175,8251,201,9373,39,911,3,1047
19,0.019,132,6365,244,11259,39,693,3,1265
20,0.02,110,5487,266,12137,37,589,5,1369
21,0.021,75,3944,301,13680,35,436,7,1522
22,0.022,50,2598,326,15026,30,269,12,1689
23,0.023,36,2225,340,15399,26,233,16,1725
24,0.024,34,2157,342,15467,22,227,20,1731
25,0.025,25,1538,351,16086,18,169,24,1789
26,0.026,15,987,361,16637,11,112,31,1846
27,0.027,13,941,363,16683,8,109,34,1849
28,0.028,10,792,366,16832,6,99,36,1859
29,0.029,9,722,367,16902,5,93,37,1865
30,0.03,9,638,367,16986,5,88,37,1870
31,0.031,7,575,369,17049,4,81,38,1877
32,0.032,6,466,370,17158,4,65,38,1893
33,0.033,6,428,370,17196,4,56,38,1902
34,0.034,4,332,372,17292,4,39,38,1919
35,0.035,3,299,373,17325,3,35,39,1923
36,0.036,3,245,373,17379,3,29,39,1929
37,0.037,3,182,373,17442,3,22,39,1936
38,0.038,2,155,374,17469,3,16,39,1942
39,0.039,2,142,374,17482,3,15,39,1943
40,0.04,2,138,374,17486,3,15,39,1943
41,0.041,2,126,374,17498,3,13,39,1945
42,0.042,2,106,374,17518,3,9,39,1949
43,0.043,2,104,374,17520,2,9,40,1949
44,0.044,2,98,374,17526,1,9,41,1949
45,0.045,2,95,374,17529,1,9,41,1949
46,0.046,2,83,374,17541,1,7,41,1951
47,0.047,1,69,375,17555,1,6,41,1952
48,0.048,1,67,375,17557,1,5,41,1953
49,0.049,1,65,375,17559,1,5,41,1953
50,0.05,1,49,375,17575,1,5,41,1953
51,0.051,1,38,375,17586,1,3,41,1955
52,0.052,1,36,375,17588,1,3,41,1955
53,0.053,1,33,375,17591,1,3,41,1955
54,0.054,1,30,375,17594,0,3,42,1955
55,0.055,1,28,375,17596,0,3,42,1955
56,0.056,1,27,375,17597,0,3,42,1955
57,0.057,1,26,375,17598,0,3,42,1955
58,0.058,1,21,375,17603,0,1,42,1957
59,0.059,1,20,375,17604,0,0,42,1958
60,0.06,1,19,375,17605,0,0,42,1958
61,0.061,1,16,375,17608,0,0,42,1958
62,0.062,1,16,375,17608,0,0,42,1958
63,0.063,0,9,376,17615,0,0,42,1958
64,0.064,0,6,376,17618,0,0,42,1958
65,0.065,0,2,376,17622,0,0,42,1958
66,0.066,0,1,376,17623,0,0,42,1958
67,0.067,0,0,376,17624,0,0,42,1958
68,0.068,0,0,376,17624,0,0,42,1958
69,0.069,0,0,376,17624,0,0,42,1958
70,0.07,0,0,376,17624,0,0,42,1958
71,0.071,0,0,376,17624,0,0,42,1958
72,0.072,0,0,376,17624,0,0,42,1958
73,0.073,0,0,376,17624,0,0,42,1958
74,0.074,0,0,376,17624,0,0,42,1958
75,0.075,0,0,376,17624,0,0,42,1958
76,0.076,0,0,376,17624,0,0,42,1958
77,0.077,0,0,376,17624,0,0,42,1958
78,0.078,0,0,376,17624,0,0,42,1958
79,0.079,0,0,376,17624,0,0,42,1958
80,0.08,0,0,376,17624,0,0,42,1958
81,0.081,0,0,376,17624,0,0,42,1958
82,0.082,0,0,376,17624,0,0,42,1958
83,0.083,0,0,376,17624,0,0,42,1958
84,0.084,0,0,376,17624,0,0,42,1958
85,0.085,0,0,376,17624,0,0,42,1958
86,0.086,0,0,376,17624,0,0,42,1958
87,0.087,0,0,376,17624,0,0,42,1958
88,0.088,0,0,376,17624,0,0,42,1958
89,0.089,0,0,376,17624,0,0,42,1958
90,0.09,0,0,376,17624,0,0,42,1958
91,0.091,0,0,376,17624,0,0,42,1958
92,0.092,0,0,376,17624,0,0,42,1958
93,0.093,0,0,376,17624,0,0,42,1958
94,0.094,0,0,376,17624,0,0,42,1958
95,0.095,0,0,376,17624,0,0,42,1958
96,0.096,0,0,376,17624,0,0,42,1958
97,0.097,0,0,376,17624,0,0,42,1958
98,0.098,0,0,376,17624,0,0,42,1958
99,0.099,0,0,376,17624,0,0,42,1958
100,0.1,0,0,376,17624,0,0,42,1958
101,0.2,0,0,376,17624,0,0,42,1958
102,0.3,0,0,376,17624,0,0,42,1958
103,0.4,0,0,376,17624,0,0,42,1958
104,0.5,0,0,376,17624,0,0,42,1958
