,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1762,0,0,4,196,0,0
5,0.005,38,1762,0,0,4,196,0,0
6,0.006,38,1762,0,0,4,196,0,0
7,0.007,38,1762,0,0,4,196,0,0
8,0.008,38,1762,0,0,4,196,0,0
9,0.009,38,1762,0,0,4,196,0,0
10,0.01,38,1762,0,0,4,196,0,0
11,0.011,38,1762,0,0,4,196,0,0
12,0.012,37,1729,1,33,4,191,0,5
13,0.013,37,1685,1,77,4,178,0,18
14,0.014,33,1568,5,194,4,164,0,32
15,0.015,32,1473,6,289,4,159,0,37
16,0.016,29,1374,9,388,4,147,0,49
17,0.017,28,1291,10,471,4,135,0,61
18,0.018,26,1220,12,542,4,126,0,70
19,0.019,23,1107,15,655,2,125,2,71
20,0.02,20,940,18,822,2,103,2,93
21,0.021,19,829,19,933,1,87,3,109
22,0.022,16,721,22,1041,1,76,3,120
23,0.023,14,665,24,1097,1,70,3,126
24,0.024,14,559,24,1203,1,61,3,135
25,0.025,11,464,27,1298,1,51,3,145
26,0.026,11,387,27,1375,1,42,3,154
27,0.027,11,350,27,1412,1,39,3,157
28,0.028,9,317,29,1445,1,35,3,161
29,0.029,8,278,30,1484,1,30,3,166
30,0.03,5,230,33,1532,0,22,4,174
31,0.031,4,201,34,1561,0,21,4,175
32,0.032,3,178,35,1584,0,18,4,178
33,0.033,1,137,37,1625,0,15,4,181
34,0.034,1,131,37,1631,0,14,4,182
35,0.035,1,125,37,1637,0,13,4,183
36,0.036,1,125,37,1637,0,13,4,183
37,0.037,1,120,37,1642,0,13,4,183
38,0.038,1,106,37,1656,0,12,4,184
39,0.039,1,87,37,1675,0,9,4,187
40,0.04,1,86,37,1676,0,9,4,187
41,0.041,1,86,37,1676,0,9,4,187
42,0.042,1,73,37,1689,0,7,4,189
43,0.043,1,61,37,1701,0,5,4,191
44,0.044,0,51,38,1711,0,5,4,191
45,0.045,0,49,38,1713,0,5,4,191
46,0.046,0,48,38,1714,0,5,4,191
47,0.047,0,48,38,1714,0,5,4,191
48,0.048,0,41,38,1721,0,3,4,193
49,0.049,0,35,38,1727,0,3,4,193
50,0.05,0,34,38,1728,0,3,4,193
51,0.051,0,19,38,1743,0,2,4,194
52,0.052,0,11,38,1751,0,2,4,194
53,0.053,0,8,38,1754,0,2,4,194
54,0.054,0,8,38,1754,0,2,4,194
55,0.055,0,8,38,1754,0,2,4,194
56,0.056,0,8,38,1754,0,2,4,194
57,0.057,0,8,38,1754,0,2,4,194
58,0.058,0,8,38,1754,0,2,4,194
59,0.059,0,5,38,1757,0,1,4,195
60,0.06,0,5,38,1757,0,1,4,195
61,0.061,0,5,38,1757,0,1,4,195
62,0.062,0,4,38,1758,0,0,4,196
63,0.063,0,4,38,1758,0,0,4,196
64,0.064,0,3,38,1759,0,0,4,196
65,0.065,0,3,38,1759,0,0,4,196
66,0.066,0,3,38,1759,0,0,4,196
67,0.067,0,3,38,1759,0,0,4,196
68,0.068,0,3,38,1759,0,0,4,196
69,0.069,0,2,38,1760,0,0,4,196
70,0.07,0,0,38,1762,0,0,4,196
71,0.071,0,0,38,1762,0,0,4,196
72,0.072,0,0,38,1762,0,0,4,196
73,0.073,0,0,38,1762,0,0,4,196
74,0.074,0,0,38,1762,0,0,4,196
75,0.075,0,0,38,1762,0,0,4,196
76,0.076,0,0,38,1762,0,0,4,196
77,0.077,0,0,38,1762,0,0,4,196
78,0.078,0,0,38,1762,0,0,4,196
79,0.079,0,0,38,1762,0,0,4,196
80,0.08,0,0,38,1762,0,0,4,196
81,0.081,0,0,38,1762,0,0,4,196
82,0.082,0,0,38,1762,0,0,4,196
83,0.083,0,0,38,1762,0,0,4,196
84,0.084,0,0,38,1762,0,0,4,196
85,0.085,0,0,38,1762,0,0,4,196
86,0.086,0,0,38,1762,0,0,4,196
87,0.087,0,0,38,1762,0,0,4,196
88,0.088,0,0,38,1762,0,0,4,196
89,0.089,0,0,38,1762,0,0,4,196
90,0.09,0,0,38,1762,0,0,4,196
91,0.091,0,0,38,1762,0,0,4,196
92,0.092,0,0,38,1762,0,0,4,196
93,0.093,0,0,38,1762,0,0,4,196
94,0.094,0,0,38,1762,0,0,4,196
95,0.095,0,0,38,1762,0,0,4,196
96,0.096,0,0,38,1762,0,0,4,196
97,0.097,0,0,38,1762,0,0,4,196
98,0.098,0,0,38,1762,0,0,4,196
99,0.099,0,0,38,1762,0,0,4,196
100,0.1,0,0,38,1762,0,0,4,196
101,0.2,0,0,38,1762,0,0,4,196
102,0.3,0,0,38,1762,0,0,4,196
103,0.4,0,0,38,1762,0,0,4,196
104,0.5,0,0,38,1762,0,0,4,196
